Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Precious Achiuwa\achiupr01,PF,21,MIA,43,2,555,8.4,14.8,.566,0.0,0.0,,8.4,14.8,.566,4.2,8.1,.516,4.7,9.1,13.8,1.9,1.3,1.9,3.2,5.7,20.9,,107,108
2,Jaylen Adams\adamsja01,PG,24,MIL,7,0,18,2.6,20.9,.125,0.0,5.2,.000,2.6,15.7,.167,0.0,0.0,,0.0,7.8,7.8,5.2,0.0,0.0,0.0,2.6,5.2,,46,115
3,Steven Adams\adamsst01,C,27,NOP,40,40,1108,6.1,9.7,.631,0.0,0.1,.000,6.1,9.6,.636,1.9,4.1,.462,7.1,9.0,16.0,3.5,1.5,1.0,2.7,3.5,14.2,,123,115
4,Bam Adebayo\adebaba01,C,23,MIA,39,39,1311,10.7,18.9,.565,0.1,0.3,.286,10.6,18.6,.569,7.1,8.4,.848,3.4,10.5,13.9,7.9,1.2,1.7,4.1,3.4,28.5,,121,108
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,18,544,10.2,22.1,.464,2.4,6.7,.360,7.8,15.4,.509,2.8,3.3,.838,1.5,6.9,8.4,3.2,0.7,1.6,1.8,3.2,25.6,,107,112
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,4,0,10,0.0,19.7,.000,0.0,9.9,.000,0.0,9.9,.000,0.0,0.0,,0.0,4.9,4.9,4.9,0.0,0.0,0.0,4.9,0.0,,18,115
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,35,5,657,8.9,21.4,.419,3.4,10.5,.324,5.5,10.9,.510,2.4,3.0,.805,0.7,6.5,7.2,4.9,2.5,1.0,3.3,4.4,23.7,,102,113
8,Grayson Allen\allengr01,SG,25,MEM,29,17,715,6.2,14.9,.417,3.9,9.7,.404,2.3,5.1,.442,2.8,3.1,.894,0.8,5.4,6.2,4.1,1.9,0.3,1.9,2.5,19.1,,115,111
9,Jarrett Allen\allenja01,C,22,TOT,43,25,1226,8.2,12.8,.641,0.2,0.4,.400,8.0,12.4,.648,5.9,8.3,.712,5.2,11.8,17.0,2.8,0.8,2.9,2.6,2.7,22.4,,131,110
9,Jarrett Allen\allenja01,C,22,BRK,12,5,320,6.6,9.8,.677,0.0,0.0,,6.6,9.8,.677,6.9,9.2,.754,5.7,13.1,18.8,3.0,1.1,2.9,3.3,3.2,20.1,,135,109
9,Jarrett Allen\allenja01,C,22,CLE,31,20,906,8.8,13.9,.631,0.2,0.5,.400,8.5,13.3,.641,5.5,8.0,.694,5.0,11.3,16.3,2.7,0.7,2.9,2.3,2.6,23.3,,130,111
10,Al-Farouq Aminu\aminual01,PF,30,ORL,17,14,367,4.8,11.8,.404,0.9,4.1,.226,3.9,7.7,.500,1.9,2.3,.824,2.7,9.4,12.1,3.9,2.3,1.2,3.3,2.9,12.4,,94,109
11,Kyle Anderson\anderky01,PF,27,MEM,39,39,1061,8.2,17.1,.478,2.4,6.6,.363,5.8,10.6,.549,3.4,4.4,.765,1.4,8.8,10.2,5.8,2.0,1.2,2.4,3.0,22.1,,115,108
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,41,41,1400,14.3,25.6,.559,1.6,5.3,.299,12.7,20.3,.626,9.2,13.6,.677,2.5,13.5,16.0,8.8,1.7,1.8,5.1,4.1,39.4,,120,106
13,Kostas Antetokounmpo\antetko01,PF,23,LAL,5,0,24,4.0,8.1,.500,0.0,0.0,,4.0,8.1,.500,4.0,8.1,.500,4.0,14.2,18.2,0.0,4.0,6.1,12.1,6.1,12.1,,58,91
14,Thanasis Antetokounmpo\antetth01,SF,28,MIL,31,0,261,5.4,9.2,.588,0.4,1.6,.222,5.0,7.6,.667,1.3,2.9,.438,5.2,5.8,11.0,3.6,1.6,1.1,3.4,6.5,12.4,,113,111
15,Carmelo Anthony\anthoca01,PF,36,POR,43,3,1113,9.4,22.5,.419,3.5,8.8,.393,5.9,13.6,.435,4.4,5.2,.863,1.0,5.3,6.3,3.2,1.6,1.4,1.9,4.3,26.8,,111,118
16,Cole Anthony\anthoco01,PG,20,ORL,25,17,667,7.4,19.7,.375,2.0,6.1,.325,5.4,13.6,.398,3.4,4.0,.836,1.5,6.7,8.1,6.9,1.2,0.8,3.7,3.7,20.1,,95,113
17,OG Anunoby\anunoog01,SF,23,TOR,26,26,863,7.5,15.5,.487,3.3,8.0,.410,4.2,7.4,.571,2.4,3.2,.754,2.0,6.3,8.3,2.5,2.5,1.1,2.4,4.1,20.8,,113,111
18,Ryan Arcidiacono\arcidry01,PG,26,CHI,26,0,296,4.8,12.6,.385,2.4,7.6,.319,2.4,5.0,.484,1.8,2.3,.786,0.5,6.3,6.8,5.3,1.1,0.0,1.0,4.8,13.9,,114,114
19,Trevor Ariza\arizatr01,F,35,MIA,4,1,82,4.2,14.4,.292,1.8,7.8,.231,2.4,6.6,.364,2.4,2.4,1.000,0.6,8.4,9.0,2.4,0.6,1.8,1.2,3.0,12.6,,87,110
20,D.J. Augustin\augusdj01,PG,33,TOT,40,6,775,4.6,12.7,.362,3.1,8.5,.364,1.5,4.2,.357,2.4,2.7,.909,0.8,2.7,3.5,7.5,1.4,0.1,2.3,2.2,14.8,,113,115
20,D.J. Augustin\augusdj01,PG,33,MIL,37,6,713,4.7,12.7,.370,3.2,8.5,.380,1.5,4.2,.349,2.4,2.6,.900,0.7,2.6,3.3,7.3,1.3,0.1,2.2,2.2,15.0,,115,115
20,D.J. Augustin\augusdj01,G,33,HOU,3,0,62,3.8,13.8,.278,1.5,8.4,.182,2.3,5.4,.429,3.1,3.1,1.000,1.5,3.8,5.4,9.9,2.3,0.0,3.1,2.3,12.2,,96,113
21,Deni Avdija\avdijde01,SF,20,WAS,39,17,846,5.0,11.5,.436,2.1,6.3,.328,2.9,5.2,.568,0.8,1.3,.625,0.8,8.7,9.5,2.5,1.2,0.5,1.5,5.8,12.9,,103,115
22,Deandre Ayton\aytonde01,C,22,PHO,43,43,1312,10.2,16.8,.608,0.2,0.6,.235,10.0,16.1,.622,3.2,4.2,.761,5.3,12.4,17.7,2.5,0.6,1.8,2.7,5.1,23.7,,123,107
23,Udoka Azubuike\azubuud01,C,21,UTA,12,0,49,4.0,6.9,.571,0.0,0.0,,4.0,6.9,.571,4.0,5.9,.667,4.0,8.9,12.9,0.0,1.0,4.0,3.0,7.9,11.9,,109,105
24,Dwayne Bacon\bacondw01,SG,25,ORL,44,26,1095,7.1,17.7,.399,2.0,5.9,.333,5.1,11.8,.432,3.3,3.9,.851,0.5,5.0,5.6,2.2,1.0,0.1,1.3,3.2,19.4,,101,116
25,Marvin Bagley III\baglema01,PF,21,SAC,37,37,951,10.5,21.0,.502,1.7,4.8,.354,8.8,16.1,.547,3.1,5.5,.560,4.6,9.3,13.9,1.8,0.9,1.0,2.5,4.5,25.9,,110,118
26,LaMelo Ball\ballla01,PG,19,CHO,41,21,1174,9.7,21.6,.451,3.3,8.9,.375,6.4,12.7,.503,4.0,5.0,.789,2.2,7.6,9.8,10.3,2.7,0.6,4.7,4.8,26.7,,111,110
27,Lonzo Ball\balllo01,PG,23,NOP,38,38,1205,7.9,18.6,.425,4.6,11.9,.385,3.3,6.6,.497,1.3,1.7,.767,0.9,5.5,6.4,8.5,2.0,0.8,3.1,3.1,21.7,,114,115
28,Mo Bamba\bambamo01,C,22,ORL,22,0,224,9.1,19.1,.477,2.0,7.0,.281,7.2,12.2,.589,1.7,3.0,.571,5.0,13.7,18.7,1.3,0.7,4.4,2.0,6.7,22.0,,108,106
