INSTNM,CITY,STABBR,MAIN,HIGHDEG,ADM_RATE,TUITIONFEE_IN,TUITIONFEE_OUT
Alabama A & M University,Normal,AL,1,4,0.716,10024,18634
University of Alabama at Birmingham,Birmingham,AL,1,4,0.8854,8568,20400
Amridge University,Montgomery,AL,1,4,NULL,NULL,NULL
University of Alabama in Huntsville,Huntsville,AL,1,4,0.7367,11488,23884
Alabama State University,Montgomery,AL,1,4,0.9799,11068,19396
The University of Alabama,Tuscaloosa,AL,1,4,0.789,11620,31090
Athens State University,Athens,AL,1,4,NULL,NULL,NULL
Auburn University at Montgomery,Montgomery,AL,1,4,0.968,8860,18820
Auburn University,Auburn,AL,1,4,0.7118,11826,31986
Faulkner University,Montgomery,AL,1,4,0.646,23490,23490
Heritage Christian University,Florence,AL,1,4,NULL,11632,11632
Jacksonville State University,Jacksonville,AL,1,4,0.7634,11120,20840
University of West Alabama,Livingston,AL,1,4,0.7433,10990,20090
University of Mobile,Mobile,AL,1,4,0.6409,24855,24855
University of Montevallo,Montevallo,AL,1,4,0.9009,13710,26730
University of North Alabama,Florence,AL,1,4,0.8997,10620,20220
Oakwood University,Huntsville,AL,1,4,0.7185,19990,19990
Samford University,Birmingham,AL,1,4,0.8387,35360,35360
University of South Alabama,Mobile,AL,1,4,0.7078,8756,17012
Spring Hill College,Mobile,AL,1,4,0.7152,21100,21100
Talladega College,Talladega,AL,1,4,NULL,13886,13886
Troy University,Troy,AL,1,4,0.9527,9312,18624
Tuskegee University,Tuskegee,AL,1,4,0.342,22614,22614
United States Sports Academy,Daphne,AL,1,4,1,16418,16418
University of Alaska Anchorage,Anchorage,AK,1,4,0.6905,8622,25228
University of Alaska Fairbanks,Fairbanks,AK,1,4,0.6469,7248,21384
University of Alaska Southeast,Juneau,AK,1,4,0.5625,6960,21096
Alaska Pacific University,Anchorage,AK,1,4,0.9603,20760,20760
Brookline College-Phoenix,Phoenix,AZ,1,4,NULL,NULL,NULL
Arizona State University Campus Immersion,Tempe,AZ,1,4,0.8819,11348,29438
University of Arizona,Tucson,AZ,1,4,0.8727,12736,37258
The School of Architecture,Paradise Valley,AZ,1,4,NULL,NULL,NULL
Grand Canyon University,Phoenix,AZ,1,4,0.8284,17800,17800
Northern Arizona University,Flagstaff,AZ,1,4,0.7835,11896,26642
Prescott College,Prescott,AZ,1,4,0.9932,34701,34701
University of Arkansas at Little Rock,Little Rock,AR,1,4,0.5769,8366,18957
University of Arkansas for Medical Sciences,Little Rock,AR,1,4,NULL,NULL,NULL
University of Arkansas,Fayetteville,AR,1,4,0.8267,9574,26390
University of Arkansas at Pine Bluff,Pine Bluff,AR,1,4,0.6753,8398,15268
Arkansas State University,Jonesboro,AR,1,4,0.6329,7130,12698
Arkansas Tech University,Russellville,AR,1,4,0.9437,7900,13636
University of Arkansas at Monticello,Monticello,AR,1,4,NULL,8029,13879
University of Central Arkansas,Conway,AR,1,4,0.9237,9563,16433
Harding University,Searcy,AR,1,4,0.5414,22230,22230
Henderson State University,Arkadelphia,AR,1,4,0.7501,7560,9768
Hendrix College,Conway,AR,1,4,0.683,33350,33350
John Brown University,Siloam Springs,AR,1,4,0.5287,28924,28924
Ouachita Baptist University,Arkadelphia,AR,1,4,0.7375,30140,30140
Williams Baptist University,Walnut Ridge,AR,1,4,0.641,18570,18570
Southern Arkansas University Main Campus,Magnolia,AR,1,4,0.626,9410,14630
University of Arkansas-Fort Smith,Fort Smith,AR,1,4,NULL,5754,13026
Academy of Art University,San Francisco,CA,1,4,NULL,25424,25424
Academy of Chinese Culture and Health Sciences,Oakland,CA,1,4,NULL,NULL,NULL
Berkeley School of Theology,Berkeley,CA,1,4,NULL,NULL,NULL
American Film Institute Conservatory,Los Angeles,CA,1,4,NULL,NULL,NULL
American Conservatory Theater,San Francisco,CA,1,4,NULL,30800,30800
Art Center College of Design,Pasadena,CA,1,4,0.7556,48044,48044
Azusa Pacific University,Azusa,CA,1,4,0.941,41510,41510
Bethesda University,Anaheim,CA,1,4,NULL,6560,6560
Biola University,La Mirada,CA,1,4,0.6077,44382,44382
California Institute of Integral Studies,San Francisco,CA,1,4,NULL,NULL,NULL
California Baptist University,Riverside,CA,1,4,0.6373,37018,37018
California College of the Arts,San Francisco,CA,1,4,0.7763,52312,52312
University of California-Hastings College of Law,San Francisco,CA,1,4,NULL,NULL,NULL
California Institute of Technology,Pasadena,CA,1,4,0.0392,58680,58680
California Lutheran University,Thousand Oaks,CA,1,4,0.8194,46012,46012
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,1,4,0.33,10195,28105
Alliant International University-San Diego,San Diego,CA,1,4,1,13680,13680
California State University-Bakersfield,Bakersfield,CA,1,4,0.8521,7579,19459
California State University-Stanislaus,Turlock,CA,1,4,0.9476,7644,19524
California State University-San Bernardino,San Bernardino,CA,1,4,0.9097,7213,19093
California State Polytechnic University-Pomona,Pomona,CA,1,4,0.6062,7439,19319
California State University-Chico,Chico,CA,1,4,0.8547,7864,19744
California State University-Dominguez Hills,Carson,CA,1,4,0.8959,7060,18940
California State University-Fresno,Fresno,CA,1,4,0.9728,6653,18533
California State University-Fullerton,Fullerton,CA,1,4,0.5943,6976,18856
California State University-East Bay,Hayward,CA,1,4,0.8236,6995,18875
California State University-Long Beach,Long Beach,CA,1,4,0.4685,6846,18726
California State University-Los Angeles,Los Angeles,CA,1,4,0.9054,6785,18665
California State University-Northridge,Northridge,CA,1,4,0.881,7043,18923
California State University-Sacramento,Sacramento,CA,1,4,0.9368,7392,19272
University of California-Berkeley,Berkeley,CA,1,4,0.1444,14226,43980
University of California-Davis,Davis,CA,1,4,0.4875,14645,44399
University of California-Irvine,Irvine,CA,1,4,0.2882,13775,43529
University of California-Los Angeles,Los Angeles,CA,1,4,0.1077,13258,43012
