casino,address,month,revenue_type,monthly_total
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-12-31,Slots - Electronic Gaming Devices (EGD),6724301.46
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-12-31,Electronic Table Games (ETG),180524.27
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-12-31,Table Games,929622.5
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-12-31,Sports Betting,424871.57
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-12-31,Total Gross Gaming Revenue,8259319.8
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-12-31,Slots - Electronic Gaming Devices (EGD),4738423.01
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-12-31,Electronic Table Games (ETG),64385.03
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-12-31,Table Games,500739.5
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-12-31,Sports Betting,246194.5
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-12-31,Total Gross Gaming Revenue,5549742.04
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-12-31,Slots - Electronic Gaming Devices (EGD),1848881.02
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-12-31,Electronic Table Games (ETG),99982.74
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-12-31,Table Games,137460.0
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-12-31,Sports Betting,56215.29
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-12-31,Total Gross Gaming Revenue,2142539.05
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-12-31,Slots - Electronic Gaming Devices (EGD),7559167.62
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-12-31,Electronic Table Games (ETG),234783.16
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-12-31,Table Games,982651.18
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-12-31,Sports Betting,405799.01
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-12-31,Total Gross Gaming Revenue,9182400.97
Lake Mac Casino & Resort,"Ogallala, NE",2025-12-31,Slots - Electronic Gaming Devices (EGD),876315.67
Lake Mac Casino & Resort,"Ogallala, NE",2025-12-31,Electronic Table Games (ETG),108078.18
Lake Mac Casino & Resort,"Ogallala, NE",2025-12-31,Table Games,0.0
Lake Mac Casino & Resort,"Ogallala, NE",2025-12-31,Sports Betting,15081.29
Lake Mac Casino & Resort,"Ogallala, NE",2025-12-31,Total Gross Gaming Revenue,999475.14
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-11-30,Slots - Electronic Gaming Devices (EGD),5715581.13
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-11-30,Electronic Table Games (ETG),189974.42
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-11-30,Table Games,635701.0
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-11-30,Sports Betting,550969.09
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-11-30,Total Gross Gaming Revenue,7092225.64
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-11-30,Slots - Electronic Gaming Devices (EGD),4155495.28
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-11-30,Electronic Table Games (ETG),136951.62
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-11-30,Table Games,541513.0
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-11-30,Sports Betting,204236.38
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-11-30,Total Gross Gaming Revenue,5038196.28
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-11-30,Slots - Electronic Gaming Devices (EGD),1669002.62
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-11-30,Electronic Table Games (ETG),81465.16
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-11-30,Table Games,147091.0
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-11-30,Sports Betting,98043.57
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-11-30,Total Gross Gaming Revenue,1995602.35
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-11-30,Slots - Electronic Gaming Devices (EGD),7273264.34
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-11-30,Electronic Table Games (ETG),222059.5
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-11-30,Table Games,911100.5
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-11-30,Sports Betting,639624.8
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-11-30,Total Gross Gaming Revenue,9046049.14
Lake Mac Casino & Resort,"Ogallala, NE",2025-11-30,Slots - Electronic Gaming Devices (EGD),814021.32
Lake Mac Casino & Resort,"Ogallala, NE",2025-11-30,Electronic Table Games (ETG),92710.62
Lake Mac Casino & Resort,"Ogallala, NE",2025-11-30,Table Games,0.0
Lake Mac Casino & Resort,"Ogallala, NE",2025-11-30,Sports Betting,13849.5
Lake Mac Casino & Resort,"Ogallala, NE",2025-11-30,Total Gross Gaming Revenue,920581.44
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-10-31,Slots - Electronic Gaming Devices (EGD),6333477.28
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-10-31,Electronic Table Games (ETG),198473.45
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-10-31,Table Games,618686.95
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-10-31,Sports Betting,374275.91
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-10-31,Total Gross Gaming Revenue,7524913.59
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-10-31,Slots - Electronic Gaming Devices (EGD),4203420.84
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-10-31,Electronic Table Games (ETG),144954.0
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-10-31,Table Games,503841.5
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-10-31,Sports Betting,146802.32
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-10-31,Total Gross Gaming Revenue,4999018.66
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-10-31,Slots - Electronic Gaming Devices (EGD),1690079.87
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-10-31,Electronic Table Games (ETG),70619.9
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-10-31,Table Games,104228.0
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-10-31,Sports Betting,59971.71
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-10-31,Total Gross Gaming Revenue,1924899.48
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-10-31,Slots - Electronic Gaming Devices (EGD),7616974.3
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-10-31,Electronic Table Games (ETG),213052.89
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-10-31,Table Games,998433.0
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-10-31,Sports Betting,433402.24
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-10-31,Total Gross Gaming Revenue,9261862.43
Lake Mac Casino & Resort,"Ogallala, NE",2025-10-31,Slots - Electronic Gaming Devices (EGD),785375.42
Lake Mac Casino & Resort,"Ogallala, NE",2025-10-31,Electronic Table Games (ETG),106969.26
Lake Mac Casino & Resort,"Ogallala, NE",2025-10-31,Table Games,0.0
Lake Mac Casino & Resort,"Ogallala, NE",2025-10-31,Sports Betting,8116.05
Lake Mac Casino & Resort,"Ogallala, NE",2025-10-31,Total Gross Gaming Revenue,900460.73
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-09-30,Slots - Electronic Gaming Devices (EGD),5513947.75
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-09-30,Electronic Table Games (ETG),190683.3
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-09-30,Table Games,511694.5
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-09-30,Sports Betting,208964.56
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-09-30,Total Gross Gaming Revenue,6425290.11
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-09-30,Slots - Electronic Gaming Devices (EGD),3943625.83
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-09-30,Electronic Table Games (ETG),129698.87
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-09-30,Table Games,262335.0
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-09-30,Sports Betting,73958.12
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-09-30,Total Gross Gaming Revenue,4409617.82
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-09-30,Slots - Electronic Gaming Devices (EGD),1666833.27
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-09-30,Electronic Table Games (ETG),78271.53
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-09-30,Table Games,164017.5
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-09-30,Sports Betting,63129.39
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-09-30,Total Gross Gaming Revenue,1972251.69
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-09-30,Slots - Electronic Gaming Devices (EGD),6823674.65
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-09-30,Electronic Table Games (ETG),115288.61
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-09-30,Table Games,893508.0
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-09-30,Sports Betting,223043.64
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-09-30,Total Gross Gaming Revenue,8055514.9
Lake Mac Casino & Resort,"Ogallala, NE",2025-09-30,Slots - Electronic Gaming Devices (EGD),955925.63
Lake Mac Casino & Resort,"Ogallala, NE",2025-09-30,Electronic Table Games (ETG),110633.47
Lake Mac Casino & Resort,"Ogallala, NE",2025-09-30,Table Games,0.0
Lake Mac Casino & Resort,"Ogallala, NE",2025-09-30,Sports Betting,8659.69
Lake Mac Casino & Resort,"Ogallala, NE",2025-09-30,Total Gross Gaming Revenue,1075218.79
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-08-31,Slots - Electronic Gaming Devices (EGD),5851053.63
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-08-31,Electronic Table Games (ETG),226606.49
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-08-31,Table Games,436654.0
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-08-31,Sports Betting,448402.7
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-08-31,Total Gross Gaming Revenue,6962716.82
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-08-31,Slots - Electronic Gaming Devices (EGD),4257075.08
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-08-31,Electronic Table Games (ETG),153228.46
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-08-31,Table Games,512764.0
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-08-31,Sports Betting,62975.3
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-08-31,Total Gross Gaming Revenue,4986042.84
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-08-31,Slots - Electronic Gaming Devices (EGD),1888205.45
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-08-31,Electronic Table Games (ETG),93492.49
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-08-31,Table Games,154560.0
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-08-31,Sports Betting,80482.66
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-08-31,Total Gross Gaming Revenue,2216740.6
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-08-31,Slots - Electronic Gaming Devices (EGD),7443827.16
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-08-31,Electronic Table Games (ETG),220540.75
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-08-31,Table Games,954227.0
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-08-31,Sports Betting,274385.41
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-08-31,Total Gross Gaming Revenue,8892980.32
Lake Mac Casino & Resort,"Ogallala, NE",2025-08-31,Slots - Electronic Gaming Devices (EGD),427851.76
Lake Mac Casino & Resort,"Ogallala, NE",2025-08-31,Electronic Table Games (ETG),88844.58
Lake Mac Casino & Resort,"Ogallala, NE",2025-08-31,Table Games,0.0
Lake Mac Casino & Resort,"Ogallala, NE",2025-08-31,Sports Betting,10723.28
Lake Mac Casino & Resort,"Ogallala, NE",2025-08-31,Total Gross Gaming Revenue,527419.62
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-07-31,Slots - Electronic Gaming Devices (EGD),5656493.32
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-07-31,Electronic Table Games (ETG),147544.88
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-07-31,Table Games,670591.0
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-07-31,Sports Betting,115835.45
"WarHorse Gaming Lincoln, LLC","7055 S 1st, Lincoln NE 68512",2025-07-31,Total Gross Gaming Revenue,6590464.65
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-07-31,Slots - Electronic Gaming Devices (EGD),3838811.84
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-07-31,Electronic Table Games (ETG),173640.4
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-07-31,Table Games,389241.0
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-07-31,Sports Betting,64773.37
Grand Island Casino & Resort,"700 E Stolley Park Rd, Grand Island NE",2025-07-31,Total Gross Gaming Revenue,4466466.61
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-07-31,Slots - Electronic Gaming Devices (EGD),1949924.41
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-07-31,Electronic Table Games (ETG),106855.31
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-07-31,Table Games,119484.5
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-07-31,Sports Betting,36359.25
Harrahs Columbus NE Racing & Casino,"822 15th St, Columbus NE",2025-07-31,Total Gross Gaming Revenue,2212623.47
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-07-31,Slots - Electronic Gaming Devices (EGD),7291936.93
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-07-31,Electronic Table Games (ETG),143424.7
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-07-31,Table Games,411436.9
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-07-31,Sports Betting,184074.39
"WarHorse Casino Omaha, LLC","Omaha, NE",2025-07-31,Total Gross Gaming Revenue,8030872.92
