Case #,Incident Code,Reported,Disposition,Start Occurred,End Occurred,Location
26002124,NARCOTICS - POSSESSION,2026-08-11T22:40:00Z,Closed - Cleared by Arrest-Adult,46245.944444444445,NULL,900 N 16th St
26002123,TRAFFIC - SUSPENDED DRIVER,2026-08-11T20:51:00Z,Closed - Cleared by Arrest-Adult,46245.868750000001,NULL,N 27TH ST & VINE ST
26002114,SUSPICIOUS PERSON,2026-08-10T15:06:00Z,Open,46244.604166666664,46244.61041666667,1248 R St
26002111,LARCENY - OTHER OR FROM OPEN AREA,2026-08-10T09:54:00Z,Open,46241.543055555558,46241.916666666664,1210 Vine St
26002104,TRAFFIC - SUSPENDED DRIVER,2026-08-09T16:09:00Z,Closed - Cleared by Arrest-Adult,46243.67291666667,NULL,N ANTELOPE VALLEY PKWY & P ST
26002098,OUTSIDE - O.P.S. OTHER,2026-08-07T22:01:00Z,Closed - Non-Criminal Case,46241.917361111111,NULL,1106 N 29th St
26002097,LARCENY - STOLEN BIKE,2026-08-07T21:47:00Z,Open,46240.875,46241.25,600 N 15th St
OS26016,HAZING,2026-08-06T16:28:00Z,NA - Clery Report Only,46023.000694444447,46173.999305555553,Non-Campus
26002084,ACCIDENTS - P.D. H&R NOT REPORTABLE,2026-08-06T15:56:00Z,Closed - Cleared by Arrest-Adult,46234.552777777775,NULL,933 N 16th St
26002066,TRESPASSING,2026-08-02T17:41:00Z,Closed - Non-Criminal Case,46236.736805555556,NULL,1210 Vine St
26002059,TRESPASSING,2026-08-01T16:35:00Z,Closed - Non-Criminal Case,46235.690972222219,NULL,503 N 14th St
26002056,TRAFFIC - SUSPENDED DRIVER,2026-07-31T22:58:00Z,Closed - Cleared by Arrest-Adult,46234.956944444442,NULL,ANTELOPE VALLEY PARKWAY & O ST
26002055,TRAFFIC - SUSPENDED DRIVER,2026-07-31T22:20:00Z,Closed - Cleared by Arrest-Adult,46234.930555555555,NULL,ANTELOPE VALLEY PARKWAY & N 17TH ST
26002051,OUTSIDE - O.P.S. OTHER,2026-07-31T16:36:00Z,Closed - Non-Criminal Case,46214.489583333336,NULL,2100 U St
26002046,OUTSIDE - O.P.S. OTHER,2026-07-31T02:07:00Z,Closed - Non-Criminal Case,46234.088194444441,NULL,P ST & N 7TH ST
26002041,SUSPICIOUS PERSON,2026-07-30T09:16:00Z,Closed - Non-Criminal Case,46233.386111111111,NULL,1360 Vine St
26002040,LITTERING,2026-07-30T08:49:00Z,Open,46232.722222222219,NULL,2402 Salt Creek Rdwy
26002036,OUTSIDE - O.P.S. OTHER,2026-07-29T13:29:00Z,Closed - Non-Criminal Case,NULL,NULL,N 16TH ST & Q ST
OS26015,SEX OFFENSE - MOLEST/FONDLING,2026-07-29T13:11:00Z,NA - Clery Report Only,46227.000694444447,46227.999305555553,On-Campus
26002034,TRESPASSING,2026-07-29T04:57:00Z,Closed - Inactive,46232.206250000003,NULL,540 N 16th St
26002033,NARCOTICS - POSSESSION,2026-07-29T00:05:00Z,Closed - Cleared by Arrest-Adult,46232.003472222219,NULL,2021 Transformation Drive
26002025,LARCENY - FROM BUILDING,2026-07-27T09:25:00Z,Closed - Inactive,NULL,NULL,1100 T St
26002023,VANDALISM - OTHER,2026-07-27T08:45:00Z,Closed - Inactive,46229.190972222219,46229.198611111111,1705 Arbor Dr
26002021,OUTSIDE - O.P.S. OTHER,2026-07-26T01:13:00Z,Closed - Non-Criminal Case,46229.050694444442,NULL,Q ST & N 8TH ST
26002018,ALCOHOL - DWI,2026-07-25T00:07:00Z,Closed - Cleared by Arrest-Adult,46228.004861111112,NULL,Q ST & N 14TH ST
26002012,ACCIDENTS - P.D. H&R NOT REPORTABLE,2026-07-23T13:42:00Z,Closed - Cleared by Arrest-Adult,46226.826388888891,NULL,840 N 14th St
26002006,ALCOHOL - DWI,2026-07-22T23:31:00Z,Closed - Cleared by Arrest-Adult,46225.979861111111,NULL,N 16TH ST & Q ST
26002001,NARCOTICS - POSSESSION,2026-07-22T09:13:00Z,Closed - Cleared by Arrest-Adult,46225.384027777778,NULL,N 33RD ST & APPLE ST
26001995,OUTSIDE - O.P.S. OTHER,2026-07-21T14:13:00Z,Closed - Non-Criminal Case,46224.592361111114,NULL,1111 N 14th St
26001984,TRESPASSING,2026-07-19T04:33:00Z,Closed - Non-Criminal Case,46222.189583333333,NULL,1400 R St
