COUNTY,2023 NET TAXABLE SALES,2022 NET TAXABLE SALES,PERCENT CHANGE,2023 SALES TAX 5.5%,2022 SALES TAX 5.5%,,,
Adams,"8,570,667","9,648,750",-11.20,"472,510.39","531,983.83",,,
Antelope,"2,326,273","2,280,993",2.00,"128,046.21","125,642.57",,,
Arthur,"136,443","89,072",53.20,"7,373.88","4,780.06",,,
Banner,"268,824","354,764",-24.20,"14,649.96","19,387.32",,,
Blaine,"97,666","198,602",-50.80,"5,246.12","10,776.34",,,
Boone,"2,246,873","2,513,666",-10.60,"123,521.74","138,149.38",,,
Box Butte,"2,404,284","2,757,362",-12.80,"132,561.40","152,064.24",,,
Boyd,"984,533","682,843",44.20,"53,866.84","37,355.01",,,
Brown,"1,398,430","1,156,997",20.90,"76,837.81","63,520.08",,,
Buffalo,"14,467,822","11,635,138",24.30,"797,328.99","641,475.34",,,
Burt,"2,418,121","2,348,009",3.00,"133,238.95","128,969.22",,,
Butler,"2,734,588","2,125,498",28.70,"150,319.16","116,882.53",,,
Cass,"8,463,179","7,777,937",8.80,"465,597.77","427,780.56",,,
Cedar,"2,715,867","2,200,165",23.40,"149,024.71","120,820.20",,,
Chase,"1,744,510","2,078,923",-16.10,"95,850.42","114,133.28",,,
Cherry,"2,180,553","1,699,244",28.30,"119,885.10","93,461.54",,,
Cheyenne,"2,343,165","1,790,281",30.90,"129,101.70","98,758.88",,,
Clay,"2,443,379","2,133,319",14.50,"134,490.31","117,184.73",,,
Colfax,"3,187,123","2,809,294",13.40,"175,520.68","154,835.91",,,
Cuming,"2,971,459","2,863,419",3.80,"163,511.52","157,533.62",,,
Custer,"3,819,764","3,914,313",-2.40,"209,903.14","215,274.61",,,
Dakota,"4,914,874","5,362,957",-8.40,"271,529.48","296,190.38",,,
Dawes,"1,711,817","1,235,711",38.50,"94,272.32","68,110.75",,,
Dawson,"6,648,235","6,913,585",-3.80,"366,522.35","381,097.96",,,
Deuel,"555,549","497,819",11.60,"30,448.38","27,293.51",,,
