county,net_taxable_sales,sales_tax_collected,month
Adams,8493120,468514.58,2022-04-01
Antelope,2071632,114058.75,2022-04-01
Arthur,175854,9609.82,2022-04-01
Banner,484931,26662.78,2022-04-01
Blaine,151500,8288.13,2022-04-01
Boone,1971443,108467.17,2022-04-01
Box Butte,2647821,146075.08,2022-04-01
Boyd,496992,27211.08,2022-04-01
Brown,675025,37161.78,2022-04-01
Buffalo,13921093,767900.07,2022-04-01
Burt,1941970,107172.2,2022-04-01
Butler,2760310,151884.69,2022-04-01
Cass,8981159,494100.05,2022-04-01
Cedar,2429701,133553.49,2022-04-01
Chase,1410267,77692.18,2022-04-01
Cherry,1406457,77268.08,2022-04-01
Cheyenne,2388452,131634.61,2022-04-01
Clay,1873577,103592.04,2022-04-01
Colfax,3057574,168585.52,2022-04-01
Cuming,3643682,200380.37,2022-04-01
Custer,3430117,188845.68,2022-04-01
Dakota,4083523,225717.77,2022-04-01
Dawes,1134602,62646.33,2022-04-01
Dawson,5906405,325796.84,2022-04-01
Deuel,400433,22092.96,2022-04-01
Dixon,1733697,95272.46,2022-04-01
Dodge,9872091,544864.27,2022-04-01
Douglas,131555549,7269890.65,2022-04-01
Dundy,644260,35418.04,2022-04-01
Fillmore,1928420,106084.82,2022-04-01
Franklin,1466495,80510.66,2022-04-01
Frontier,746408,41025.59,2022-04-01
Furnas,1470556,81262.32,2022-04-01
Gage,6475563,357640.49,2022-04-01
Garden,408869,22607.86,2022-04-01
Garfield,169633,9341.58,2022-04-01
Gosper,853109,46804.39,2022-04-01
Grant,198998,10897.38,2022-04-01
Greeley,779226,42726.26,2022-04-01
Hall,15474324,855808.37,2022-04-01
Hamilton,2969867,162939.37,2022-04-01
Harlan,1104687,60679.58,2022-04-01
Hayes,417397,22943.68,2022-04-01
Hitchcock,750771,41214.75,2022-04-01
Holt,3049740,168047.12,2022-04-01
Hooker,177531,9699.35,2022-04-01
Howard,2228279,122427.22,2022-04-01
Jefferson,2785041,153597.74,2022-04-01
Johnson,1133778,62345.24,2022-04-01
Kearney,2010032,110570.05,2022-04-01
Keith,2493611,137382.39,2022-04-01
Keya Paha,283555,15549.21,2022-04-01
Kimball,753644,41527.87,2022-04-01
Knox,2050201,112779.13,2022-04-01
Lancaster,66846341,3696675.65,2022-04-01
Lincoln,8543230,471129.45,2022-04-01
Logan,262247,14312.53,2022-04-01
Loup,169193,9250.19,2022-04-01
Madison,8805266,486161.78,2022-04-01
Mcpherson,94591,5135.25,2022-04-01
Merrick,1974115,108658.67,2022-04-01
Morrill,913271,50322.26,2022-04-01
Nance,1019196,56134.74,2022-04-01
Nemaha,1864156,102470.43,2022-04-01
Nuckolls,945168,52099.59,2022-04-01
Otoe,4469752,246420.72,2022-04-01
Pawnee,838365,46019.97,2022-04-01
Perkins,1344236,73932.8,2022-04-01
Phelps,2889173,159164.37,2022-04-01
Pierce,2813482,154641.88,2022-04-01
Platte,10189764,562654.96,2022-04-01
Polk,1850941,101788.36,2022-04-01
Red Willow,2959959,163033.79,2022-04-01
Richardson,1824843,100281.1,2022-04-01
Rock,425415,23362.96,2022-04-01
Saline,3330256,183756.83,2022-04-01
Sarpy,51460579,2836713.61,2022-04-01
Saunders,7634172,419911,2022-04-01
Scotts Bluff,6654752,367697.89,2022-04-01
Seward,4813915,264975.41,2022-04-01
Sheridan,1121999,61884.94,2022-04-01
Sherman,687083,37800.63,2022-04-01
Sioux,257556,14190.51,2022-04-01
Stanton,2196957,120674.37,2022-04-01
Thayer,2421975,133073.14,2022-04-01
Thomas,199509,10922.09,2022-04-01
Thurston,1177463,64754.62,2022-04-01
Valley,1246701,68688.77,2022-04-01
Washington,8050280,442824.01,2022-04-01
Wayne,2040395,112297.99,2022-04-01
Webster,1375914,75685.3,2022-04-01
Wheeler,351064,19256.65,2022-04-01
York,4094495,225665.86,2022-04-01
Adams,8493120,468514.58,2021-04-01
Antelope,2071632,114058.75,2021-04-01
Arthur,175854,9609.82,2021-04-01
Banner,484931,26662.78,2021-04-01
Blaine,151500,8288.13,2021-04-01
Boone,1971443,108467.17,2021-04-01
Box Butte,2647821,146075.08,2021-04-01
Boyd,496992,27211.08,2021-04-01
Brown,675025,37161.78,2021-04-01
Buffalo,13921093,767900.07,2021-04-01
Burt,1941970,107172.2,2021-04-01
Butler,2760310,151884.69,2021-04-01
Cass,8981159,494100.05,2021-04-01
Cedar,2429701,133553.49,2021-04-01
Chase,1410267,77692.18,2021-04-01
Cherry,1406457,77268.08,2021-04-01
Cheyenne,2388452,131634.61,2021-04-01
Clay,1873577,103592.04,2021-04-01
Colfax,3057574,168585.52,2021-04-01
Cuming,3643682,200380.37,2021-04-01
