county,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022
Adams,6625813,5672468,6153362,6738838,7385906,5583370,1335499,2443546,8420096,11971105,10674251,8481641,6923320,5267886,7584378,7363974,7915937,9886925,8493120,10053213,9061211,7908583,9938494,9137769,9648750,7619969,6670613,7363974,7915937,9886925,8493120,10053213,9061211,7908583,9938494,9137769,9648750
Antelope,1991189,1097855,2412801,2486653,1317587,1743293,729609,2130387,2429079,2480359,2316672,1824165,2070504,1503950,2069014,3044820,2368991,3012316,2071632,2624093,2288363,2389989,2523595,3056342,2280993,2144288,3195611,3044820,2368991,3012316,2071632,2624093,2288363,2389989,2523595,3056342,2280993
Arthur,130535,134955,218166,61683,62077,76181,39388,32055,128932,227036,320565,102611,56996,145384,84362,369755,141852,154224,175854,219390,287466,147124,53400,142458,89072,130667,40530,369755,141852,154224,175854,219390,287466,147124,53400,142458,89072
Banner,221785,108917,224489,258013,225113,113480,306365,209321,102961,325695,261553,290953,178469,67421,346783,289502,199812,305521,484931,311237,398565,226935,385201,264446,354764,280327,134882,289502,199812,305521,484931,311237,398565,226935,385201,264446,354764
Blaine,164863,66306,67608,185425,70040,65195,46400,23250,108460,183747,231442,56607,119811,230050,206638,77650,256233,76124,151500,62375,163068,176069,194256,283847,198602,140851,143404,77650,256233,76124,151500,62375,163068,176069,194256,283847,198602
Boone,2953262,1382683,2055940,1956787,1266820,1261969,337835,949991,2794624,2520104,1910473,1456979,1459050,1533388,1546447,1856537,1852436,2510514,1971443,2449261,1621209,2667780,2465465,2425127,2513666,1433699,1851751,1856537,1852436,2510514,1971443,2449261,1621209,2667780,2465465,2425127,2513666
Box Butte,2163889,1940684,1717436,2303728,1931762,1260234,501743,1189931,3775980,2662197,3278759,2472763,2522247,1964720,1594873,2004954,2268422,3426824,2647821,2738518,2606185,2662233,3021383,2727362,2757362,2070944,2094540,2004954,2268422,3426824,2647821,2738518,2606185,2662233,3021383,2727362,2757362
Boyd,604774,346045,368939,420344,640313,309516,241254,342823,402177,490647,838042,550937,339194,392500,483290,546874,500951,541800,496992,595992,467202,656552,498661,504598,682843,432208,488833,546874,500951,541800,496992,595992,467202,656552,498661,504598,682843
Brown,1306231,608835,490077,819635,597167,831431,573483,377816,925776,899218,616927,959141,1000801,563156,809224,860419,680320,1211889,675025,1036557,1124892,684653,1664722,1633475,1156997,1044065,748676,860419,680320,1211889,675025,1036557,1124892,684653,1664722,1633475,1156997
Buffalo,10102186,8698647,10148575,9404783,8940473,6777166,1560521,1534045,21415540,17555936,14777395,13266666,10958547,9411464,10390623,11964535,11879168,13612985,13921093,14315959,13603437,15356447,15844240,14893801,11635138,10251235,10580006,11964535,11879168,13612985,13921093,14315959,13603437,15356447,15844240,14893801,11635138
Burt,1600791,1110005,1581371,2036298,1397591,1626385,1126830,1182463,1918792,1945250,2210303,2275655,2256361,1392821,2116758,2433645,1902424,2545811,1941970,2503708,2023951,2451844,2725401,1857812,2348009,1553330,1957870,2433645,1902424,2545811,1941970,2503708,2023951,2451844,2725401,1857812,2348009
Butler,2590641,1670855,2340769,2634663,1665811,1802550,1012833,1202587,3524793,2622846,2626317,2304116,2670134,1719432,2725774,2699202,2063469,3510200,2760310,3458649,2388223,3179481,3392331,2651103,2125498,2520918,2530247,2699202,2063469,3510200,2760310,3458649,2388223,3179481,3392331,2651103,2125498
Cass,6722438,5117107,6488308,6665739,6508943,4522575,3613111,4907562,10535316,8541162,9237956,8098567,6808459,5127408,6374390,5942040,5904527,8504915,8981159,8977316,8878873,7536360,8940470,7991137,7777937,6530044,6603107,5942040,5904527,8504915,8981159,8977316,8878873,7536360,8940470,7991137,7777937
Cedar,2463492,1551440,1866913,2104337,2212871,2133257,1039209,1112729,3633226,2971509,2930230,2482464,2469672,1984438,2496716,2787459,2289094,3193047,2429701,2694757,3113946,2487819,2764197,2999953,2200165,2245182,2939629,2787459,2289094,3193047,2429701,2694757,3113946,2487819,2764197,2999953,2200165
Chase,2294845,1233304,1319129,1835902,1479389,1576713,763458,1040449,1157545,1365020,1654237,1184143,1249159,963381,618742,1523394,1404597,1468860,1410267,1308767,1438637,2103448,2204550,2216448,2078923,1176933,1467867,1523394,1404597,1468860,1410267,1308767,1438637,2103448,2204550,2216448,2078923
Cherry,1280366,1181839,1014981,1507686,926066,982653,216238,367006,2507991,2137905,1940149,1616067,1475119,1020891,1583001,1668558,1649328,1567843,1406457,1792249,1669433,1723003,1419053,1488594,1699244,1892964,1547754,1668558,1649328,1567843,1406457,1792249,1669433,1723003,1419053,1488594,1699244
Cheyenne,1998240,1851398,2268238,1983289,2063367,1725257,181338,2312070,3029996,2761387,2363518,2455973,1929259,1775982,2015483,1981721,2002612,1924801,2388452,2897980,2211370,2658649,2768393,2142734,1790281,1751347,1783882,1981721,2002612,1924801,2388452,2897980,2211370,2658649,2768393,2142734,1790281
Clay,1490283,1008040,1535423,2223885,1829383,1321383,895041,979694,1907996,2188510,2123054,1695101,1851052,1566384,1759074,2277094,1499927,2888247,1873577,1963582,2839796,1897188,2697593,2012053,2133319,1655593,2274475,2277094,1499927,2888247,1873577,1963582,2839796,1897188,2697593,2012053,2133319
Colfax,2417299,1869943,2428341,2042912,1942727,2224825,1209201,1204329,3572739,2831404,2922246,2868949,2741622,2041680,2421856,2641990,2200667,3333419,3057574,2600137,3025495,2260198,3012206,3616072,2809294,2187501,2188015,2641990,2200667,3333419,3057574,2600137,3025495,2260198,3012206,3616072,2809294
Cuming,1972234,2159892,2231261,3121573,1934485,1438249,61035,135559,5475355,2781497,2452473,3104482,2575820,2336695,2737880,3003241,3120033,3222896,3643682,3042082,3575258,3357221,4343994,2660241,2863419,1973309,3436105,3003241,3120033,3222896,3643682,3042082,3575258,3357221,4343994,2660241,2863419
Custer,3129496,2539502,2194575,2795130,2529223,2451443,1185391,2637575,3670309,3536769,3504612,2912476,2401971,2174910,3098439,3521023,3815107,4144256,3430117,4332005,4479537,4046233,4639383,4405250,3914313,2654617,3173388,3521023,3815107,4144256,3430117,4332005,4479537,4046233,4639383,4405250,3914313
Dakota,3446201,3063263,3301048,3090653,2990949,2758023,923877,2036619,7361171,5293825,5756474,4150790,6058789,3793417,3654577,3625649,3287947,5553548,4083523,5597152,5577778,4268225,5744977,4865680,5362957,4435510,4341242,3625649,3287947,5553548,4083523,5597152,5577778,4268225,5744977,4865680,5362957
Dawes,1479411,1073504,1245686,1141339,1306303,718327,87222,146222,2585648,1614128,1915238,1902149,1560959,1475375,1354396,1028307,1361722,1462885,1134602,1132236,1488048,1244668,1771405,1505680,1235711,1988885,1609519,1028307,1361722,1462885,1134602,1132236,1488048,1244668,1771405,1505680,1235711
Dawson,4796952,4247217,4869009,5568433,4626549,4938802,1140721,242461,10189586,8094279,6990310,6807866,5842668,4492253,5842940,5541838,4723747,6898523,5906405,6299333,7374866,7496215,6998891,6992779,6913585,4509170,5826495,5541838,4723747,6898523,5906405,6299333,7374866,7496215,6998891,6992779,6913585
Deuel,371212,608894,546754,578681,370818,163032,89325,347560,541034,482155,551886,425184,782686,473315,326887,347967,275181,538433,400433,367175,435167,341473,776649,620613,497819,503204,464553,347967,275181,538433,400433,367175,435167,341473,776649,620613,497819
Dixon,1795570,869345,1522957,1274439,1047488,1412185,279481,583167,2350030,2051853,1917610,1519749,1614393,1465664,1476513,1953604,1153906,2635048,1733697,1508805,2038082,1450088,1540500,1759178,1653809,1482976,1439656,1953604,1153906,2635048,1733697,1508805,2038082,1450088,1540500,1759178,1653809
Dodge,7552933,7433789,7975233,7177052,6588885,6500963,489686,4569738,14899228,13219241,11751933,9907924,8654909,7241154,7239256,8432791,7391840,10414213,9872091,10808744,10671904,9601821,10376329,9988004,8839705,7220842,8237893,8432791,7391840,10414213,9872091,10808744,10671904,9601821,10376329,9988004,8839705
Douglas,102539215,90479738,100349919,104101395,89927031,75678774,35280715,42356057,99483231,170393820,160336167,136591302,116190479,100140498,116625007,104677753,104143699,134385756,131555549,132493734,137232500,128081756,147770706,142784028,135203367,109245195,116959227,104677753,104143699,134385756,131555549,132493734,137232500,128081756,147770706,142784028,135203367
Dundy,404826,294655,457855,724132,398558,351728,110122,261712,576454,424527,603350,523842,404932,621378,549394,418482,372307,381354,644260,651123,487209,697845,571602,723909,684101,352461,432110,418482,372307,381354,644260,651123,487209,697845,571602,723909,684101
Fillmore,1534523,993836,1730005,1971301,1421885,1306109,386450,529689,2443790,2243725,1921366,2253382,1123570,1101693,2734659,2438683,1850659,2299473,1928420,2754118,1790136,2137313,2029704,2535354,2132976,1943902,2103684,2438683,1850659,2299473,1928420,2754118,1790136,2137313,2029704,2535354,2132976
Franklin,764109,616387,914425,1416124,433673,668074,316919,223939,1181653,847952,846192,913388,709291,809173,1726600,1313505,844323,1036228,1466495,866189,1338427,882281,1126746,1410017,706675,791812,1089086,1313505,844323,1036228,1466495,866189,1338427,882281,1126746,1410017,706675
Frontier,434408,665429,629660,718064,679920,360018,405199,290242,902954,913674,938024,749979,510043,681643,869344,773919,1218397,967339,746408,561672,851225,779648,1165650,525982,719851,974915,891001,773919,1218397,967339,746408,561672,851225,779648,1165650,525982,719851
Furnas,942090,650423,1508623,1132808,1017096,977206,584032,1106491,1733040,1953220,1441101,1855204,1201916,876550,1400158,1473655,1486621,1287988,1470556,1663577,2278836,1499652,1822497,1478343,1580776,1035015,1279179,1473655,1486621,1287988,1470556,1663577,2278836,1499652,1822497,1478343,1580776
Gage,4411921,4708376,4843178,4746247,4700685,4160199,2226274,4949629,7171380,7663955,5954501,5726351,4571213,4517838,5356609,5121087,5538658,6658177,6475563,6942102,6301395,7437955,7026614,6791540,5323919,4617682,5684118,5121087,5538658,6658177,6475563,6942102,6301395,7437955,7026614,6791540,5323919
Garden,238337,240204,313614,807243,541128,398428,247694,311982,528951,390327,481000,507847,701027,296386,504639,700821,187403,423097,408869,741391,534402,384729,352471,549859,619118,685959,403205,700821,187403,423097,408869,741391,534402,384729,352471,549859,619118
Garfield,466332,266778,249225,183918,299346,373236,136601,324920,530990,758103,332167,569437,686285,514334,487773,611794,585980,510581,169633,398729,381397,552241,611346,523517,471978,466790,423114,611794,585980,510581,169633,398729,381397,552241,611346,523517,471978
Gosper,562896,611108,622210,1041638,822647,392936,376557,711117,492914,688098,766595,821503,495388,1015162,694045,504855,525330,939252,853109,663570,901765,552782,795429,696477,646523,244689,1033454,504855,525330,939252,853109,663570,901765,552782,795429,696477,646523
Grant,238884,84045,262461,119991,349910,194070,180378,145032,95616,415041,381958,145079,126354,156578,203435,104828,148089,227156,198998,319882,311925,164331,269247,218300,264134,227541,211873,104828,148089,227156,198998,319882,311925,164331,269247,218300,264134
Greeley,612042,397877,628573,539983,524681,377609,112951,309801,778163,552295,561306,542047,747136,403559,729737,1092538,773071,1126583,779226,908174,516766,663300,842305,610623,764658,723800,699458,1092538,773071,1126583,779226,908174,516766,663300,842305,610623,764658
Hall,11957174,10750857,10291085,11749543,10944737,9966190,2234503,4236199,20029171,20227502,19320290,15110754,14888417,10383567,11657861,13208354,12763833,15340273,15474324,14883803,15807609,15022972,16042117,16180494,14072499,12584286,14185225,13208354,12763833,15340273,15474324,14883803,15807609,15022972,16042117,16180494,14072499
Hamilton,2463777,1907827,2059417,2893593,1894850,1760791,753757,1376267,3803146,4015239,2842832,2824928,2284691,1617256,2695499,3359781,2981028,3481646,2969867,3067129,3737377,3258959,4118328,3536207,3699209,3005207,3064769,3359781,2981028,3481646,2969867,3067129,3737377,3258959,4118328,3536207,3699209
Harlan,634044,585917,908328,830705,959041,456431,32240,68390,2215444,1197763,1092577,1160431,782201,530834,921220,1107899,1201347,1262135,1104687,1134903,1294811,1004718,1269685,1043586,1030881,533853,774795,1107899,1201347,1262135,1104687,1134903,1294811,1004718,1269685,1043586,1030881
Hayes,381666,238007,230298,330256,138438,224831,53768,165204,395594,159093,411075,107380,153373,235012,305468,242613,336304,201589,417397,239960,418165,462664,468590,259365,571692,352039,307103,242613,336304,201589,417397,239960,418165,462664,468590,259365,571692
Hitchcock,673391,452797,719517,1115711,391867,433911,312351,600487,753275,807533,831964,836503,531929,654419,662695,726097,592377,1069268,750771,679903,797186,1085743,1082293,1078556,574582,556966,743297,726097,592377,1069268,750771,679903,797186,1085743,1082293,1078556,574582
Holt,2985823,2430120,3107793,2415836,2276685,2230350,776918,1111833,4317268,3532701,2802914,2368048,2715361,2730059,2770119,3624670,2830397,3282461,3049740,3298987,3379691,3126484,3326548,3091728,3594707,3090643,3305838,3624670,2830397,3282461,3049740,3298987,3379691,3126484,3326548,3091728,3594707
Hooker,58138,125303,197385,172172,132457,46934,116137,149995,65649,354963,245913,178299,192206,153847,169386,158717,109107,245258,177531,223181,306406,203567,171202,133020,286523,121888,211896,158717,109107,245258,177531,223181,306406,203567,171202,133020,286523
Howard,1231788,1374629,1161410,1674879,1305765,1667060,736616,806262,2248415,2094055,2170658,1962365,1882842,1316723,2174963,1706383,1363636,2189916,2228279,1901143,2169244,2524631,2260717,2040456,2199517,1336137,1890642,1706383,1363636,2189916,2228279,1901143,2169244,2524631,2260717,2040456,2199517
Jefferson,1780361,1622098,2166098,1873431,1854423,938937,631009,1596111,3042557,2595508,2574345,1957069,1629277,1497367,1961592,2525030,1678437,2467226,2785041,2391972,2500830,2908175,3043836,2390035,2372417,1882341,1994019,2525030,1678437,2467226,2785041,2391972,2500830,2908175,3043836,2390035,2372417
Johnson,868197,716058,954788,784116,673681,514148,463459,615514,1376453,1577937,776249,1043036,894304,966009,1127471,838753,959200,1145976,1133778,1235671,1334543,1191414,1513299,1207265,1181959,765300,996146,838753,959200,1145976,1133778,1235671,1334543,1191414,1513299,1207265,1181959
Kearney,1694674,1446770,2080486,1665014,1520791,1236293,95348,296172,3519264,2602662,2328862,2107646,1401798,1581090,2128590,2345500,1879945,2925771,2010032,2965026,2039992,2250864,2424229,2552681,2220997,2026969,1999928,2345500,1879945,2925771,2010032,2965026,2039992,2250864,2424229,2552681,2220997
Keith,2008038,1695878,2158683,2133814,1886449,1025635,605248,754396,3630630,2764238,2634307,2260215,2164416,1711321,1964561,2245797,2094759,2463766,2493611,2337064,2802561,2475002,2818619,2601753,2437713,1910232,2489762,2245797,2094759,2463766,2493611,2337064,2802561,2475002,2818619,2601753,2437713
Keya Paha,268387,138398,159295,315000,173246,232600,178150,144853,244036,147540,262174,258740,328424,307189,204519,179202,171871,296272,283555,285712,311709,268465,466205,457905,277878,326186,194967,179202,171871,296272,283555,285712,311709,268465,466205,457905,277878
Kimball,888843,429428,559738,952669,522373,600517,347583,910483,1252413,903772,898388,740647,686995,871425,859626,663659,866131,1052060,753644,903621,1221065,908626,1157316,1116420,874950,1057563,965098,663659,866131,1052060,753644,903621,1221065,908626,1157316,1116420,874950
Knox,1956735,1530417,2052633,1433731,1741276,1803152,1114150,1379753,2812360,2742347,2450010,1679955,1885705,1827401,2061642,1987515,2087528,2214069,2050201,2551500,2350961,1980022,2713436,1612407,2515366,1910399,2990064,1987515,2087528,2214069,2050201,2551500,2350961,1980022,2713436,1612407,2515366
Lancaster,53138191,46444806,53941262,50901253,43433666,39672554,16638653,23645806,73525775,88503215,77033629,70840098,61803693,50620088,55910463,53441278,56031363,69522935,66846341,67623305,66671239,66399469,68605787,69340892,63953539,56183638,56184506,53441278,56031363,69522935,66846341,67623305,66671239,66399469,68605787,69340892,63953539
Lincoln,6862779,4693674,5618923,6326937,6734354,4374395,3714793,4807573,13874072,9623253,8805966,8509636,8108785,5451643,7643256,6867901,6931966,9610935,8543230,7786779,9759482,8271663,9309697,8511768,7621241,5718218,6784768,6867901,6931966,9610935,8543230,7786779,9759482,8271663,9309697,8511768,7621241
Logan,247030,258013,203929,414059,146943,174024,102375,166094,129143,178958,265793,159154,191348,165338,220629,232984,328567,306196,262247,362053,272833,346040,417793,166449,212779,212450,155406,232984,328567,306196,262247,362053,272833,346040,417793,166449,212779
