County,Total_Capacity
Adams,1508
Antelope,250
Boone,268
Boyd,12
Brown,114
Buffalo,3918
Burt,90
Butler,246
Cass,1047
Cedar,277
Chase,197
Cherry,116
Cheyenne,470
Clay,235
Colfax,340
Cuming,326
Custer,416
Dakota,716
Dawes,756
Dawson,1054
Deuel,64
Dixon,92
Dodge,1618
Douglas,52270
Dundy,48
Fillmore,203
Franklin,34
Frontier,55
Furnas,209
Gage,1232
Garden,60
Garfield,98
Gosper,68
Grant,112
Greeley,82
Hall,2545
Hamilton,303
Harlan,80
Hitchcock,12
Holt,522
Hooker,19
Howard,235
Jefferson,359
Johnson,100
Kearney,723
Keith,209
Kimball,49
Knox,442
Lancaster,21797
Lincoln,1130
Loup,12
Madison,2057
Merrick,331
Morrill,171
Nance,143
Nemaha,294
Nuckolls,140
Otoe,396
Pawnee,65
Perkins,89
Phelps,554
Pierce,261
Platte,1863
Polk,90
Richardson,269
Rock,342
Saline,509
Sarpy,14960
Saunders,1152
Seward,791
Sheridan,1727
Sherman,79
Stanton,40
Thayer,357
Thomas,12
Thurston,495
Valley,253
Washington,793
Wayne,384
Webster,178
Wheeler,24
York,657
