level,school_year,high_school_graduation_year,college_enrollment_date,county,district,school,name,college_going_count,college_going_percent
SC,20232024,20212022,2023-10-15,01,0090,001,ADAMS CENTRAL JR-SR HIGH SCH,65,94.2
SC,20232024,20212022,2023-10-15,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,188,74.6
SC,20232024,20212022,2023-10-15,01,0003,001,KENESAW SECONDARY SCHOOL,18,85.71
SC,20232024,20212022,2023-10-15,01,0123,001,SILVER LAKE HIGH SCHOOL,13,100
SC,20232024,20212022,2023-10-15,02,0009,001,NELIGH-OAKDALE HIGH SCHOOL,17,73.91
SC,20232024,20212022,2023-10-15,02,0115,007,SUMMERLAND HIGH SCHOOL,21,77.78
SC,20232024,20212022,2023-10-15,03,0500,001,ARTHUR COUNTY HIGH SCHOOL,10,90.91
SC,20232024,20212022,2023-10-15,06,0001,001,BOONE CENTRAL HIGH SCHOOL,52,92.86
SC,20232024,20212022,2023-10-15,06,0075,001,RIVERSIDE HIGH SCHOOL,16,88.89
SC,20232024,20212022,2023-10-15,07,0006,001,ALLIANCE HIGH SCHOOL,64,60.95
SC,20232024,20212022,2023-10-15,07,0010,001,HEMINGFORD HIGH SCHOOL,13,81.25
SC,20232024,20212022,2023-10-15,08,0051,001,BOYD COUNTY HIGH SCHOOL (SPENCER),14,70
SC,20232024,20212022,2023-10-15,09,0010,001,AINSWORTH HIGH SCHOOL,32,82.05
SC,20232024,20212022,2023-10-15,10,0119,001,AMHERST HIGH SCHOOL,23,85.19
SC,20232024,20212022,2023-10-15,10,0009,001,ELM CREEK HIGH SCHOOL,15,83.33
SC,20232024,20212022,2023-10-15,10,0002,001,GIBBON HIGH SCHOOL,31,63.27
SC,20232024,20212022,2023-10-15,10,0007,001,KEARNEY HIGH SCHOOL,284,69.27
SC,20232024,20212022,2023-10-15,10,0105,001,PLEASANTON HIGH SCHOOL,18,90
SC,20232024,20212022,2023-10-15,10,0069,001,RAVENNA SENIOR HIGH,21,84
SC,20232024,20212022,2023-10-15,10,0019,001,SHELTON HIGH SCHOOL,18,81.82
SC,20232024,20212022,2023-10-15,11,0001,001,HIGH SCHOOL AT TEKAMAH,25,78.13
SC,20232024,20212022,2023-10-15,11,0020,001,NORTHEAST SECONDARY SCHOOL,11,91.67
SC,20232024,20212022,2023-10-15,11,0014,001,OAKLAND CRAIG JUNIOR-SENIOR HIGH,20,74.07
SC,20232024,20212022,2023-10-15,12,0056,001,DAVID CITY SECONDARY SCHOOL,29,67.44
SC,20232024,20212022,2023-10-15,12,0502,001,HIGH SCHOOL AT BRAINARD,15,83.33
SC,20232024,20212022,2023-10-15,13,0056,001,CONESTOGA JR/SR HIGH SCHOOL,30,75
SC,20232024,20212022,2023-10-15,13,0097,001,ELMWOOD-MURDOCK JR/SR HIGH SCH,23,82.14
SC,20232024,20212022,2023-10-15,13,0032,001,LOUISVILLE HIGH SCHOOL,32,71.11
SC,20232024,20212022,2023-10-15,13,0001,001,PLATTSMOUTH HIGH SCHOOL,68,56.2
SC,20232024,20212022,2023-10-15,13,0022,001,WEEPING WATER HIGH SCHOOL,15,75
SC,20232024,20212022,2023-10-15,14,0008,001,HARTINGTON NEWCASTLE HIGH SCHOOL,18,69.23
SC,20232024,20212022,2023-10-15,14,0054,001,LAUREL-CONCORD-COLERIDGE HIGH SCHOOL,21,80.77
SC,20232024,20212022,2023-10-15,14,0045,001,RANDOLPH HIGH SCHOOL,10,71.43
SC,20232024,20212022,2023-10-15,14,0101,001,WYNOT HIGH SCHOOL,14,93.33
SC,20232024,20212022,2023-10-15,15,0010,001,CHASE COUNTY HIGH SCHOOL,34,73.91
SC,20232024,20212022,2023-10-15,15,0536,001,WAUNETA-PALISADE HIGH SCHOOL,10,52.63
SC,20232024,20212022,2023-10-15,16,0006,001,VALENTINE HIGH SCHOOL,47,87.04
SC,20232024,20212022,2023-10-15,17,0003,001,LEYTON HIGH SCHOOL,11,73.33
SC,20232024,20212022,2023-10-15,17,0001,001,SIDNEY HIGH SCHOOL,60,62.5
SC,20232024,20212022,2023-10-15,18,0002,001,SUTTON SECONDARY SCHOOL,33,86.84
SC,20232024,20212022,2023-10-15,19,0058,001,CLARKSON JR-SR HIGH SCHOOL,18,81.82
SC,20232024,20212022,2023-10-15,19,0070,001,HOWELLS SENIOR HIGH SCHOOL,24,96
SC,20232024,20212022,2023-10-15,19,0039,001,LEIGH HIGH SCHOOL,15,100
SC,20232024,20212022,2023-10-15,19,0123,001,SCHUYLER CENTRAL HIGH SCHOOL,80,64
SC,20232024,20212022,2023-10-15,20,0020,001,BANCROFT-ROSALIE JR/SR HIGH SCHOOL,19,90.48
SC,20232024,20212022,2023-10-15,20,0001,001,WEST POINT-BEEMER HIGH SCHOOL,56,86.15
SC,20232024,20212022,2023-10-15,20,0030,001,WISNER-PILGER HIGH SCHOOL,19,70.37
SC,20232024,20212022,2023-10-15,21,0015,001,ANSELMO-MERNA HIGH SCHOOL,17,73.91
SC,20232024,20212022,2023-10-15,21,0044,001,ANSLEY HIGH SCHOOL,10,76.92
SC,20232024,20212022,2023-10-15,21,0025,001,BROKEN BOW HIGH SCHOOL,50,78.13
