INSTNM,STABBR,UGDS,ADM_RATE,COSTT4_A,C150_4,TUITIONFEE_IN,TUITIONFEE_OUT
Alabama A & M University,AL,6124,0.5795,27153,0.2403,10024,18634
University of Alabama at Birmingham,AL,11635,0.8818,28145,0.6423,9098,22562
University of Alabama in Huntsville,AL,6591,0.6857,27392,0.6429,12132,26408
Alabama State University,AL,3477,0.9755,23586,0.3034,11248,19576
The University of Alabama,AL,33227,0.7665,33382,0.7337,12180,34172
Auburn University at Montgomery,AL,2542,0.9157,21353,0.326,9700,20668
Auburn University,AL,26816,0.4592,34919,0.8195,12890,34922
Faulkner University,AL,1549,0.7307,37626,0.374,23920,23920
Huntingdon College,AL,879,0.6949,40908,0.4798,29070,29070
Heritage Christian University,AL,75,0.9,20909,0.6667,11982,11982
Jacksonville State University,AL,7036,0.7769,24257,0.5472,12894,23334
University of West Alabama,AL,2974,0.4265,22758,0.347,10990,20090
University of Mobile,AL,1307,0.7789,41115,0.5685,26910,26910
University of Montevallo,AL,2151,0.5385,27398,0.541,13948,26968
University of North Alabama,AL,5811,0.8731,23786,0.5491,12120,22320
Oakwood University,AL,1153,0.4522,40176,0.4462,22512,22512
Samford University,AL,4206,0.8236,57456,0.7704,40150,40150
University of South Alabama,AL,8879,0.7096,25476,0.5267,10116,19092
Spring Hill College,AL,782,0.7657,39936,0.521,24054,24054
Stillman College,AL,706,0.6225,26107,0.25,12126,12126
Talladega College,AL,701,0.8542,25185,0.3091,15650,15650
Troy University,AL,9805,0.9604,23165,0.503,10176,20352
Tuskegee University,AL,2630,0.4868,43454,0.5498,25386,25386
Arizona State University Campus Immersion,AZ,64674,0.8989,30111,0.6804,12223,33139
University of Arizona,AZ,42537,0.8614,29423,0.6752,13926,42278
Embry-Riddle Aeronautical University-Prescott,AZ,3218,0.7658,62798,0.6776,44149,44149
Grand Canyon University,AZ,73371,0.7891,32702,0.4346,17850,17850
Northern Arizona University,AZ,22903,0.8961,29933,0.6132,13009,29881
Prescott College,AZ,219,0.9451,48532,0.5556,35685,35685
Arizona Christian University,AZ,1165,0.7062,54792,0.3987,35098,35098
University of Arkansas at Little Rock,AR,4949,0.5878,22519,0.4165,9748,22158
Lyon College,AR,648,0.6276,44978,0.4676,31000,31000
University of Arkansas,AR,28677,0.743,27767,0.7052,10104,29966
University of Arkansas at Pine Bluff,AR,1807,0.4118,21129,0.4043,9412,17992
Arkansas State University,AR,9110,0.8226,25082,0.554,8090,14522
