county,state,total_population_change,natural_change,births,deaths,net_migration_total,international,domestic
Autauga County,Alabama,616,93,714,621,525,34,491
Baldwin County,Alabama,6976,-109,2531,2640,7095,291,6804
Barbour County,Alabama,-115,-83,267,350,-32,13,-45
Bibb County,Alabama,-118,-50,240,290,-68,1,-69
Blount County,Alabama,300,-78,698,776,382,24,358
Bullock County,Alabama,-246,-31,102,133,-213,6,-219
Butler County,Alabama,-286,-87,212,299,-199,8,-207
Calhoun County,Alabama,649,-303,1346,1649,952,29,923
Chambers County,Alabama,-85,-113,398,511,29,55,-26
Cherokee County,Alabama,313,-179,230,409,496,14,482
Chilton County,Alabama,583,-40,548,588,626,49,577
Choctaw County,Alabama,-179,-92,108,200,-86,2,-88
Clarke County,Alabama,-237,-73,293,366,-165,0,-165
Clay County,Alabama,-72,-71,159,230,-1,-3,2
Cleburne County,Alabama,267,-52,177,229,321,-1,322
Coffee County,Alabama,803,46,676,630,763,68,695
Colbert County,Alabama,368,-165,636,801,536,47,489
Conecuh County,Alabama,-50,-71,134,205,20,0,20
Coosa County,Alabama,-39,-85,89,174,48,-1,49
Covington County,Alabama,349,-235,418,653,588,-1,589
Crenshaw County,Alabama,53,-68,157,225,122,27,95
Cullman County,Alabama,1353,-131,1015,1146,1487,16,1471
Dale County,Alabama,376,69,692,623,306,49,257
Dallas County,Alabama,-564,-144,428,572,-421,37,-458
DeKalb County,Alabama,487,-110,835,945,595,100,495
Elmore County,Alabama,841,-7,935,942,851,29,822
Escambia County,Alabama,-78,-154,428,582,76,2,74
Etowah County,Alabama,338,-460,1170,1630,802,69,733
Fayette County,Alabama,-115,-96,180,276,-18,0,-18
Franklin County,Alabama,-108,-19,430,449,-90,54,-144
Geneva County,Alabama,228,-157,294,451,386,17,369
Greene County,Alabama,-111,-42,84,126,-68,0,-68
Hale County,Alabama,289,-38,213,251,328,1,327
Henry County,Alabama,229,-88,173,261,319,0,319
Houston County,Alabama,415,-43,1306,1349,457,83,374
Jackson County,Alabama,544,-292,549,841,838,29,809
Jefferson County,Alabama,-2189,394,7967,7573,-2599,818,-3417
Lamar County,Alabama,-45,-83,155,238,37,-1,38
Lauderdale County,Alabama,939,-235,948,1183,1161,58,1103
Lawrence County,Alabama,315,-106,386,492,419,-1,420
Lee County,Alabama,2517,586,1899,1313,1932,575,1357
Limestone County,Alabama,3786,164,1204,1040,3627,104,3523
Lowndes County,Alabama,-66,-49,120,169,-16,1,-17
Macon County,Alabama,-162,-79,162,241,-83,24,-107
Madison County,Alabama,8995,854,4470,3616,8129,789,7340
Marengo County,Alabama,-107,-81,220,301,-27,14,-41
Marion County,Alabama,62,-132,309,441,193,1,192
Marshall County,Alabama,1328,279,1535,1256,1047,181,866
Mobile County,Alabama,242,310,5075,4765,-80,325,-405
Monroe County,Alabama,-183,-88,231,319,-97,1,-98
Montgomery County,Alabama,-1321,643,3003,2360,-1979,439,-2418
Morgan County,Alabama,902,-45,1461,1506,946,106,840
Perry County,Alabama,-166,-52,89,141,-113,1,-114
Pickens County,Alabama,-61,-97,186,283,36,14,22
Pike County,Alabama,129,-36,360,396,166,66,100
Randolph County,Alabama,326,-87,249,336,414,10,404
Russell County,Alabama,150,-22,688,710,173,24,149
St. Clair County,Alabama,1671,-124,1032,1156,1795,18,1777
Shelby County,Alabama,2967,663,2390,1727,2326,248,2078
Sumter County,Alabama,-162,-47,114,161,-115,21,-136
Talladega County,Alabama,384,-276,871,1147,658,25,633
Tallapoosa County,Alabama,-236,-245,392,637,8,19,-11
Tuscaloosa County,Alabama,683,506,2510,2004,170,298,-128
Walker County,Alabama,290,-288,808,1096,578,39,539
Washington County,Alabama,-72,-42,187,229,-30,-1,-29
Wilcox County,Alabama,-195,-50,116,166,-145,2,-147
Winston County,Alabama,-130,-139,249,388,10,18,-8
Aleutians East Borough,Alaska,31,7,17,10,24,77,-53
Aleutians West Census Area,Alaska,70,9,25,16,64,131,-67
Anchorage Municipality,Alaska,-908,1396,3573,2177,-2297,1115,-3412
Bethel Census Area,Alaska,-35,234,389,155,-271,5,-276
Bristol Bay Borough,Alaska,-26,4,11,7,-28,6,-34
Chugach Census Area,Alaska,-130,38,62,24,-168,15,-183
Copper River Census Area,Alaska,65,14,32,18,52,-1,53
Denali Borough,Alaska,9,11,20,9,-3,6,-9
Dillingham Census Area,Alaska,-117,28,75,47,-144,12,-156
Fairbanks North Star Borough,Alaska,-362,821,1427,606,-1177,214,-1391
Haines Borough,Alaska,0,7,24,17,-6,6,-12
Hoonah-Angoon Census Area,Alaska,-17,-10,18,28,-6,3,-9
Juneau City and Borough,Alaska,-185,70,284,214,-256,58,-314
Kenai Peninsula Borough,Alaska,612,87,636,549,524,38,486
Ketchikan Gateway Borough,Alaska,-34,10,119,109,-43,29,-72
Kodiak Island Borough,Alaska,-74,70,158,88,-143,91,-234
Kusilvak Census Area,Alaska,-213,144,216,72,-355,1,-356
Lake and Peninsula Borough,Alaska,-46,5,16,11,-50,1,-51
Matanuska-Susitna Borough,Alaska,1767,508,1370,862,1255,57,1198
Nome Census Area,Alaska,-28,85,169,84,-116,8,-124
North Slope Borough,Alaska,-208,63,126,63,-270,43,-313
Northwest Arctic Borough,Alaska,-92,62,141,79,-155,-1,-154
Petersburg Borough,Alaska,57,-3,25,28,62,25,37
Prince of Wales-Hyder Census Area,Alaska,46,-3,73,76,50,2,48
Sitka City and Borough,Alaska,-71,7,76,69,-77,21,-98
Skagway Municipality,Alaska,3,1,9,8,0,4,-4
Southeast Fairbanks Census Area,Alaska,61,44,98,54,15,23,-8
Wrangell City and Borough,Alaska,-7,-5,19,24,-1,0,-1
Yakutat City and Borough,Alaska,2,1,3,2,1,1,0
Yukon-Koyukuk Census Area,Alaska,-40,-20,55,75,-20,14,-34
Apache County,Arizona,-497,-251,724,975,-246,56,-302
Cochise County,Arizona,-847,-366,1246,1612,-467,228,-695
Coconino County,Arizona,249,256,1315,1059,-4,292,-296
Gila County,Arizona,81,-478,453,931,556,-6,562
Graham County,Arizona,703,85,493,408,612,-2,614
Greenlee County,Arizona,42,20,118,98,22,31,-9
La Paz County,Arizona,175,-211,165,376,390,78,312
Maricopa County,Arizona,30038,12508,50795,38287,17396,15217,2179
Mohave County,Arizona,2777,-2257,1736,3993,5033,81,4952
Navajo County,Arizona,375,-369,1228,1597,745,38,707
Pima County,Arizona,5686,-1270,10006,11276,6928,3105,3823
Pinal County,Arizona,19202,722,5015,4293,18496,1033,17463
Santa Cruz County,Arizona,478,172,554,382,305,332,-27
Yavapai County,Arizona,2851,-1810,1777,3587,4667,153,4514
Yuma County,Arizona,4347,951,2869,1918,3381,999,2382
Arkansas County,Arkansas,-191,-119,186,305,-72,-1,-71
Ashley County,Arkansas,-86,-116,199,315,34,-2,36
Baxter County,Arkansas,390,-452,349,801,839,-4,843
Benton County,Arkansas,8191,1697,3908,2211,6472,1096,5376
Boone County,Arkansas,250,-120,406,526,374,-2,376
Bradley County,Arkansas,-64,-36,118,154,-29,-5,-24
Calhoun County,Arkansas,-46,-37,51,88,-8,0,-8
Carroll County,Arkansas,97,-45,326,371,140,36,104
Chicot County,Arkansas,-296,-85,88,173,-210,-1,-209
Clark County,Arkansas,-2,-50,239,289,48,8,40
Clay County,Arkansas,-70,-85,157,242,15,-2,17
Cleburne County,Arkansas,192,-204,223,427,396,-3,399
Cleveland County,Arkansas,-89,-47,82,129,-40,1,-41
Columbia County,Arkansas,-136,-42,256,298,-94,20,-114
Conway County,Arkansas,56,-70,228,298,124,26,98
Craighead County,Arkansas,1130,449,1540,1091,678,61,617
Crawford County,Arkansas,850,-52,727,779,903,151,752
Crittenden County,Arkansas,88,-50,570,620,138,32,106
Cross County,Arkansas,-170,-82,183,265,-90,30,-120
Dallas County,Arkansas,-11,-63,57,120,53,-1,54
Desha County,Arkansas,-279,-51,113,164,-226,9,-235
Drew County,Arkansas,33,-33,193,226,65,9,56
Faulkner County,Arkansas,2386,351,1468,1117,2037,145,1892
Franklin County,Arkansas,198,-70,188,258,270,0,270
Fulton County,Arkansas,66,-118,117,235,183,-1,184
Garland County,Arkansas,-198,-565,970,1535,369,74,295
Grant County,Arkansas,254,-74,184,258,331,7,324
Greene County,Arkansas,335,-36,526,562,367,6,361
Hempstead County,Arkansas,-138,-67,214,281,-74,17,-91
Hot Spring County,Arkansas,109,-171,304,475,278,-1,279
Howard County,Arkansas,-89,-36,139,175,-54,4,-58
Independence County,Arkansas,66,-13,474,487,80,2,78
Izard County,Arkansas,140,-125,113,238,264,-2,266
Jackson County,Arkansas,130,-95,157,252,224,7,217
Jefferson County,Arkansas,-634,-193,723,916,-441,83,-524
Johnson County,Arkansas,159,-38,296,334,197,20,177
Lafayette County,Arkansas,-34,-64,42,106,31,28,3
Lawrence County,Arkansas,124,-47,192,239,173,9,164
Lee County,Arkansas,-166,-57,82,139,-107,11,-118
Lincoln County,Arkansas,-12,-70,100,170,57,-2,59
Little River County,Arkansas,-60,-99,95,194,39,-2,41
Logan County,Arkansas,142,-102,260,362,246,2,244
Lonoke County,Arkansas,745,97,886,789,649,43,606
Madison County,Arkansas,312,-31,217,248,344,13,331
Marion County,Arkansas,225,-164,137,301,390,-2,392
Miller County,Arkansas,-193,-217,356,573,23,-29,52
Mississippi County,Arkansas,-200,-45,526,571,-156,17,-173
Monroe County,Arkansas,-56,-48,86,134,-8,0,-8
Montgomery County,Arkansas,77,-82,80,162,162,-1,163
Nevada County,Arkansas,-59,-46,75,121,-12,-2,-10
Newton County,Arkansas,-30,-56,67,123,26,0,26
Ouachita County,Arkansas,-201,-123,247,370,-79,0,-79
Perry County,Arkansas,111,-52,99,151,163,6,157
Phillips County,Arkansas,-389,-70,208,278,-319,31,-350
Pike County,Arkansas,49,-57,113,170,107,2,105
Poinsett County,Arkansas,-56,-106,292,398,50,35,15
Polk County,Arkansas,102,-114,202,316,219,11,208
Pope County,Arkansas,540,47,729,682,501,23,478
Prairie County,Arkansas,-41,-64,79,143,22,-1,23
Pulaski County,Arkansas,622,938,5002,4064,-315,489,-804
Randolph County,Arkansas,55,-19,246,265,73,32,41
St. Francis County,Arkansas,-301,-60,269,329,-240,42,-282
Saline County,Arkansas,2159,29,1414,1385,2136,86,2050
Scott County,Arkansas,55,-56,122,178,108,1,107
Searcy County,Arkansas,-100,-80,74,154,-20,1,-21
Sebastian County,Arkansas,-11,93,1604,1511,-105,181,-286
Sevier County,Arkansas,-106,-21,180,201,-86,5,-91
Sharp County,Arkansas,132,-122,180,302,254,0,254
Stone County,Arkansas,86,-94,126,220,182,-6,188
Union County,Arkansas,-416,-111,462,573,-305,53,-358
Van Buren County,Arkansas,39,-158,140,298,196,7,189
Washington County,Arkansas,4867,1410,3279,1869,3421,1125,2296
