college_enrollment_date,district,agency_name,college_going_count,college_going_pct,average_composite_score
2022-10-15,0003,Kenesaw Public Schools,13,76.47,20.95
2022-10-15,0018,Hastings Public Schools,176,70.4,17.6527
2022-10-15,0090,Adams Central Public Schools,64,90.14,20
2022-10-15,0123,Silver Lake Public Schools,11,68.75,18.381
2022-10-15,0009,Neligh-Oakdale Schools,22,81.48,17.125
2022-10-15,0115,Summerland Public Schools,21,84,20.1333
2022-10-15,0001,Boone Central Schools,43,87.76,19.4038
2022-10-15,0006,Alliance Public Schools,73,63.48,16.931
2022-10-15,0010,Hemingford Public Schools,23,88.46,17.7273
2022-10-15,0051,Boyd County Schools,18,64.29,19.8125
2022-10-15,0010,Ainsworth Community Schools,21,53.85,18.6452
2022-10-15,0002,Gibbon Public Schools,26,72.22,18
2022-10-15,0007,Kearney Public Schools,263,70.89,19.2738
2022-10-15,0009,Elm Creek Public Schools,20,68.97,16.6087
2022-10-15,0019,Shelton Public Schools,11,64.71,19.8696
2022-10-15,0069,Ravenna Public Schools,35,79.55,19.1154
2022-10-15,0105,Pleasanton Public Schools,19,95,16.7692
2022-10-15,0119,Amherst Public Schools,23,82.14,20.2759
2022-10-15,0001,Tekamah-Herman Community Schs,21,70,16.8857
2022-10-15,0014,Oakland Craig Public Schools,29,90.63,21.0294
2022-10-15,0056,David City Public Schools,27,72.97,19.814
2022-10-15,0502,East Butler Public Schools,16,57.14,18.6296
2022-10-15,0001,Plattsmouth Community Schools,68,62.39,17.5361
2022-10-15,0022,Weeping Water Public Schools,28,87.5,20.0714
2022-10-15,0032,Louisville Public Schools,39,81.25,19.7143
2022-10-15,0056,Conestoga Public Schools,31,63.27,20.3061
2022-10-15,0097,Elmwood-Murdock Public Schools,22,88,19.6818
2022-10-15,0008,Hartington Newcastle Public Schools,13,76.47,21.096800000000002
2022-10-15,0045,Randolph Public Schools,15,75,20.5714
2022-10-15,0054,Laurel-Concord-Coleridge School,22,75.86,21.5926
2022-10-15,0101,Wynot Public Schools,12,80,17.2308
2022-10-15,0010,Chase County Schools,30,88.24,19.7368
2022-10-15,0536,Wauneta-Palisade Public Schs,11,68.75,15.1176
2022-10-15,0006,Valentine Community Schools,37,92.5,18.9057
2022-10-15,0001,Sidney Public Schools,58,63.04,17.8242
2022-10-15,0009,Potter-Dix Public Schools,12,80,19.7368
2022-10-15,0002,Sutton Public Schools,20,83.33,19.75
2022-10-15,0011,Harvard Public Schools,11,45.83,18.4091
2022-10-15,0039,Leigh Community Schools,11,91.67,21.8462
2022-10-15,0058,Clarkson Public Schools,12,92.31,17.75
2022-10-15,0070,Howells-Dodge Consolidated Schools,20,74.07,20.8889
2022-10-15,0123,Schuyler Community Schools,85,64.89,16.6382
2022-10-15,0001,West Point Public Schools,56,90.32,17.6508
