County,Turnout2016,RepublicanPct2016,Turnout2020,RepublicanPct2020,Turnout2008,RepublicanPct2008
Adams,0.685799838,0.687264116,0.738446807,0.688254965,0.690321906,0.624678274
Antelope,0.713881636,0.832672966,0.785245184,0.862280457,0.669258248,0.748194662
Arthur,0.795918367,0.893772894,0.868902439,0.912280702,0.769005848,0.825095057
Banner,0.729582577,0.888059701,0.762523191,0.880778589,0.752260398,0.836538462
Blaine,0.806615776,0.870662461,0.875690608,0.883280757,0.81025641,0.841772152
Boone,0.761667541,0.791394148,0.876630435,0.822380657,0.697319892,0.720028209
Box Butte,0.641981747,0.734565394,0.668380463,0.769615385,0.617818588,0.588873268
Boyd,0.771180787,0.850346021,0.830935252,0.874458874,0.707908163,0.755855856
Brown,0.740723562,0.867251096,0.793217146,0.872921615,0.661460532,0.770899809
Buffalo,0.712637863,0.689526244,0.759870529,0.701783982,0.68235835,0.67884725
Burt,0.721996753,0.665261383,0.752768271,0.690024071,0.634032198,0.563035134
Butler,0.705851064,0.773423763,0.798797737,0.78397521,0.596581197,0.666058869
Cass,0.738058552,0.653521998,0.806843906,0.660381052,0.683276027,0.587361821
Cedar,0.735196274,0.799095023,0.868548666,0.832303091,0.665285304,0.697652132
Chase,0.752875843,0.868282403,0.8,0.87,0.691932458,0.800976139
Cherry,0.739563567,0.841244387,0.844266529,0.869990823,0.728853943,0.771493952
Cheyenne,0.680092392,0.777966461,0.744273025,0.798366834,0.674331104,0.738169043
Clay,0.717126813,0.790212072,0.83586982,0.797759104,0.653663793,0.717771184
Colfax,0.626266563,0.675482265,0.701166729,0.707461084,0.595021364,0.630034343
Cuming,0.698080877,0.766323024,0.757560313,0.786499215,0.664877176,0.668460974
Custer,0.692647059,0.830679406,0.747698432,0.846921797,0.655079272,0.771064898
Dakota,0.583658673,0.57588788,0.602048927,0.575913158,0.616957654,0.514696685
Dawes,0.604804212,0.715995647,0.752674524,0.706094917,0.622321134,0.629403974
Dawson,0.613455527,0.692993631,0.66577327100000006,0.709824829,0.586946935,0.683696469
Deuel,0.694424841,0.822154472,0.741218638,0.842359768,0.691986063,0.737160121
Dixon,0.727891156,0.73364486,0.813354364,0.75468649,0.705912077,0.638869005
Dodge,0.701558618,0.63964196,0.753134727,0.648482702,0.706914579,0.550289389
Douglas,0.687694138,0.449509843,0.740338177,0.430892457,0.71926329,0.468859864
Dundy,0.74745098,0.863588667,0.79984051,0.880358923,0.726300784,0.768400393
Fillmore,0.716443362,0.724243455,0.781529295,0.749364676,0.692596945,0.649134713
Franklin,0.731206294,0.805140466,0.761904762,0.831597222,0.645859342,0.695231959
Frontier,0.7132116,0.835843373,0.766295707,0.849930844,0.705527638,0.736467236
Furnas,0.669527897,0.820940171,0.739835087,0.831283628,0.659303314,0.740979381
Gage,0.703789311,0.634952229,0.765718614,0.669574602,0.619210141,0.534940945
Garden,0.734289617,0.808372093,0.867678959,0.846666667,0.702469136,0.741652021
Garfield,0.754426482,0.837755102,0.817629179,0.867100372,0.769230769,0.776699029
Gosper,0.67513369,0.786138614,0.767808219,0.796610169,0.692663582,0.740458015
Grant,0.806772908,0.90617284,0.807228916,0.932835821,0.753593429,0.866485014
Greeley,0.732087227,0.776170213,0.797845374,0.806989674,0.667966574,0.596330275
Hall,0.657056055,0.653127833,0.696581197,0.662126789,0.658993742,0.610079451
Hamilton,0.750675068,0.755995204,0.817447496,0.774164571,0.709596333,0.706188789
Harlan,0.739305892,0.816593886,0.776083467,0.835056877,0.688767551,0.752548131
Hayes,0.718881119,0.918287938,0.771223022,0.921641791,0.682716049,0.83363472
Hitchcock,0.729259811,0.839237057,0.765625,0.859863946,0.694011072,0.725888325
