Year,County,DemocraticRegistered,GreenRegistered,LibertarianRegistered,NebraskaRegistered,NonpartisanRegistered,RepublicanRegistered,TotalRegistered,RepublicanCandidate,DemocraticCandidate,NebraskaCandidate,GreenCandidate,LibertarianCandidate,IndependentCandidate,WriteInCandidate,TotalVotes,TurnoutPct,RepublicanPct,DemocraticPct,AmericansElectRegistered
2008,Adams,5944,11,3,107,2789,10282,19136,8252,4685,62,16,40,98,57,13210,0.690321906,0.624678274,0.354655564,NA
2008,Antelope,1238,0,1,18,490,3012,4759,2383,757,10,1,9,16,9,3185,0.669258248,0.748194662,0.237676609,NA
2008,Arthur,66,0,0,0,11,265,342,217,39,3,0,1,2,1,263,0.769005848,0.825095057,0.148288973,NA
2008,Banner,62,0,0,3,46,442,553,348,62,0,0,1,5,0,416,0.752260398,0.836538462,0.149038462,NA
2008,Blaine,74,0,0,1,25,290,390,266,43,2,0,2,3,0,316,0.81025641,0.841772152,0.136075949,NA
2008,Boone,1203,1,0,3,385,2475,4067,2042,742,12,6,5,17,12,2836,0.697319892,0.720028209,0.261636107,NA
2008,Box Butte,2485,3,2,88,1190,4291,8059,2932,1886,32,13,25,70,21,4979,0.617818588,0.588873268,0.378790922,NA
2008,Boyd,395,0,0,7,126,1040,1568,839,250,10,0,2,8,1,1110,0.707908163,0.755855856,0.225225225,NA
2008,Brown,408,0,0,12,218,1731,2369,1208,311,27,1,7,13,0,1567,0.661460532,0.770899809,0.198468411,NA
2008,Buffalo,7381,11,16,220,4359,16287,28274,13097,5867,78,17,54,114,66,19293,0.68235835,0.67884725,0.304099933,NA
2008,Burt,1841,4,2,18,807,2670,5342,1907,1413,23,2,8,26,8,3387,0.634032198,0.563035134,0.417183348,NA
2008,Butler,2278,1,2,20,934,3200,6435,2557,1190,24,8,11,38,11,3839,0.596581197,0.666058869,0.309976556,NA
2008,Cass,5648,9,5,139,3524,8416,17741,7120,4753,48,8,54,79,60,12122,0.683276027,0.587361821,0.392097014,NA
