County,State,Base,2020,2021
Autauga County, Alabama,58805,58877,59095
Baldwin County, Alabama,231767,233140,239294
Barbour County, Alabama,25223,25180,24964
Bibb County, Alabama,22293,22223,22477
Blount County, Alabama,59134,59081,59041
Bullock County, Alabama,10357,10309,10320
Butler County, Alabama,19051,19045,18884
Calhoun County, Alabama,116441,116266,115972
Chambers County, Alabama,34772,34678,34541
Cherokee County, Alabama,24971,24958,24996
Chilton County, Alabama,45014,45024,45274
Choctaw County, Alabama,12665,12619,12533
Clarke County, Alabama,23087,22995,22760
Clay County, Alabama,14236,14193,14190
Cleburne County, Alabama,15056,15035,15103
Coffee County, Alabama,53465,53565,54174
Colbert County, Alabama,57227,57236,57474
Conecuh County, Alabama,11597,11552,11328
Coosa County, Alabama,10387,10383,10450
Covington County, Alabama,37570,37469,37524
Crenshaw County, Alabama,13194,13157,13083
Cullman County, Alabama,87866,88044,89496
Dale County, Alabama,49326,49214,49342
Dallas County, Alabama,38462,38190,37619
DeKalb County, Alabama,71608,71630,71813
Elmore County, Alabama,87977,88116,89304
Escambia County, Alabama,36757,36665,36699
Etowah County, Alabama,103436,103393,103162
Fayette County, Alabama,16321,16307,16148
Franklin County, Alabama,32113,32063,32013
Geneva County, Alabama,26659,26675,26701
Greene County, Alabama,7730,7704,7629
Hale County, Alabama,14785,14792,14754
Henry County, Alabama,17146,17167,17459
Houston County, Alabama,107202,107190,107458
Jackson County, Alabama,52579,52519,52773
Jefferson County, Alabama,674721,673341,667820
Lamar County, Alabama,13972,13943,13689
Lauderdale County, Alabama,93564,93610,94043
Lawrence County, Alabama,33073,33063,33090
Lee County, Alabama,174241,174601,177218
Limestone County, Alabama,103570,104322,107517
Lowndes County, Alabama,10311,10297,9965
Macon County, Alabama,19532,19476,18895
Madison County, Alabama,388153,389696,395211
Marengo County, Alabama,19323,19264,18996
Marion County, Alabama,29341,29287,29246
Marshall County, Alabama,97612,97608,98228
Mobile County, Alabama,414809,414250,413073
Monroe County, Alabama,19772,19723,19648
Montgomery County, Alabama,228954,228448,227434
Morgan County, Alabama,123421,123336,123668
Perry County, Alabama,8511,8452,8355
Pickens County, Alabama,19123,19062,18801
Pike County, Alabama,33009,32981,32991
Randolph County, Alabama,21967,21971,21989
Russell County, Alabama,59183,59226,58722
St Clair County, Alabama,91103,91333,92748
Shelby County, Alabama,223024,223708,226902
Sumter County, Alabama,12345,12295,12164
Talladega County, Alabama,82149,82069,81524
Tallapoosa County, Alabama,41311,41229,41023
Tuscaloosa County, Alabama,227036,227153,227007
Walker County, Alabama,65342,65100,64818
Washington County, Alabama,15388,15296,15147
Wilcox County, Alabama,10600,10518,10446
Winston County, Alabama,23540,23491,23652
Aleutians East Borough, Alaska,3420,3418,3398
Aleutians West Census Area, Alaska,5232,5206,5059
Anchorage Municipality, Alaska,291247,290637,288121
Bethel Census Area, Alaska,18666,18648,18557
Bristol Bay Borough, Alaska,844,831,838
Chugach Census Area, Alaska,7102,7073,6941
Copper River Census Area, Alaska,2617,2616,2630
Denali Borough, Alaska,1619,1611,1593
Dillingham Census Area, Alaska,4857,4839,4772
Fairbanks North Star Borough, Alaska,95655,95286,95593
Haines Borough, Alaska,2080,2085,2071
Hoonah-Angoon Census Area, Alaska,2365,2361,2332
Juneau City and Borough, Alaska,32255,32195,31973
Kenai Peninsula Borough, Alaska,58799,58893,59767
Ketchikan Gateway Borough, Alaska,13948,13902,13754
Kodiak Island Borough, Alaska,13101,13023,12787
Kusilvak Census Area, Alaska,8368,8357,8360
Lake and Peninsula Borough, Alaska,1476,1454,1416
Matanuska-Susitna Borough, Alaska,107081,107460,110686
Nome Census Area, Alaska,10046,10032,9865
North Slope Borough, Alaska,11031,10993,10972
Northwest Arctic Borough, Alaska,7793,7784,7560
Petersburg Borough, Alaska,3398,3401,3356
Prince of Wales-Hyder Census Area, Alaska,5753,5725,5729
Sitka City and Borough, Alaska,8458,8428,8407
Skagway Municipality, Alaska,1240,1239,1132
Southeast Fairbanks Census Area, Alaska,6808,6831,6970
Wrangell City and Borough, Alaska,2127,2130,2055
Yakutat City and Borough, Alaska,662,683,704
Yukon-Koyukuk Census Area, Alaska,5343,5300,5275
Apache County, Arizona,66021,65897,65623
Cochise County, Arizona,125447,125398,126050
Coconino County, Arizona,145101,145116,145052
Gila County, Arizona,53272,53306,53589
Graham County, Arizona,38533,38614,39050
Greenlee County, Arizona,9563,9522,9404
La Paz County, Arizona,16557,16580,16408
Maricopa County, Arizona,4420568,4438342,4496588
Mohave County, Arizona,213267,214070,217692
Navajo County, Arizona,106717,106802,108147
Pima County, Arizona,1043433,1045599,1052030
Pinal County, Arizona,425264,429583,449557
Santa Cruz County, Arizona,47669,47653,47883
Yavapai County, Arizona,236209,237067,242253
Yuma County, Arizona,203881,204437,206990
Arkansas County, Arkansas,17149,17105,16722
Ashley County, Arkansas,19062,18960,18674
Baxter County, Arkansas,41627,41655,42144
Benton County, Arkansas,284333,286353,293692
Boone County, Arkansas,37373,37352,37830
Bradley County, Arkansas,10545,10498,10408
Calhoun County, Arkansas,4739,4725,4741
Carroll County, Arkansas,28260,28202,28435
Chicot County, Arkansas,10208,10143,10019
Clark County, Arkansas,21446,21362,21321
Clay County, Arkansas,14552,14508,14350
Cleburne County, Arkansas,24711,24665,25015
Cleveland County, Arkansas,7550,7544,7514
Columbia County, Arkansas,22801,22741,22672
Conway County, Arkansas,20715,20729,20873
Craighead County, Arkansas,111231,111576,112218
Crawford County, Arkansas,60133,60107,60378
Crittenden County, Arkansas,48163,48067,47525
Cross County, Arkansas,16833,16762,16681
Dallas County, Arkansas,6482,6445,6308
Desha County, Arkansas,11395,11330,11090
Drew County, Arkansas,17350,17309,17110
Faulkner County, Arkansas,123498,123666,125106
Franklin County, Arkansas,17097,17122,17173
Fulton County, Arkansas,12075,12033,12145
Garland County, Arkansas,100180,100162,100330
Grant County, Arkansas,17958,17975,18090
Greene County, Arkansas,45736,45818,46317
Hempstead County, Arkansas,20065,19993,19694
Hot Spring County, Arkansas,33040,33034,33148
Howard County, Arkansas,12785,12755,12698
Independence County, Arkansas,37938,37892,37723
Izard County, Arkansas,13577,13576,13911
Jackson County, Arkansas,16755,16737,16811
Jefferson County, Arkansas,67260,66811,65861
Johnson County, Arkansas,25749,25692,25845
Lafayette County, Arkansas,6308,6294,6163
Lawrence County, Arkansas,16216,16196,16292
Lee County, Arkansas,8600,8529,8619
Lincoln County, Arkansas,12941,12879,13037
Little River County, Arkansas,12026,11971,11944
Logan County, Arkansas,21131,21097,21215
Lonoke County, Arkansas,74015,74042,74722
Madison County, Arkansas,16521,16551,16960
Marion County, Arkansas,16826,16862,16978
Miller County, Arkansas,42600,42570,42649
Mississippi County, Arkansas,40685,40503,39661
Monroe County, Arkansas,6799,6765,6683
Montgomery County, Arkansas,8484,8459,8611
Nevada County, Arkansas,8310,8284,8187
Newton County, Arkansas,7225,7198,7204
Ouachita County, Arkansas,22650,22592,22306
Perry County, Arkansas,10019,9997,9964
Phillips County, Arkansas,16568,16445,15906
Pike County, Arkansas,10171,10165,10066
Poinsett County, Arkansas,22965,22893,22660
Polk County, Arkansas,19221,19182,19353
Pope County, Arkansas,63381,63346,63789
Prairie County, Arkansas,8282,8248,8135
Pulaski County, Arkansas,399125,399073,397821
Randolph County, Arkansas,18571,18581,18865
St Francis County, Arkansas,23090,23046,22739
Saline County, Arkansas,123416,123681,125233
Scott County, Arkansas,9836,9811,9822
Searcy County, Arkansas,7828,7827,7880
Sebastian County, Arkansas,127799,127739,128400
Sevier County, Arkansas,15839,15778,15783
Sharp County, Arkansas,17271,17282,17622
Stone County, Arkansas,12359,12364,12481
Union County, Arkansas,39054,38925,38340
Van Buren County, Arkansas,15796,15765,15694
Washington County, Arkansas,245871,246662,250057
White County, Arkansas,76822,76810,77207
Woodruff County, Arkansas,6269,6200,6116
Yell County, Arkansas,20263,20216,20155
Alameda County, California,1682353,1679844,1648556
Alpine County, California,1204,1198,1235
Amador County, California,40474,40541,41259
Butte County, California,211632,210083,208309
Calaveras County, California,45292,45327,46221
Colusa County, California,21839,21853,21917
Contra Costa County, California,1165927,1165562,1161413
Del Norte County, California,27743,27709,28100
El Dorado County, California,191185,191114,193221
Fresno County, California,1008654,1008966,1013581
Glenn County, California,28917,28893,28805
Humboldt County, California,136463,136351,136310
Imperial County, California,179702,179489,179851
Inyo County, California,19016,19023,18970
Kern County, California,909235,909997,917673
Kings County, California,152486,152627,153443
Lake County, California,68163,68174,68766
Lassen County, California,32730,32719,33159
Los Angeles County, California,10014009,9989165,9829544
Madera County, California,156255,156620,159410
Marin County, California,262321,261776,260206
Mariposa County, California,17131,17124,17147
Mendocino County, California,91601,91354,91305
Merced County, California,281202,281726,286461
Modoc County, California,8700,8658,8661
Mono County, California,13195,13206,13247
Monterey County, California,439035,438500,437325
Napa County, California,138019,137608,136207
Nevada County, California,102241,102199,103487
Orange County, California,3186989,3184101,3167809
Placer County, California,404739,405741,412300
Plumas County, California,19790,19769,19915
Riverside County, California,2418185,2422764,2458395
Sacramento County, California,1585055,1586241,1588921
San Benito County, California,64209,64507,66677
San Bernardino County, California,2181654,2182740,2194710
San Diego County, California,3298634,3297252,3286069
San Francisco County, California,873965,870014,815201
San Joaquin County, California,779233,780517,789410
San Luis Obispo County, California,282424,282231,283159
San Mateo County, California,764442,762453,737888
Santa Barbara County, California,448229,448096,446475
Santa Clara County, California,1936259,1930598,1885508
Santa Cruz County, California,270861,270353,267792
Shasta County, California,182155,181893,182139
Sierra County, California,3236,3228,3283
Siskiyou County, California,44076,43962,44118
Solano County, California,453491,453274,451716
Sonoma County, California,488863,488345,485887
Stanislaus County, California,552878,552710,552999
Sutter County, California,99633,99480,99063
Tehama County, California,65829,65615,65498
Trinity County, California,16112,16088,16060
Tulare County, California,473117,473736,477054
Tuolumne County, California,55620,55516,55810
Ventura County, California,843843,842921,839784
Yolo County, California,216403,216255,216986
Yuba County, California,81575,81932,83421
Adams County, Colorado,519572,520163,522140
Alamosa County, Colorado,16376,16362,16547
Arapahoe County, Colorado,655070,655112,654900
Archuleta County, Colorado,13359,13424,13790
Baca County, Colorado,3506,3486,3514
Bent County, Colorado,5650,5635,5759
Boulder County, Colorado,330758,330811,329543
Broomfield County, Colorado,74112,74513,75325
Chaffee County, Colorado,19476,19571,20074
Cheyenne County, Colorado,1748,1736,1707
Clear Creek County, Colorado,9397,9404,9446
Conejos County, Colorado,7461,7464,7612
Costilla County, Colorado,3499,3506,3625
Crowley County, Colorado,5922,5893,6012
Custer County, Colorado,4704,4712,5045
Delta County, Colorado,31196,31232,31661
Denver County, Colorado,715522,717630,711463
Dolores County, Colorado,2326,2338,2397
Douglas County, Colorado,357978,360102,368990
Eagle County, Colorado,55731,55665,55727
Elbert County, Colorado,26062,26206,27128
El Paso County, Colorado,730395,731847,737867
Fremont County, Colorado,48939,48981,49661
Garfield County, Colorado,61685,61776,62161
Gilpin County, Colorado,5808,5810,5873
Grand County, Colorado,15717,15733,15860
Gunnison County, Colorado,16918,16945,17281
Hinsdale County, Colorado,788,794,781
Huerfano County, Colorado,6820,6810,6920
