County,State,Base,2020,2021,2022
Autauga County, Alabama,58802,58902,59210,59759
Baldwin County, Alabama,231761,233219,239361,246435
Barbour County, Alabama,25224,24960,24539,24706
Bibb County, Alabama,22300,22183,22370,22005
Blount County, Alabama,59130,59102,59085,59512
Bullock County, Alabama,10362,10296,10280,10202
Butler County, Alabama,19055,19031,18855,18650
Calhoun County, Alabama,116444,116239,115677,115788
Chambers County, Alabama,34774,34645,34446,34088
Cherokee County, Alabama,24979,24972,25026,25302
Chilton County, Alabama,45009,45051,45259,45884
Choctaw County, Alabama,12663,12619,12549,12439
Clarke County, Alabama,23087,22981,22715,22515
Clay County, Alabama,14237,14211,14190,14198
Cleburne County, Alabama,15057,15063,15148,15346
Coffee County, Alabama,53460,53547,54171,54805
Colbert County, Alabama,57232,57299,57619,58033
Conecuh County, Alabama,11597,11553,11320,11206
Coosa County, Alabama,10382,10341,10366,10166
Covington County, Alabama,37567,37507,37542,37602
Crenshaw County, Alabama,13197,13165,13056,13025
Cullman County, Alabama,87857,88131,89618,90665
Dale County, Alabama,49319,49253,49412,49544
Dallas County, Alabama,38463,38174,37565,36767
DeKalb County, Alabama,71611,71648,71829,71998
Elmore County, Alabama,87974,87853,88737,89563
Escambia County, Alabama,36767,36680,36658,36666
Etowah County, Alabama,103441,103447,103139,103088
Fayette County, Alabama,16326,16330,16155,16118
Franklin County, Alabama,32113,32075,31996,31932
Geneva County, Alabama,26660,26696,26667,26783
Greene County, Alabama,7734,7702,7592,7422
Hale County, Alabama,14786,14768,14737,14595
Henry County, Alabama,17148,17175,17434,17655
Houston County, Alabama,107204,107286,107453,108079
Jackson County, Alabama,52582,52545,52694,52891
Jefferson County, Alabama,674355,674675,669997,665409
Lamar County, Alabama,13976,13956,13740,13705
Lauderdale County, Alabama,93565,94025,94862,95878
Lawrence County, Alabama,33077,33089,33123,33214
Lee County, Alabama,174244,174742,177655,180773
Limestone County, Alabama,103563,104190,107381,110900
Lowndes County, Alabama,10310,10273,9926,9777
Macon County, Alabama,19534,19473,18906,18516
Madison County, Alabama,388160,390502,396593,403565
Marengo County, Alabama,19324,19266,18961,18745
Marion County, Alabama,29341,29166,29006,29156
Marshall County, Alabama,97611,97696,98316,99423
Mobile County, Alabama,414812,414353,413017,411411
Monroe County, Alabama,19770,19704,19557,19404
Montgomery County, Alabama,228948,228322,226953,226361
Morgan County, Alabama,123421,123288,123403,124211
Perry County, Alabama,8515,8458,8317,8035
Pickens County, Alabama,19124,18922,18615,18697
Pike County, Alabama,33008,32906,32740,33014
Randolph County, Alabama,21970,22092,22199,22479
Russell County, Alabama,59187,59259,58668,58555
St. Clair County, Alabama,91471,91652,92903,93932
Shelby County, Alabama,223034,223881,227428,230115
Sumter County, Alabama,12348,12196,11961,11853
Talladega County, Alabama,82152,81428,80483,80704
Tallapoosa County, Alabama,41316,41286,41132,40977
Tuscaloosa County, Alabama,227041,231534,235668,236780
Walker County, Alabama,65342,65132,64629,64339
Washington County, Alabama,15388,15327,15234,15122
Wilcox County, Alabama,10601,10432,10331,10059
Winston County, Alabama,23544,23488,23672,23755
Aleutians East Borough, Alaska,3419,3425,3424,3398
Aleutians West Census Area, Alaska,5232,5222,5155,5122
Anchorage Municipality, Alaska,291244,290866,288702,287145
Bethel Census Area, Alaska,18670,18673,18599,18257
Bristol Bay Borough, Alaska,843,829,841,865
Chugach Census Area, Alaska,7097,7077,6943,6874
Copper River Census Area, Alaska,2618,2616,2611,2589
Denali Borough, Alaska,1624,1614,1594,1585
Dillingham Census Area, Alaska,4853,4835,4774,4723
Fairbanks North Star Borough, Alaska,95657,95328,95528,95356
Haines Borough, Alaska,2080,2086,2074,2056
Hoonah-Angoon Census Area, Alaska,2364,2362,2339,2287
Juneau City and Borough, Alaska,32255,32202,31965,31685
Kenai Peninsula Borough, Alaska,58789,58927,59851,60690
Ketchikan Gateway Borough, Alaska,13957,13918,13810,13741
Kodiak Island Borough, Alaska,13101,13047,12864,12720
Kusilvak Census Area, Alaska,8372,8373,8398,8278
Lake and Peninsula Borough, Alaska,1476,1452,1419,1381
Matanuska-Susitna Borough, Alaska,107082,107515,111059,113325
Nome Census Area, Alaska,10049,10028,9908,9835
North Slope Borough, Alaska,11030,11002,11011,10805
Northwest Arctic Borough, Alaska,7790,7790,7560,7423
Petersburg Borough, Alaska,3399,3405,3373,3360
Prince of Wales-Hyder Census Area, Alaska,5753,5739,5734,5650
Sitka City and Borough, Alaska,8448,8425,8410,8382
Skagway Municipality, Alaska,1242,1240,1142,1081
Southeast Fairbanks Census Area, Alaska,6805,6820,7005,7021
Wrangell City and Borough, Alaska,2126,2127,2100,2070
Yakutat City and Borough, Alaska,664,684,709,700
Yukon-Koyukuk Census Area, Alaska,5339,5296,5280,5179
Apache County, Arizona,66024,65911,65385,65432
Cochise County, Arizona,125448,125522,125763,125663
Coconino County, Arizona,145100,145180,142780,144060
Gila County, Arizona,53273,53351,53521,53922
Graham County, Arizona,38533,38638,38882,38779
Greenlee County, Arizona,9561,9526,9377,9302
La Paz County, Arizona,16555,16575,16391,16506
Maricopa County, Arizona,4420574,4440232,4494693,4551524
Mohave County, Arizona,213269,214176,216957,220816
Navajo County, Arizona,106716,106762,107621,108650
Pima County, Arizona,1043434,1045175,1048895,1057597
Pinal County, Arizona,425257,429446,448144,464154
Santa Cruz County, Arizona,47665,47705,48034,48759
Yavapai County, Arizona,236218,237216,242193,246191
Yuma County, Arizona,203880,204528,206241,207842
Arkansas County, Arkansas,17150,17107,16683,16512
Ashley County, Arkansas,19064,18962,18649,18354
Baxter County, Arkansas,41633,41687,42171,42435
Benton County, Arkansas,284329,286586,294337,302863
Boone County, Arkansas,37372,37383,37890,38284
Bradley County, Arkansas,10540,10488,10332,10135
Calhoun County, Arkansas,4742,4738,4737,4695
Carroll County, Arkansas,28260,28242,28480,28742
Chicot County, Arkansas,10212,10157,10071,9873
Clark County, Arkansas,21447,21387,21217,21250
Clay County, Arkansas,14548,14528,14370,14265
Cleburne County, Arkansas,24705,24696,25044,25284
Cleveland County, Arkansas,7548,7550,7490,7467
Columbia County, Arkansas,22798,22742,22510,22216
Conway County, Arkansas,20709,20729,20911,21046
Craighead County, Arkansas,111233,111603,111788,113017
Crawford County, Arkansas,60130,60147,60423,61075
Crittenden County, Arkansas,48169,48086,47475,47061
Cross County, Arkansas,16830,16796,16693,16601
Dallas County, Arkansas,6479,6442,6306,6191
Desha County, Arkansas,11395,11320,11050,10771
Drew County, Arkansas,17348,17314,17070,16911
Faulkner County, Arkansas,123498,123811,125645,127665
Franklin County, Arkansas,17101,17135,17166,17271
Fulton County, Arkansas,12077,12057,12156,12382
Garland County, Arkansas,100172,100249,100386,100089
Grant County, Arkansas,17966,18022,18149,18160
Greene County, Arkansas,45740,45864,46349,46448
Hempstead County, Arkansas,20062,19981,19679,19453
Hot Spring County, Arkansas,33046,33075,33108,33203
Howard County, Arkansas,12784,12755,12676,12557
Independence County, Arkansas,37931,37936,37742,37945
Izard County, Arkansas,13574,13597,13928,14048
Jackson County, Arkansas,16760,16755,16780,16624
Jefferson County, Arkansas,67261,66833,65649,64246
Johnson County, Arkansas,25749,25722,25977,26001
Lafayette County, Arkansas,6311,6299,6155,6101
Lawrence County, Arkansas,16216,16212,16316,16205
Lee County, Arkansas,8597,8528,8559,8364
Lincoln County, Arkansas,12936,12889,13151,12916
Little River County, Arkansas,12028,11975,11954,11821
Logan County, Arkansas,21132,21103,21207,21253
Lonoke County, Arkansas,74010,74046,74766,75225
Madison County, Arkansas,16521,16546,16936,17486
