County,State,Base,2020,2021,2022,2023
Autauga County, Alabama,58809,58915,59203,59726,60342
Baldwin County, Alabama,231768,233227,239439,246531,253507
Barbour County, Alabama,25229,24969,24533,24700,24585
Bibb County, Alabama,22301,22188,22359,21986,21868
Blount County, Alabama,59130,59107,59079,59516,59816
Bullock County, Alabama,10360,10229,10143,10143,9897
Butler County, Alabama,19046,19025,18890,18668,18382
Calhoun County, Alabama,116441,116243,115678,115780,116429
Chambers County, Alabama,34772,34651,34488,34164,34079
Cherokee County, Alabama,24973,24969,25074,25353,25666
Chilton County, Alabama,45011,45057,45259,45848,46431
Choctaw County, Alabama,12669,12626,12548,12431,12252
Clarke County, Alabama,23091,22987,22740,22574,22337
Clay County, Alabama,14237,14212,14170,14183,14111
Cleburne County, Alabama,15057,15064,15156,15372,15639
Coffee County, Alabama,53459,53549,54199,54840,55643
Colbert County, Alabama,57232,57304,57644,57993,58361
Conecuh County, Alabama,11597,11554,11320,11224,11174
Coosa County, Alabama,10378,10335,10314,10307,10268
Covington County, Alabama,37563,37506,37570,37603,37952
Crenshaw County, Alabama,13193,13163,13069,13048,13101
Cullman County, Alabama,87857,88136,89639,90663,92016
Dale County, Alabama,49322,49257,49395,49495,49871
Dallas County, Alabama,38458,38171,37515,36729,36165
DeKalb County, Alabama,71617,71659,71912,72082,72569
Elmore County, Alabama,87980,87861,88789,89600,90441
Escambia County, Alabama,36768,36685,36660,36636,36558
Etowah County, Alabama,103434,103453,103010,102903,103241
Fayette County, Alabama,16326,16331,16127,16082,15967
Franklin County, Alabama,32112,32078,31998,31910,31802
Geneva County, Alabama,26658,26698,26620,26760,26988
Greene County, Alabama,7731,7700,7614,7452,7341
Hale County, Alabama,14788,14772,14726,14599,14888
Henry County, Alabama,17141,17169,17433,17670,17899
Houston County, Alabama,107202,107284,107470,108047,108462
Jackson County, Alabama,52579,52545,52719,52923,53467
Jefferson County, Alabama,674340,674717,669990,665084,662895
Lamar County, Alabama,13972,13953,13736,13706,13661
