County,State,Year,Estimate
Autauga County,Alabama,2022,59726
Autauga County,Alabama,2023,60342
Baldwin County,Alabama,2022,246531
Baldwin County,Alabama,2023,253507
Barbour County,Alabama,2022,24700
Barbour County,Alabama,2023,24585
Bibb County,Alabama,2022,21986
Bibb County,Alabama,2023,21868
Blount County,Alabama,2022,59516
Blount County,Alabama,2023,59816
Bullock County,Alabama,2022,10143
Bullock County,Alabama,2023,9897
Butler County,Alabama,2022,18668
Butler County,Alabama,2023,18382
Calhoun County,Alabama,2022,115780
Calhoun County,Alabama,2023,116429
Chambers County,Alabama,2022,34164
Chambers County,Alabama,2023,34079
Cherokee County,Alabama,2022,25353
Cherokee County,Alabama,2023,25666
Chilton County,Alabama,2022,45848
Chilton County,Alabama,2023,46431
Choctaw County,Alabama,2022,12431
Choctaw County,Alabama,2023,12252
Clarke County,Alabama,2022,22574
Clarke County,Alabama,2023,22337
Clay County,Alabama,2022,14183
Clay County,Alabama,2023,14111
Cleburne County,Alabama,2022,15372
Cleburne County,Alabama,2023,15639
Coffee County,Alabama,2022,54840
Coffee County,Alabama,2023,55643
Colbert County,Alabama,2022,57993
Colbert County,Alabama,2023,58361
Conecuh County,Alabama,2022,11224
Conecuh County,Alabama,2023,11174
Coosa County,Alabama,2022,10307
Coosa County,Alabama,2023,10268
Covington County,Alabama,2022,37603
Covington County,Alabama,2023,37952
Crenshaw County,Alabama,2022,13048
Crenshaw County,Alabama,2023,13101
Cullman County,Alabama,2022,90663
Cullman County,Alabama,2023,92016
Dale County,Alabama,2022,49495
Dale County,Alabama,2023,49871
Dallas County,Alabama,2022,36729
Dallas County,Alabama,2023,36165
DeKalb County,Alabama,2022,72082
DeKalb County,Alabama,2023,72569
Elmore County,Alabama,2022,89600
Elmore County,Alabama,2023,90441
Escambia County,Alabama,2022,36636
Escambia County,Alabama,2023,36558
Etowah County,Alabama,2022,102903
Etowah County,Alabama,2023,103241
Fayette County,Alabama,2022,16082
Fayette County,Alabama,2023,15967
Franklin County,Alabama,2022,31910
Franklin County,Alabama,2023,31802
Geneva County,Alabama,2022,26760
Geneva County,Alabama,2023,26988
Greene County,Alabama,2022,7452
Greene County,Alabama,2023,7341
Hale County,Alabama,2022,14599
Hale County,Alabama,2023,14888
Henry County,Alabama,2022,17670
Henry County,Alabama,2023,17899
Houston County,Alabama,2022,108047
Houston County,Alabama,2023,108462
Jackson County,Alabama,2022,52923
Jackson County,Alabama,2023,53467
Jefferson County,Alabama,2022,665084
Jefferson County,Alabama,2023,662895
Lamar County,Alabama,2022,13706
Lamar County,Alabama,2023,13661
Lauderdale County,Alabama,2022,95875
Lauderdale County,Alabama,2023,96814
Lawrence County,Alabama,2022,33187
Lawrence County,Alabama,2023,33502
Lee County,Alabama,2022,180698
Lee County,Alabama,2023,183215
Limestone County,Alabama,2022,110868
Limestone County,Alabama,2023,114654
Lowndes County,Alabama,2022,9783
Lowndes County,Alabama,2023,9717
Macon County,Alabama,2022,18532
Macon County,Alabama,2023,18370
Madison County,Alabama,2022,403605
Madison County,Alabama,2023,412600
Marengo County,Alabama,2022,18791
Marengo County,Alabama,2023,18684
Marion County,Alabama,2022,29182
Marion County,Alabama,2023,29244
Marshall County,Alabama,2022,99428
Marshall County,Alabama,2023,100756
Mobile County,Alabama,2022,411398
Mobile County,Alabama,2023,411640
Monroe County,Alabama,2022,19412
Monroe County,Alabama,2023,19229
Montgomery County,Alabama,2022,226301
Montgomery County,Alabama,2023,224980
Morgan County,Alabama,2022,124231
Morgan County,Alabama,2023,125133
Perry County,Alabama,2022,7904
Perry County,Alabama,2023,7738
Pickens County,Alabama,2022,18749
Pickens County,Alabama,2023,18688
Pike County,Alabama,2022,33008
Pike County,Alabama,2023,33137
Randolph County,Alabama,2022,22460
Randolph County,Alabama,2023,22786
Russell County,Alabama,2022,58594
Russell County,Alabama,2023,58744
St. Clair County,Alabama,2022,93881
St. Clair County,Alabama,2023,95552
Shelby County,Alabama,2022,230033
Shelby County,Alabama,2023,233000
Sumter County,Alabama,2022,11889
Sumter County,Alabama,2023,11727
Talladega County,Alabama,2022,80748
Talladega County,Alabama,2023,81132
Tallapoosa County,Alabama,2022,40913
Tallapoosa County,Alabama,2023,40677
Tuscaloosa County,Alabama,2022,236690
Tuscaloosa County,Alabama,2023,237373
Walker County,Alabama,2022,64438
Walker County,Alabama,2023,64728
Washington County,Alabama,2022,15094
Washington County,Alabama,2023,15022
Wilcox County,Alabama,2022,10139
Wilcox County,Alabama,2023,9944
Winston County,Alabama,2022,23741
Winston County,Alabama,2023,23611
Aleutians East Borough,Alaska,2022,3430
Aleutians East Borough,Alaska,2023,3461
Aleutians West Census Area,Alaska,2022,5090
Aleutians West Census Area,Alaska,2023,5160
Anchorage Municipality,Alaska,2022,286983
Anchorage Municipality,Alaska,2023,286075
Bethel Census Area,Alaska,2022,18259
Bethel Census Area,Alaska,2023,18224
Bristol Bay Borough,Alaska,2022,870
Bristol Bay Borough,Alaska,2023,844
Chugach Census Area,Alaska,2022,6899
Chugach Census Area,Alaska,2023,6769
Copper River Census Area,Alaska,2022,2609
Copper River Census Area,Alaska,2023,2674
Denali Borough,Alaska,2022,1575
Denali Borough,Alaska,2023,1584
Dillingham Census Area,Alaska,2022,4724
Dillingham Census Area,Alaska,2023,4607
Fairbanks North Star Borough,Alaska,2022,95202
Fairbanks North Star Borough,Alaska,2023,94840
Haines Borough,Alaska,2022,2070
Haines Borough,Alaska,2023,2070
Hoonah-Angoon Census Area,Alaska,2022,2279
Hoonah-Angoon Census Area,Alaska,2023,2262
Juneau City and Borough,Alaska,2022,31740
Juneau City and Borough,Alaska,2023,31555
Kenai Peninsula Borough,Alaska,2022,60611
Kenai Peninsula Borough,Alaska,2023,61223
Ketchikan Gateway Borough,Alaska,2022,13772
Ketchikan Gateway Borough,Alaska,2023,13738
Kodiak Island Borough,Alaska,2022,12639
Kodiak Island Borough,Alaska,2023,12565
Kusilvak Census Area,Alaska,2022,8214
Kusilvak Census Area,Alaska,2023,8001
Lake and Peninsula Borough,Alaska,2022,1377
Lake and Peninsula Borough,Alaska,2023,1331
Matanuska-Susitna Borough,Alaska,2022,113472
Matanuska-Susitna Borough,Alaska,2023,115239
Nome Census Area,Alaska,2022,9791
Nome Census Area,Alaska,2023,9763
North Slope Borough,Alaska,2022,10811
North Slope Borough,Alaska,2023,10603
Northwest Arctic Borough,Alaska,2022,7453
Northwest Arctic Borough,Alaska,2023,7361
Petersburg Borough,Alaska,2022,3370
Petersburg Borough,Alaska,2023,3427
Prince of Wales-Hyder Census Area,Alaska,2022,5650
Prince of Wales-Hyder Census Area,Alaska,2023,5696
Sitka City and Borough,Alaska,2022,8353
Sitka City and Borough,Alaska,2023,8282
Skagway Municipality,Alaska,2022,1092
Skagway Municipality,Alaska,2023,1095
Southeast Fairbanks Census Area,Alaska,2022,7016
Southeast Fairbanks Census Area,Alaska,2023,7077
Wrangell City and Borough,Alaska,2022,2071
Wrangell City and Borough,Alaska,2023,2064
