College,Major Name,Maj 1,Deg ID,AI/AN M,AI/AN F,ASI M,ASI F,BLK M,BLK F,HISP M,HISP F,PI M,PI F,U.S. NR M,U.S. NR F,U.S. NR Unk,WH M,WH F,WH Unk,2+ M,2+ F,UNK M,UNK F,Total
Agri Sci & Natl Res,"AG LEADERSHIP, EDUC AND COMM",ALEC,B1AL,,,1,,,,,1,,,,,,13,49,,,,,,64
Agri Sci & Natl Res,AGRIBUSINESS,ABUS,B1AB,,,1,,,,1,3,,,,,,139,49,,,,1,1,195
Agri Sci & Natl Res,AGRICULTURAL & ENV SCI COMM,AESC,B1SC,,,,,,,,,,,,1,,2,15,,1,1,,,20
Agri Sci & Natl Res,AGRICULTURAL ECONOMICS,AECN,B1AE,,,,,,,1,,,,1,,,48,16,,,,3,1,70
Agri Sci & Natl Res,AGRICULTURAL EDUCATION,AEDU,B1ED,,,,,,,1,2,,,,,,13,20,,,1,,,37
Agri Sci & Natl Res,AGRICULTURAL SYSTEMS TECH,AGST,B1AT,,,,,,,,,,,,,,11,2,,,,,,13
Agri Sci & Natl Res,AGRONOMY,AGRO,B1AG,,,,,,,,,,,2,,,41,8,,1,,,,52
Agri Sci & Natl Res,ANIMAL SCIENCE,ASCI,B1AS,,,1,,2,1,4,10,,,,1,,60,169,,1,8,1,,258
Agri Sci & Natl Res,APPLIED CLIMATE SCIENCE,APCS,B1AC,,,,,,,,,,,,,,1,2,,,,,,3
Agri Sci & Natl Res,APPLIED SCIENCE,APSC,B1AP,,,,1,,1,1,2,,,,,,10,12,,,,,,27
Agri Sci & Natl Res,BIOCHEMISTRY,BIOC,B1BC,,,2,6,2,1,6,3,,,,2,,40,46,,2,1,1,,112
Agri Sci & Natl Res,ENVIRONMENTAL RESTORATION SCI,ENRS,B1ER,,,,,,,,,,,,,,1,,,,,,,1
Agri Sci & Natl Res,ENVIRONMENTAL SCIENCE,ENVS,B1EN,,,1,1,,,2,7,,,,,,19,36,,,,2,,68
Agri Sci & Natl Res,ENVIRONMENTAL STUDIES,ENVR,B1ES,,,,,,,,1,,,,,,6,14,,,1,,,22
Agri Sci & Natl Res,ENVR & SUSTAINABILITY STUDIES,ENSU,B1SU,,,,,,1,2,1,,,,,,3,9,,,,,,16
Agri Sci & Natl Res,FISHERIES AND WILDLIFE,FWL,B1FW,1,,3,1,2,1,8,15,,,1,,,97,120,,1,1,,1,252
Agri Sci & Natl Res,FOOD SCIENCE AND TECHNOLOGY,FDST,B1FS,,,,,,1,,,,,17,32,,6,9,,,4,,1,70
Agri Sci & Natl Res,FORENSIC SCIENCE,FORS,B1FO,,,1,2,3,3,9,25,,,1,3,,27,159,,2,9,1,1,246
Agri Sci & Natl Res,GENERAL - CASNR,EXPS,,,,,,,,,,,,,,,6,1,,,,,,7
