College,Major Name,Maj 1,Deg ID,Total
Agri Sci & Natl Res,"AG LEADERSHIP, EDUC AND COMM",ALEC,B1AL,97
Agri Sci & Natl Res,AGRIBUSINESS,ABUS,B1AB,205
Agri Sci & Natl Res,AGRICULTURAL & ENV SCI COMM,AESC,B1SC,10
Agri Sci & Natl Res,AGRICULTURAL ECONOMICS,AECN,B1AE,61
Agri Sci & Natl Res,AGRICULTURAL EDUCATION,AEDU,B1ED,17
Agri Sci & Natl Res,AGRICULTURAL SYSTEMS TECH,AGST,B1AT,21
Agri Sci & Natl Res,AGRONOMY,AGRO,B1AG,87
Agri Sci & Natl Res,ANIMAL SCIENCE,ASCI,B1AS,292
Agri Sci & Natl Res,APPLIED CLIMATE SCIENCE,APCS,B1AC,2
Agri Sci & Natl Res,APPLIED SCIENCE,APSC,B1AP,25
Agri Sci & Natl Res,BIOCHEMISTRY,BIOC,B1BC,117
Agri Sci & Natl Res,DATA SCIENCE,DTSC,B1DS,4
Agri Sci & Natl Res,ENVIRONMENTAL SCIENCE,ENVS,B1EN,60
Agri Sci & Natl Res,ENVIRONMENTAL STUDIES,ENVR,B1ES,13
Agri Sci & Natl Res,ENVR & SUSTAINABILITY STUDIES,ENSU,B1SU,20
Agri Sci & Natl Res,FISHERIES AND WILDLIFE,FWL,B1FW,235
Agri Sci & Natl Res,FOOD SCIENCE AND TECHNOLOGY,FDST,B1FS,74
Agri Sci & Natl Res,FORENSIC SCIENCE,FORS,B1FO,240
Agri Sci & Natl Res,GENERAL - CASNR,EXPS,NA,3
Agri Sci & Natl Res,GRASSLAND SYSTEMS,GRSL,B1GS,11
Agri Sci & Natl Res,HORTICULTURE,HORT,B1HO,2
Agri Sci & Natl Res,INSECT SCIENCE,INSC,B1IS,21
Agri Sci & Natl Res,INTEGRATED SCIENCE,ITSC,B1IN,10
Agri Sci & Natl Res,MECHANIZED SYSTEMS MANAGEMENT,MSYM,B1MS,24
Agri Sci & Natl Res,MICROBIOLOGY,MBIO,B1MB,32
Agri Sci & Natl Res,NATURAL RES & ENVIRON ECONOMIC,NREE,B1NE,7
Agri Sci & Natl Res,PGA GOLF MANAGEMENT,PGAM,B1PM,192
Agri Sci & Natl Res,PLANT AND LANDSCAPE SYSTEMS,PLAS,B1PL,80
Agri Sci & Natl Res,PLANT BIOLOGY,PBIO,B1PB,19
Agri Sci & Natl Res,PRE-VETERINARY MEDICINE,PVET,NA,60
Agri Sci & Natl Res,REGIONAL & COMMUNITY FORESTRY,RECF,B1RC,12
Agri Sci & Natl Res,STATISTICS AND DATA ANALYTICS,SDAN,B1SD,25
Agri Sci & Natl Res,VETERINARY MEDICINE,VMED,NA,58
Agri Sci & Natl Res,VETERINARY SCIENCE,VBMS,B1VS,74
Agri Sci & Natl Res,VETERINARY TECHNOLOGY,VETH,B1VT,3
Agri Sci & Natl Res,WATER SCIENCE,WATR,B1WS,1
Architecture,ARCHITECTURAL STUDIES,ARCS,BSD,299
Architecture,ARCHITECTURE,ARCH,MARC,82
Architecture,INTERIOR DESIGN,IDES,BSD,152
Architecture,LANDSCAPE ARCHITECTURE,LAND,BLA,42
Arts & Sciences,ACTUARIAL SCIENCE,AACTS,BS,15
Arts & Sciences,ANTHROPOLOGY,ANTH,BA,58
Arts & Sciences,ANTHROPOLOGY,ANTH,BS,4
Arts & Sciences,BIOCHEMISTRY,ABIOC,BS,234
Arts & Sciences,BIOLOGICAL SCIENCES,BIOS,BA,1
Arts & Sciences,BIOLOGICAL SCIENCES,BIOS,BS,663
Arts & Sciences,CHEMISTRY,CHEM,BA,11
Arts & Sciences,CHEMISTRY,CHEM,BS,64
Arts & Sciences,CLASSICS AND RELIGIOUS STUDIES,CLRS,BA,11
