NAME,POPESTIMATE,BIRTHS,DEATHS
"Adams County, Nebraska",31196,364,363
"Antelope County, Nebraska",6358,74,52
"Arthur County, Nebraska",423,4,4
"Banner County, Nebraska",665,7,6
"Blaine County, Nebraska",454,6,6
"Boone County, Nebraska",5354,66,69
"Box Butte County, Nebraska",10703,117,127
"Boyd County, Nebraska",1700,8,24
"Brown County, Nebraska",2877,34,32
"Buffalo County, Nebraska",51156,586,393
"Burt County, Nebraska",6727,65,111
"Butler County, Nebraska",8439,87,100
"Cass County, Nebraska",27492,257,264
"Cedar County, Nebraska",8262,62,112
"Chase County, Nebraska",3764,46,52
"Cherry County, Nebraska",5558,74,58
"Cheyenne County, Nebraska",9602,99,95
"Clay County, Nebraska",6103,72,78
"Colfax County, Nebraska",10826,164,76
"Cuming County, Nebraska",8952,136,113
"Custer County, Nebraska",10487,149,129
"Dakota County, Nebraska",21335,423,213
"Dawes County, Nebraska",8003,69,104
"Dawson County, Nebraska",24554,376,212
"Deuel County, Nebraska",1892,22,22
"Dixon County, Nebraska",5526,56,67
"Dodge County, Nebraska",37884,531,454
"Douglas County, Nebraska",601158,8017,4734
"Dundy County, Nebraska",1581,20,19
"Fillmore County, Nebraska",5512,64,77
"Franklin County, Nebraska",2817,21,19
"Frontier County, Nebraska",2536,18,38
"Furnas County, Nebraska",4468,51,44
"Gage County, Nebraska",21687,229,324
"Garden County, Nebraska",1804,17,24
"Garfield County, Nebraska",1707,21,39
"Gosper County, Nebraska",1808,13,28
"Grant County, Nebraska",573,8,2
"Greeley County, Nebraska",2197,21,14
"Hall County, Nebraska",62869,943,550
"Hamilton County, Nebraska",9564,94,104
"Harlan County, Nebraska",3018,30,46
"Hayes County, Nebraska",846,8,6
"Hitchcock County, Nebraska",2460,27,40
"Holt County, Nebraska",10120,142,120
"Hooker County, Nebraska",698,7,8
"Howard County, Nebraska",6572,85,76
"Jefferson County, Nebraska",7136,85,110
"Johnson County, Nebraska",5219,37,65
"Kearney County, Nebraska",6749,79,71
"Keith County, Nebraska",8148,84,117
"Keya Paha County, Nebraska",819,7,4
"Kimball County, Nebraska",3305,32,44
"Knox County, Nebraska",8306,62,125
"Lancaster County, Nebraska",332857,3661,2610
"Lincoln County, Nebraska",33319,348,433
"Logan County, Nebraska",694,6,6
"Loup County, Nebraska",582,3,6
"McPherson County, Nebraska",376,3,0
"Madison County, Nebraska",35579,466,392
"Merrick County, Nebraska",7837,85,89
"Morrill County, Nebraska",4485,59,63
"Nance County, Nebraska",3262,33,57
"Nemaha County, Nebraska",7046,70,108
"Nuckolls County, Nebraska",4094,40,55
"Otoe County, Nebraska",16591,176,211
"Pawnee County, Nebraska",2521,26,50
"Perkins County, Nebraska",2779,22,35
"Phelps County, Nebraska",9042,120,101
"Pierce County, Nebraska",7334,99,64
"Platte County, Nebraska",35499,462,258
"Polk County, Nebraska",5269,56,86
"Red Willow County, Nebraska",10409,108,159
"Richardson County, Nebraska",7666,71,96
"Rock County, Nebraska",1241,11,22
"Saline County, Nebraska",14740,173,151
"Sarpy County, Nebraska",204828,2402,1296
"Saunders County, Nebraska",23406,256,213
"Scotts Bluff County, Nebraska",35734,436,427
"Seward County, Nebraska",17769,161,181
"Sheridan County, Nebraska",4927,38,54
"Sherman County, Nebraska",2949,31,42
"Sioux County, Nebraska",1099,13,22
"Stanton County, Nebraska",5756,58,49
"Thayer County, Nebraska",4870,52,78
"Thomas County, Nebraska",634,5,17
"Thurston County, Nebraska",6637,142,105
"Valley County, Nebraska",4032,48,50
"Washington County, Nebraska",21254,228,210
"Wayne County, Nebraska",9870,102,67
"Webster County, Nebraska",3326,29,60
"Wheeler County, Nebraska",808,16,6
"York County, Nebraska",14375,152,195
