County Name ,2024,2014
Adams,191,230
Antelope,32,50
Arthur,1,2
Banner,1,3
Blaine,2,1
Boone,43,67
Box Butte,30,42
Boyd,2,19
Brown,14,17
Buffalo,346,362
Burt,49,89
Butler,56,101
Cass,188,235
Cedar,41,86
Chase,15,28
Cherry,10,30
Cheyenne,36,71
Clay,32,57
Colfax,55,58
Cuming,47,84
Custer,61,69
Dakota,64,112
Dawes,34,27
Dawson,141,119
Deuel,6,5
Dixon,26,41
Dodge,241,259
Douglas,"4,083","4,014"
Dundy,3,15
Fillmore,36,57
Franklin,15,30
Frontier,26,18
Furnas,25,31
Gage,144,185
Garden,5,5
Garfield,12,19
Gosper,15,18
Grant,0,9
Greeley,19,23
Hall,419,496
Hamilton,86,104
Harlan,13,28
Hayes,2,4
Hitchcock,7,22
Holt,84,78
Hooker,3,12
Howard,38,40
Jefferson,35,39
Johnson,25,38
Kearney,32,47
Keith,43,55
Keya Paha,2,3
Kimball,10,10
Knox,29,61
Lancaster,"5,357","4,726"
Lincoln,164,214
Logan,10,3
Loup,1,0
Madison,186,283
Mcpherson,1,2
Merrick,46,40
Morrill,16,18
Nance,15,29
Nemaha,34,50
Nuckolls,23,36
Otoe,131,150
Pawnee,8,14
Perkins,13,15
Phelps,48,78
Pierce,38,42
Platte,232,275
Polk,25,54
Red Willow,53,76
Richardson,36,63
Rock,6,8
Saline,108,138
Sarpy,"1,688","1,333"
Saunders,242,270
Scotts Bluff,160,135
Seward,164,208
Sheridan,9,31
Sherman,11,17
Sioux,5,2
Stanton,11,25
Thayer,28,49
Thomas,2,4
Thurston,55,25
Unknown County,372,173
Valley,23,25
Washington,124,219
Wayne,26,56
Webster,17,22
Wheeler,1,4
York,84,133
,,
