County,state,year,population
Adams,Nebraska,2025,31071
Antelope,Nebraska,2025,6352
Arthur,Nebraska,2025,396
Banner,Nebraska,2025,686
Blaine,Nebraska,2025,458
Boone,Nebraska,2025,5355
Box Butte,Nebraska,2025,10494
Boyd,Nebraska,2025,1674
Brown,Nebraska,2025,2826
Buffalo,Nebraska,2025,51172
Burt,Nebraska,2025,6678
Butler,Nebraska,2025,8507
Cass,Nebraska,2025,27657
Cedar,Nebraska,2025,8373
Chase,Nebraska,2025,3718
Cherry,Nebraska,2025,5561
Cheyenne,Nebraska,2025,9528
Clay,Nebraska,2025,6170
Colfax,Nebraska,2025,10934
Cuming,Nebraska,2025,8823
Custer,Nebraska,2025,10500
Dakota,Nebraska,2025,21687
Dawes,Nebraska,2025,7858
Dawson,Nebraska,2025,24452
Deuel,Nebraska,2025,1862
Dixon,Nebraska,2025,5602
Dodge,Nebraska,2025,38057
Dundy,Nebraska,2025,1568
Fillmore,Nebraska,2025,5458
Franklin,Nebraska,2025,2795
Frontier,Nebraska,2025,2655
Furnas,Nebraska,2025,4524
Gage,Nebraska,2025,21711
Garden,Nebraska,2025,1804
Garfield,Nebraska,2025,1710
Gosper,Nebraska,2025,1803
Grant,Nebraska,2025,561
Greeley,Nebraska,2025,2154
Hall,Nebraska,2025,63633
Hamilton,Nebraska,2025,9678
Harlan,Nebraska,2025,3000
Hayes,Nebraska,2025,821
Hitchcock,Nebraska,2025,2467
Holt,Nebraska,2025,10067
Hooker,Nebraska,2025,686
Howard,Nebraska,2025,6538
Jefferson,Nebraska,2025,7070
Johnson,Nebraska,2025,5218
Kearney,Nebraska,2025,6790
Keith,Nebraska,2025,8100
Keya Paha,Nebraska,2025,792
Kimball,Nebraska,2025,3391
Knox,Nebraska,2025,8335
Lincoln,Nebraska,2025,33303
Logan,Nebraska,2025,669
Loup,Nebraska,2025,570
McPherson,Nebraska,2025,369
Madison,Nebraska,2025,36106
Merrick,Nebraska,2025,7905
Morrill,Nebraska,2025,4404
Nance,Nebraska,2025,3290
Nemaha,Nebraska,2025,7102
Nuckolls,Nebraska,2025,4100
Otoe,Nebraska,2025,16531
Pawnee,Nebraska,2025,2510
Perkins,Nebraska,2025,2849
Phelps,Nebraska,2025,8994
Pierce,Nebraska,2025,7378
Platte,Nebraska,2025,35649
Polk,Nebraska,2025,5270
Red Willow,Nebraska,2025,10307
Richardson,Nebraska,2025,7530
Rock,Nebraska,2025,1259
Saline,Nebraska,2025,14996
Saunders,Nebraska,2025,23702
Scotts Bluff,Nebraska,2025,35586
Seward,Nebraska,2025,18032
Sheridan,Nebraska,2025,4809
Sherman,Nebraska,2025,2924
Sioux,Nebraska,2025,1188
Stanton,Nebraska,2025,5744
Thayer,Nebraska,2025,4842
Thomas,Nebraska,2025,639
Thurston,Nebraska,2025,6752
Valley,Nebraska,2025,4094
Washington,Nebraska,2025,21302
Wayne,Nebraska,2025,10020
Webster,Nebraska,2025,3336
Wheeler,Nebraska,2025,789
York,Nebraska,2025,14564
