Year,County,TotalRegistered,TotalVotes,TurnoutPct,TotalVotes,RepublicanCandidate,DemocraticCandidate,LibertarianCandidate,IndependentCandidate,GreenCandidate,TotalVotes,RepublicanPct,DemocraticPct
2024,Adams,19417,14515,0.747540815,14239,9982,4070,89,54,44,14239,0.701032376,0.285834679
2024,Antelope,4402,3481,0.79077692,3432,3017,396,11,6,2,3432,0.879079254,0.115384615
2024,Arthur,342,288,0.842105263,282,264,17,1,0,0,282,0.936170213,0.060283688
2024,Banner,521,390,0.748560461,386,348,34,2,2,0,386,0.901554404,0.088082902
2024,Blaine,354,294,0.830508475,291,250,37,3,0,1,291,0.859106529,0.127147766
2024,Boone,3660,3092,0.844808743,3027,2496,495,21,9,6,3027,0.824578791,0.163528246
2024,Box Butte,6920,4940,0.713872832,4875,3781,1033,27,16,18,4875,0.775589744,0.211897436
2024,Boyd,1289,1095,0.849495733,1075,938,132,5,0,0,1075,0.87255814,0.122790698
2024,Brown,2068,1652,0.798839458,1634,1422,199,6,5,2,1634,0.870257038,0.121787026
2024,Buffalo,31453,23970,0.762089467,23512,16882,6325,165,62,78,23512,0.718016332,0.269011569
2024,Burt,4885,3714,0.760286592,3641,2618,982,19,13,9,3641,0.719033233,0.269706125
2024,Butler,5743,4657,0.810900226,4566,3623,904,25,10,4,4566,0.7934735,0.197985107
2024,Cass,19679,15679,0.796737639,15400,10468,4693,130,65,44,15400,0.67974026,0.30474026
2024,Cedar,5788,5026,0.868348307,4912,4141,702,44,13,12,4912,0.843037459,0.142915309
2024,Chase,2409,1870,0.776255708,1851,1637,200,10,1,3,1851,0.884386818,0.108049703
2024,Cherry,3698,3107,0.840183883,3058,2676,349,22,5,6,3058,0.875081753,0.11412688
2024,Cheyenne,6358,4560,0.717206669,4483,3655,778,26,12,12,4483,0.815302253,0.173544501
2024,Clay,4179,3371,0.806652309,3302,2669,577,28,14,14,3302,0.808298001,0.17474258
2024,Colfax,5108,3607,0.70614722,3511,2634,842,20,8,7,3511,0.750213614,0.239817716
2024,Cuming,5844,4500,0.770020534,4398,3499,857,25,9,8,4398,0.795588904,0.194861301
2024,Custer,7814,5949,0.761325825,5837,4996,783,33,10,15,5837,0.855919137,0.134144252
2024,Dakota,10551,6219,0.589422804,6041,3891,2074,36,18,22,6041,0.644098659,0.343320642
2024,Dawes,5081,3929,0.773272978,3832,2782,986,41,13,10,3832,0.725991649,0.257306889
2024,Dawson,13111,8688,0.662649683,8426,6258,2090,40,16,22,8426,0.742701163,0.248041775
2024,Deuel,1412,1024,0.725212465,1012,843,151,14,1,3,1012,0.833003953,0.149209486
2024,Dixon,3622,2954,0.815571507,2895,2271,573,37,8,6,2895,0.784455959,0.197927461
2024,Dodge,22579,16548,0.732893397,16209,10631,5367,110,53,48,16209,0.655870196,0.331112345
2024,Douglas,368879,261916,0.710032287,256998,114683,138905,1560,940,910,256998,0.446240827,0.540490587
2024,Dundy,1228,936,0.762214984,928,828,96,1,3,0,928,0.892241379,0.103448276
2024,Fillmore,3983,3054,0.766758725,2986,2292,658,22,6,8,2986,0.76758205,0.220361688
2024,Franklin,2109,1624,0.770033191,1595,1347,235,9,1,3,1595,0.844514107,0.147335423
2024,Frontier,1856,1415,0.762392241,1403,1206,185,7,4,1,1403,0.8595866,0.131860299
2024,Furnas,3344,2438,0.729066986,2393,2023,358,8,1,3,2393,0.845382365,0.149603009
2024,Gage,14657,11105,0.757658457,10869,7488,3232,75,47,27,10869,0.688931824,0.297359463
