2024 Net Taxable Sales and State Sales Tax,,,,,,,,,
,,,,,,,,,
County,City,Net Taxable Sales,Nebraska Sales Tax,,,,,,
,,,,,,,,,
ADAMS,AYR,"1,318,800","72,534.09",,,,,,
ADAMS,HASTINGS,"480,409,155","26,424,561.34",,,,,,
ADAMS,HOLSTEIN,"1,786,323","98,247.87",,,,,,
ADAMS,JUNIATA,"6,686,745","367,771.33",,,,,,
ADAMS,KENESAW,"4,568,177","251,250.13",,,,,,
ADAMS,ROSELAND,"743,271","40,880.07",,,,,,
,COUNTY TOTAL,"495,560,553","27,257,889.36",,,,,,
,,,,,,,,,
ANTELOPE,BRUNSWICK,"210,062","11,553.49",,,,,,
ANTELOPE,CLEARWATER,"4,317,980","237,489.39",,,,,,
ANTELOPE,ELGIN,"7,506,153","414,743.02",,,,,,
ANTELOPE,NELIGH,"26,024,658","1,430,997.39",,,,,,
ANTELOPE,OAKDALE,"296,235","16,292.99",,,,,,
ANTELOPE,ORCHARD,"7,026,023","386,432.08",,,,,,
ANTELOPE,ROYAL,"913,185","50,225.33",,,,,,
,COUNTY TOTAL,"48,184,714","2,654,457.03",,,,,,
,,,,,,,,,
ARTHUR,ARTHUR,"1,520,988","83,654.60",,,,,,
,COUNTY TOTAL,"1,616,222","88,892.49",,,,,,
,,,,,,,,,
BANNER,HARRISBURG,"124,646","6,855.56",,,,,,
,COUNTY TOTAL,"181,772","9,997.53",,,,,,
,,,,,,,,,
BLAINE,BREWSTER,"79,824","4,390.35",,,,,,
BLAINE,DUNNING,"671,267","36,919.76",,,,,,
,COUNTY TOTAL,"885,426","48,698.57",,,,,,
,,,,,,,,,
BOONE,ALBION,"56,364,556","3,100,052.91",,,,,,
BOONE,CEDAR RAPIDS,"1,660,246","92,408.74",,,,,,
BOONE,PETERSBURG,"2,623,423","144,288.66",,,,,,
BOONE,ST EDWARD,"33,881,395","1,863,451.92",,,,,,
,COUNTY TOTAL,"97,076,452","5,340,278.07",,,,,,
,,,,,,,,,
BOX BUTTE,ALLIANCE,"99,863,276","5,512,622.64",,,,,,
BOX BUTTE,HEMINGFORD,"6,124,776","336,863.48",,,,,,
,COUNTY TOTAL,"105,988,052","5,849,486.12",,,,,,
,,,,,,,,,
BOYD,BUTTE,"1,811,957","99,658.01",,,,,,
BOYD,LYNCH,"2,589,595","142,428.02",,,,,,
BOYD,NAPER,"618,070","33,993.88",,,,,,
BOYD,SPENCER,"8,216,281","452,398.96",,,,,,
,COUNTY TOTAL,"13,525,393","749,765.92",,,,,,
,,,,,,,,,
BROWN,AINSWORTH,"39,896,500","2,196,089.20",,,,,,
BROWN,LONG PINE,"2,955,886","162,574.10",,,,,,
,COUNTY TOTAL,"43,201,481","2,377,863.71",,,,,,
,,,,,,,,,
BUFFALO,AMHERST,"1,108,199","60,951.10",,,,,,
BUFFALO,ELM CREEK,"13,822,868","760,258.47",,,,,,
