County,Net Taxable Sales,Nebraska Sales Tax,Year
ADAMS,498169085,27412599.98,2023
ANTELOPE,49304899,2718673.28,2023
ARTHUR,1612081,88664.7,2023
BANNER,246404,13552.34,2023
BLAINE,849286,46713.57,2023
BOONE,92348503,5079805.97,2023
BOX BUTTE,108054691,5963911.16,2023
BOYD,13373640,738511.75,2023
BROWN,44272189,2441364.48,2023
BUFFALO,1053921035,58000508.26,2023
BURT,51327590,2833730.28,2023
BUTLER,64679490,3559765.48,2023
CASS,165910456,9145127.34,2023
CEDAR,79984059,4402293.04,2023
CHASE,45499509,2526770.5,2023
CHERRY,90074984,4954128.47,2023
CHEYENNE,149751695,8246281.27,2023
CLAY,26506989,1467025.68,2023
COLFAX,65750501,3618678.24,2023
CUMING,90961763,5006226.8,2023
CUSTER,115858307,6378485.6,2023
DAKOTA,202993542,11180559.39,2023
DAWES,113333507,6233347.61,2023
DAWSON,291795094,16070628.69,2023
DEUEL,17011687,938120.34,2023
DIXON,16975092,940625.21,2023
DODGE,705796992,38834013.83,2023
DOUGLAS,12451780200,687169961.3,2023
DUNDY,12056148,663089.28,2023
FILLMORE,49643549,2733971.31,2023
FRANKLIN,14932486,822557.69,2023
FRONTIER,12560405,702663.17,2023
FURNAS,37015712,2036372.27,2023
GAGE,261087823,14374409.83,2023
GARDEN,8951087,503750.33,2023
GARFIELD,28490847,1568451.18,2023
GOSPER,9457429,520159.52,2023
GRANT,5009508,276412.03,2023
GREELEY,12841645,713552.03,2023
HALL,1355612675,74628191.04,2023
HAMILTON,77487468,4236999.92,2023
HARLAN,18238700,1013387.17,2023
HAYES,1581768,87005.02,2023
HITCHCOCK,23313946,1283111.16,2023
HOLT,128898787,7090401.33,2023
HOOKER,13674160,753729.44,2023
HOWARD,45119285,2481563.53,2023
JEFFERSON,85609955,4707309.26,2023
JOHNSON,26940100,1481737.52,2023
KEARNEY,36008061,1986477.65,2023
KEITH,137124767,7550443.88,2023
KEYA PAHA,3269739,179836.25,2023
KIMBALL,31813320,1752100.49,2023
KNOX,57463199,3166328.84,2023
LANCASTER,4898423519,269755333.7,2023
LINCOLN,600534796,33102091.99,2023
LOGAN,2654256,145984.46,2023
LOUP,1741681,95792.66,2023
MADISON,795856038,43806269.28,2023
MCPHERSON,1000145,55008.15,2023
MERRICK,53478644,2951451.62,2023
MORRILL,32702569,1806868.03,2023
NANCE,19844440,1091856.93,2023
NEMAHA,42886632,2365237.08,2023
NUCKOLLS,47762534,2646978.09,2023
OTOE,183729478,10131778.09,2023
PAWNEE,14783232,813396.13,2023
