Tier Description,Amount,Game ID,Game Name,Retailer ID,Retailer Name,Address,Retailer City,Sales Rep ID,Claim Date
"$30,000","$30,000.00",949,FUN 5s,102917,CASEY'S #6142,3435 S 42ND ST,OMAHA,3010,2/10/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,100623,KWIK SHOP #652,3222 Q STREET,OMAHA,3010,2/5/2020
"$1,000","$1,000.00",987,DOUBLER TRIPLER BIG BINGO,102974,CASEY'S #1193,622 E ST.,FAIRBURY,3008,2/10/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,104045,MURPHY USA #7485,2477 E 6TH AVE,COLUMBUS,3005,2/19/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,102351,U-STOP #12,6801 WILDCAT DRIVE,LINCOLN,3007,2/22/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,102396,MAC'S SHORT STOP,1114 NO ADAMS,LEXINGTON,3002,2/29/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,103416,SUPER SAVER #09,2662 CORNHUSKER HWY,LINCOLN,3007,3/8/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,104285,U-STOP #31,5240 S 48TH ST,LINCOLN,3008,3/12/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,103574,CASEY'S #2884,115 E 25TH ST,KEARNEY,3004,3/12/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,101827,SCOTT'S PLACE,102 W HWY 20,BASSETT,3003,3/12/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,103644,CASEY'S #2987,15275 Weir St,Omaha,3011,3/13/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,103623,CASEY'S #2966,2104 PRATT AVE,BELLEVUE,3009,3/21/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,100904,SUPER C #2,3202 S 10TH ST,LINCOLN,3008,3/23/2020
"$1,000","$1,000.00",987,DOUBLER TRIPLER BIG BINGO,101087,GOOD 2 GO #3,243 S 13TH ST,HEBRON,3008,4/7/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,100980,FILL-N-CHILL #05,2815 PARKLANE DRIVE,HASTINGS,3004,4/7/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,100136,PUMP & PANTRY #32,604 E HWY 30,COZAD,3002,4/9/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,103572,CASEY'S #2882,1404 W 2nd ST,GRAND ISLAND,3004,4/13/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,100973,U-STOP #06,946 S 27TH ST,LINCOLN,3007,4/17/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,103290,PREMIER STOP NORTH,1414 NO BURLINGTON,HASTINGS,3004,4/22/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,103124,HY-VEE FAST & FRESH,858 E 23rd ST,FREMONT,3005,5/9/2020
$500,$500.00,987,DOUBLER TRIPLER BIG BINGO,104269,CASEY'S #3805,8409 S 168TH AVE,OMAHA,3011,5/16/2020
