Symbol,Name,Price,Change
NVDA,NVIDIA Corporation,103.06,-7.36
F,Ford Motor Company,9.66,-0.48
LCID,Lucid Group Inc.,2.3550,-0.0450
TSLA,Tesla Inc.,267.90,-14.86
BAC,Bank of America Corp...,37.94,-3.91
INTC,Intel Corporation,21.22,-0.76
PLTR,Palantir Technologies,84.65,-2.80
AMZN,Amazon.com Inc.,181.04,-14.97
AAPL,Apple Inc.,203.99,-19.90
AAL,American Airlines,9.73,-0.86
HOOD,Robinhood Markets,38.26,-4.42
NKE,NIKE Inc.,57.38,-7.58
PSLV,Sprott Physical Silver,10.96,-0.64
NU,Nu Holdings Ltd.,10.35,-0.24
SOFI,SoFi Technologies Inc.,10.99,-1.32
BTG,B2Gold Corp.,2.9350,+0.0150
LYG,Lloyds Banking Group,3.6901,-0.1499
