item_description,plate_model_number,serial_number,case_number,date_reported,type
ACURA 1998 RED 2.3CL 2DR NO FRONT PLATE,NE ULM421,19UYA3140WL000057,C2-001311,01-05-2022,Cars
ACURA 1998 SIL 2.5TL SEDAN,NE WVH195,JH4UA2651WC007302,C2-010242,02-07-2022,Cars
AUDI 03 SIL QUATTRO 2101 SHERIDAN BY                                         LANDA,NE VTV392,WAULC68E13A164148,C2-061863,07-15-2022,Cars
BUICK 2005 MAR LESABRE,NE WNP455,1G4HP52K65U270310,C3-001413,01-06-2023,Cars
BUICK 2018 WHI ENCORE ESSENCE,NE VKS245,KL4CJGSB1JB635679,C2-072684,08-17-2022,Cars
CHEVROLET 1990 GRAY CAPRICE CLASSIC                                BROUGHAM 4 DOOR,NE WMJ587,,C3-003680,01-14-2023,Cars
CHEVROLET 2015 SIL MALIBU; PASSENGER      SIDE DOO RS DENTED IN; BLU/WHI 'AMANACAR,NE WKL969,1G11F5SL9FF210764,C2-008067,01-30-2022,Cars
CHRYSLER 2006 RED PT CRUISER,NE 16W183,3A4FY48B36T247745,C2-088797,10-03-2022,Cars
CHRYSLER 2006 WHI 300 MULTIPLE STICKERS                             IN BACK WINDOW,NE YAD476,2C3KA53G56H525074,C2-104614,11-21-2022,Cars
DODG 2019 SIL JOURNEY CRACKED FRONT                                         BUMPER,NE N0NE,3C4PDCAB8KT868824,C2-112994,12-23-2022,Cars
DODGE BLACK CHARGER WITH RED HOOD/ NO                         FRONT PASSENGER DOOR,,,C2-095558,10-24-2022,Cars
FORD 08 TAN FUSION,NE WVH491,3FAHP08138R156935,C3-004581,01-18-2023,Cars
FORD 13 GRY FIESTA I/TS,NE NONE,3FADP4BJ3DM153636,C2-039186,05-11-2022,Cars
HOND 97 SIL CIVIC LX DAMAGE TO DRIVER                            SIDE FRONT FENDER,NE VMA511,2HGEJ6671VH533473,C2-059818,07-09-2022,Cars
HONDA 2005 SIL ACCORD,NE WYM800,1HGCM66525A023497,C2-102034,11-13-2022,Cars
HYUN 19 SIL ELANTRA DENT UNDER PSNGR                               SIDE TAIL LIGHT,NE WKF967,5NPD74LF5KH467750,C3-002142,01-09-2023,Cars
HYUNDAI 2007 WHI SONATA SE/LTD U/32-33                                    BY DIRKS,NE WVH132,5NPEU46F17H163749,C2-062052,07-16-2022,Cars
HYUNDAI 2017 RED SONATA SE,NE VZY162,5NPE24AF8HH540513,C3-005456,01-21-2023,Cars
"LINCOLN 2002 WHT LS TRANS PROBS, STEREO                                   IN TRUNK",NE UNC629,1LNHM86S62Y646612,C2-039498,05-12-2022,Cars
MERCEDES 03 BLK E320,NE WKH564,WDBUF65J63A314849,C2-032501,04-21-2022,Cars
MERCEDES 13 GRY GLKF 350 MARINE CORP                             STCKER BK WNDSHLD,NE 21V504,WDCGG8JB6DG099231,C2-080913,09-10-2022,Cars
MERCURY 2003 BLACK MARAUDER,NE UTY261,2MEHM75V43X611691,C2-030937,04-16-2022,Cars
NISS 18 BLK SENTRA,NE WKS847,3N1AB7AP0JY302059,C3-003605,01-14-2023,Cars
NISS 18 GRY ROGUE,NE YAJ089,JN8AT2MV0JW300587,C3-001194,01-05-2023,Cars
NISS 97 SIL SENTRA GXE,NE VZW141,3N1AB41D5VL016361,C2-049170,06-09-2022,Cars
NISSAN 18 GRY SENTRA,NE WAI181,3N1AB7AP8JY306456,C2-079755,09-07-2022,Cars
NISSAN 2011 RED JUKE,,JN8AF5MV9BT018878,C2-015889,02-26-2022,Cars
NISSAN 2012 WHI VERSA,NE 8G8043,3N1CN7AP7CL920754,C1-070345,03-24-2022,Cars
PONT 2004 SIL GRAND GT DR SIDE MIRROR                       MISSING BLU HEADLIGHTS,NE YCU034,2G2WP522341284837,C3-004538,01-17-2023,Cars
