Jurisdiction_Name,F1a,TotalMailInVotes,Turnout,percent,C9a,C9b,Year
Boone,3095,3089,84.53974323955204,99.80613893376413,29,10,2024
Cedar,5025,5017,86.86257562662057,99.8407960199005,28,9,2024
Cherry,3118,3099,84.49864498644986,99.3906350224503,33,5,2024
Clay,3379,3364,81.08951283897288,99.55608168097069,64,6,2024
Cuming,4548,1254,77.86337955829481,27.572559366754618,2,1,2024
Dawes,3965,3919,77.97443461160275,98.83984867591425,30,13,2024
Dixon,2954,2946,81.57967412317039,99.7291807718348,19,0,2024
Garden,1136,1134,84.71290082028337,99.82394366197182,3,0,2024
Hamilton,5672,2814,81.2956858248531,49.61212976022567,23,3,2024
Harlan,1840,1247,77.90008467400507,67.77173913043478,7,1,2024
Knox,4529,4509,81.97285067873304,99.55840141311548,33,0,2024
Merrick,4436,4420,83.87218755908489,99.63931469792607,29,9,2024
Morrill,2466,2464,83.11425682507584,99.91889699918897,12,6,2024
Nance,1871,495,77.82861896838602,26.456440406199892,2,0,2024
Phelps,5055,1885,80.89294287085934,37.28981206726014,0,0,2024
Richardson,4006,1106,76.5380206343141,27.608587119321022,2,0,2024
Stanton,3113,3110,83.14636752136752,99.90362993896564,5,4,2024
Thayer,2923,1657,81.30737134909597,56.68833390352378,9,2,2024
Wayne,4183,2473,79.91975544516622,59.12024862538847,16,0,2024
Adams,14642,3880,75.0756293903502,26.499112143149844,16,8,2024
Antelope,3496,550,79.52684258416743,15.732265446224256,0,0,2024
Arthur,288,42,84.70588235294117,14.583333333333334,0,0,2024
Banner,388,64,74.04580152671755,16.49484536082474,1,1,2024
Blaine,295,70,83.33333333333334,23.728813559322035,1,1,2024
Box Butte,4997,804,72.3050209810447,16.089653792275367,4,1,2024
Boyd,1095,206,84.88372093023256,18.812785388127853,0,0,2024
Brown,1660,235,80.3096274794388,14.156626506024098,3,1,2024
Buffalo,24218,3710,77.12002038021845,15.319184077958543,21,8,2024
Burt,3729,446,76.36698750767971,11.960311075355323,0,0,2024
Butler,4677,698,81.52344430887223,14.924096643147317,3,1,2024
Cass,16037,3490,81.56757031687096,21.762174970380993,5,0,2024
Chase,1886,208,78.38736492103075,11.028632025450689,1,0,2024
Cheyenne,4609,894,72.61698440207972,19.396832284660448,3,2,2024
Colfax,3608,492,70.6896551724138,13.636363636363635,0,0,2024
Custer,5998,847,76.87772366059986,14.121373791263755,0,0,2024
Dakota,6305,786,59.78003223665497,12.46629659000793,2,1,2024
Dawson,8754,1320,66.86526122823098,15.078821110349555,15,1,2024
Deuel,1024,215,72.57264351523742,20.99609375,0,0,2024
Dodge,16786,3908,74.445627106617,23.281305850113192,2,1,2024
Douglas,277926,115390,75.41741629287115,41.518245864006964,624,158,2024
Dundy,937,143,76.30293159609121,15.26147278548559,0,0,2024
Fillmore,3082,656,77.41773423762874,21.28487994808566,3,0,2024
Franklin,1629,316,77.31371618414808,19.39840392879067,2,2,2024
Frontier,1422,192,76.69902912621359,13.502109704641349,0,0,2024
Furnas,2448,287,73.24955116696589,11.723856209150327,0,0,2024
Gage,11152,4557,76.2165117550574,40.86262553802008,6,2,2024
Garfield,1024,171,78.40735068912711,16.69921875,0,0,2024
Gosper,1146,310,80.02793296089385,27.05061082024433,0,0,2024
Grant,369,66,82,17.88617886178862,0,0,2024
Greeley,1258,117,80.02544529262087,9.30047694753577,0,0,2024
Hall,23354,4295,69.68015276285952,18.39085381519226,17,8,2024
Hayes,498,121,79.29936305732484,24.29718875502008,0,0,2024
Hitchcock,1462,162,77.97333333333333,11.080711354309166,0,0,2024
Holt,5522,1028,78.17100792751982,18.616443317638538,0,0,2024
Hooker,433,88,81.54425612052731,20.323325635103924,0,0,2024
Howard,3607,649,77.37022737022737,17.992791793734405,0,0,2024
Jefferson,3719,450,77.38243861839368,12.100026888948642,2,0,2024
Johnson,2201,319,77.4182201899402,14.493412085415718,1,0,2024
Kearney,3674,499,79.74820924679835,13.581927054980946,0,0,2024
Keith,4271,728,74.44657486491198,17.045188480449543,6,5,2024
Keya Paha,548,134,86.43533123028391,24.45255474452555,2,2,2024
Kimball,1741,284,66.80736761320031,16.312464101091326,0,0,2024
Lancaster,161148,51884,78.07331182233075,32.196490182937424,167,49,2024
Lincoln,16754,3310,70.63535562207512,19.756476065417214,11,0,2024
Logan,445,47,80.32490974729242,10.561797752808989,0,0,2024
Loup,437,94,84.36293436293437,21.51029748283753,1,0,2024
Mcpherson,288,66,83.72093023255815,22.916666666666664,0,0,2024
Madison,15988,3528,71.11150647155628,22.066549912434326,27,6,2024
Nemaha,3480,387,77.8697695233833,11.120689655172415,0,0,2024
Nuckolls,2292,277,73.25023969319271,12.085514834205933,0,0,2024
Otoe,8350,1488,77.00820806049987,17.820359281437128,3,2,2024
Pawnee,1406,241,78.28507795100222,17.14082503556188,0,0,2024
Perkins,1448,288,78.39740119112074,19.88950276243094,1,0,2024
Pierce,3965,529,80.230675839741,13.34174022698613,0,0,2024
Platte,15992,2952,76.82551883166795,18.459229614807406,5,0,2024
Polk,2879,561,79.07168360340566,19.485932615491492,0,0,2024
Red Willow,5429,643,76.64831286178173,11.843801805120648,2,0,2024
Rock,846,209,78.9179104477612,24.70449172576832,0,0,2024
Saline,5791,708,72.83360583574392,12.225867725781384,3,0,2024
Sarpy,102382,25598,78.70210934136892,25.002441835478894,100,63,2024
Saunders,13795,2120,82.64933197531604,15.36788691554911,17,4,2024
Scotts Bluff,15369,2388,66.74048983845753,15.537770837399961,9,4,2024
Seward,9378,1261,80.96348096348096,13.44636383024099,3,3,2024
Sheridan,2524,297,74.49822904368358,11.767036450079239,4,0,2024
Sherman,1719,279,82.20946915351507,16.230366492146597,0,0,2024
Sioux,682,75,80.32979976442874,10.997067448680351,0,0,2024
Thomas,401,113,81.5040650406504,28.179551122194514,0,0,2024
Thurston,2179,235,57.3421052631579,10.784763653051858,1,1,2024
Valley,2334,346,78.40107490762513,14.824335904027421,0,0,2024
Washington,12793,1933,82.32303732303731,15.109825685921988,16,15,2024
Webster,1778,224,77.0363951473137,12.598425196850393,1,0,2024
Wheeler,491,85,83.64565587734242,17.311608961303463,0,0,2024
York,7153,1140,75.89389920424404,15.937368936110724,9,0,2024
