County,Republican00,Democrat00,Nonpartisan00,Libertarian00,Total00,Republican16,Democrat16,Nonpartisan16,Libertarian16,Total16
Adams,10405,6336,2547,40,19336,10746,5027,3591,163,19527
Antelope,2937,1454,379,2,4772,3088,863,594,12,4557
Arthur,250,65,17,1,333,286,37,15,3,341
Banner,444,84,43,0,571,427,38,73,7,545
Blaine,334,76,22,0,433,310,43,29,2,384
Boone,2343,1437,400,1,4181,2469,901,404,11,3785
Box Butte,4625,3156,1336,15,9132,4278,1852,1395,52,7577
Boyd,1202,548,133,1,1884,1084,250,156,4,1494
Brown,1756,465,218,2,2441,1658,253,214,9,2134
Buffalo,15119,7807,3725,50,26710,16974,6453,5461,305,29193
Burt,2864,2030,741,8,5644,2540,1440,878,35,4893
Butler,2486,2950,925,6,6368,3066,1587,913,19,5585
Cass,7736,5813,2738,23,16313,8472,4633,4025,180,17310
Cedar,2740,2870,633,0,6245,3503,1574,869,14,5960
Chase,1813,837,214,0,2864,1830,371,277,8,2486
Cherry,3076,1068,323,3,4470,3154,566,455,10,4185
Cheyenne,3998,1879,847,13,6737,4250,1221,1336,56,6863
Clay,2911,1412,557,1,4881,2743,848,650,17,4258
Colfax,2440,2523,480,2,5445,2332,2018,701,18,5069
Cuming,4115,1877,589,12,6593,3635,1240,889,23,5787
Custer,5618,2310,894,4,8826,5427,1440,1180,55,8102
Dakota,3621,3887,1618,16,9144,3674,4255,2691,80,10700
Dawes,3426,1384,788,18,5624,3469,1316,1193,48,6026
Dawson,7412,3759,1478,16,12665,7707,3660,2434,115,13916
Deuel,1012,260,190,2,1465,998,176,207,10,1391
Dixon,2123,1471,512,3,4109,2272,957,545,16,3790
Dodge,10866,7771,3110,41,21790,11009,6265,4669,170,22113
Douglas,121384,117169,45659,660,284998,129688,132466,80315,3497,345966
Dundy,995,340,105,0,1440,958,155,158,1,1272
Fillmore,2399,1632,494,0,4526,2378,1024,658,18,4078
Franklin,1517,803,270,1,2591,1428,483,360,10,2281
Frontier,1382,477,179,0,2038,1283,299,263,9,1854
Furnas,2436,1180,466,0,4082,2291,649,533,19,3492
Gage,7611,5787,2218,21,15638,7166,4091,2778,101,14136
Garden,1300,336,157,0,1794,1091,221,145,5,1462
Garfield,1009,311,72,0,1392,966,194,118,3,1281
Gosper,945,430,160,0,1535,1048,246,181,5,1480
Grant,400,92,32,0,524,418,45,37,,500
Greeley,651,1188,104,0,1944,626,814,152,2,1594
Hall,16099,10573,4936,75,31687,16436,9538,6803,249,33026
Hamilton,4030,1664,702,8,6405,4365,1252,944,49,6610
Harlan,1576,890,219,2,2687,1575,528,342,7,2452
Hayes,595,151,47,0,793,551,84,84,1,720
Hitchcock,1276,630,234,1,2141,1278,350,356,12,1996
Holt,5151,2248,760,3,8162,5102,1151,723,23,6999
Hooker,494,111,29,0,634,420,80,40,2,542
Howard,2190,1965,440,0,4595,2448,1347,640,21,4456
Jefferson,3067,2014,709,1,5792,2691,1338,922,30,4981
Johnson,1692,1423,359,3,3477,1532,798,422,15,2767
Kearney,2776,1399,535,4,4715,2818,902,685,29,4434
Keith,3734,1560,843,1,6139,4024,1078,1062,39,6203
Keya Paha,584,197,34,0,815,516,76,44,3,639
Kimball,1832,710,299,2,2843,1920,506,552,11,2989
Knox,3058,2393,689,0,6140,3312,1621,871,18,5822
Lancaster,69170,62941,25317,331,157930,76898,68127,40130,1895,187050
Lincoln,12021,8918,2839,27,23814,13574,5968,4275,195,24012
Logan,432,99,42,0,573,425,70,68,1,564
Loup,369,125,32,0,526,421,77,26,1,525
Madison,12899,5749,2571,17,21237,12548,4888,3892,134,21462
Mcpherson,287,91,7,2,387,307,40,24,3,374
Merrick,3332,1772,531,4,5639,3213,998,715,28,4954
Morrill,2314,936,462,5,3717,2137,594,525,27,3283
Nance,1189,1267,223,1,2680,1269,770,335,9,2383
Nemaha,2754,1850,606,7,5217,2462,1259,817,25,4563
Nuckolls,1907,1502,327,1,3739,1850,838,456,18,3162
Otoe,5401,3612,1452,6,10472,5324,2783,2264,76,10447
Pawnee,1124,808,202,1,2135,1084,494,270,10,1858
Perkins,1276,665,250,3,2194,1368,327,280,7,1982
Phelps,4482,1830,683,5,7000,4297,1048,857,33,6235
Pierce,3152,1364,439,0,4956,3302,766,785,19,4872
Platte,10463,6755,2053,23,19296,12051,4867,3057,141,20116
Polk,2303,1163,395,2,3863,2298,730,473,15,3516
Red Willow,4589,2174,1140,14,7917,4621,1240,1341,37,7239
Richardson,3434,2667,718,6,6825,3004,1754,889,22,5669
Rock,871,237,76,1,1185,825,125,73,1,1024
Saline,3023,4442,991,5,8461,3062,3303,1416,49,7830
Sarpy,34977,23457,12486,170,71106,50057,29538,27620,1258,108473
Saunders,6278,5786,1586,12,13663,8124,3952,2524,96,14696
Scotts Bluff,12558,7720,3419,32,23732,13033,6067,4854,185,24139
Seward,5251,3733,1464,10,10459,6109,2761,1991,65,10926
Sheridan,3008,1046,438,6,4498,2755,678,618,15,4066
Sherman,989,1271,209,7,2476,983,820,196,11,2010
Sioux,758,213,131,0,1102,696,108,107,8,919
Stanton,2760,938,379,2,4079,2454,752,546,30,3782
Thayer,2447,1389,383,2,4221,2316,864,594,17,3791
Thomas,475,123,31,0,630,409,47,49,1,506
Thurston,1354,2408,355,0,4117,1277,2582,660,10,4529
Valley,2012,1141,305,3,3462,1895,745,348,7,2995
Washington,7279,3649,1864,12,12807,8201,3212,2794,115,14322
Wayne,3802,1718,1019,7,6546,3255,1101,836,44,5236
Webster,1545,962,342,0,2849,1456,574,371,12,2413
Wheeler,360,207,47,0,614,420,127,57,3,607
York,7105,2414,1066,4,10590,6658,1783,1510,62,10013
