Rk,School,ConferenceW,ConferenceL,ConferenceW-L%,OverallW,OverallL,OverallW-L%,Own,Opp,SRS,SOS,Notes
1,Michigan,16,1,.941,26,2,.929,89.1,68.7,33.9,13.4,
2,Illinois,13,4,.765,22,6,.786,85.1,69.0,27.6,11.4,
3,Nebraska,12,4,.750,23,4,.852,78.6,65.6,22.8,9.7,
3,Michigan State,12,4,.750,22,5,.815,78.4,66.1,24.0,11.7,
3,Purdue,12,4,.750,22,5,.815,82.9,69.3,26.3,12.7,
6,Wisconsin,11,5,.688,19,8,.704,83.1,75.8,18.5,11.1,
7,UCLA,11,6,.647,19,9,.679,78.0,71.4,17.2,10.6,
8,Iowa,9,7,.563,19,8,.704,76.0,65.1,19.1,8.2,
8,Ohio State,9,7,.563,17,10,.630,80.4,73.1,17.8,10.6,
10,Indiana,8,9,.471,17,11,.607,79.3,72.1,17.3,10.1,
11,Southern California,7,10,.412,18,10,.643,79.6,76.8,11.9,10.4,
12,Washington,6,11,.353,14,14,.500,76.3,72.1,14.7,10.4,
12,Minnesota,6,11,.353,13,15,.464,70.8,68.0,11.2,8.4,
14,Maryland,4,12,.250,11,16,.407,71.2,77.5,4.3,10.6,
15,Northwestern,4,13,.235,12,16,.429,74.1,72.9,12.1,10.9,
15,Rutgers,4,13,.235,11,17,.393,70.3,75.8,3.5,9.0,
17,Oregon,3,13,.188,10,17,.370,71.1,74.2,8.6,11.7,
18,Penn State,2,15,.118,11,17,.393,74.9,79.5,4.5,9.1,
