Team,Conference,Season,RushingYds,RushingTDs,PassingYds,PassingTDs,OffensiveYards,Turnovers
Air Force,Mountain West Conference,2018,3404,33,1576,10,4980,15
Akron,Mid-American Conference,2018,1178,5,2390,16,3568,24
Alabama,Southeastern Conference,2018,2976,33,4854,52,7830,15
Appalachian State,Sun Belt Conference,2018,3125,31,2478,27,5603,17
Arizona,Pac-12 Conference,2018,2429,14,3063,29,5492,19
Arizona State,Pac-12 Conference,2018,2395,26,3025,20,5420,11
Arkansas,Southeastern Conference,2018,1720,11,2301,17,4021,26
Arkansas State,Sun Belt Conference,2018,2418,18,3659,28,6077,16
Army,Independent,2018,4062,47,1041,7,5103,8
Auburn,Southeastern Conference,2018,2177,25,2892,21,5069,13
Ball State,Mid-American Conference,2018,1874,20,3035,17,4909,22
Baylor,Big 12 Conference,2018,2198,25,3770,22,5968,19
Boise State,Mountain West Conference,2018,2178,24,3796,31,5974,13
Boston College,Atlantic Coast Conference,2018,2270,23,2583,25,4853,19
Bowling Green State,Mid-American Conference,2018,1417,9,2864,28,4281,22
Buffalo,Mid-American Conference,2018,2654,36,3155,28,5809,20
BYU,Independent,2018,1995,27,2753,18,4748,17
California,Pac-12 Conference,2018,2050,13,2416,16,4466,31
Central Michigan,Mid-American Conference,2018,1447,8,1614,10,3061,27
Charlotte,Conference USA,2018,1952,18,2166,10,4118,15
Cincinnati,American Athletic Conference,2018,3113,37,2847,22,5960,20
Clemson,Atlantic Coast Conference,2018,3740,49,4180,37,7920,17
Coastal Carolina,Sun Belt Conference,2018,2384,21,2168,19,4552,18
Colorado,Pac-12 Conference,2018,1716,21,2995,19,4711,19
Colorado State,Mountain West Conference,2018,1270,8,3659,26,4929,22
Connecticut,American Athletic Conference,2018,2395,16,2147,20,4542,28
Duke,Atlantic Coast Conference,2018,2075,19,3199,31,5274,20
East Carolina,American Athletic Conference,2018,1556,13,3417,18,4973,25
Eastern Michigan,Mid-American Conference,2018,1899,23,2947,21,4846,14
Florida,Southeastern Conference,2018,2773,23,2776,28,5549,14
Florida Atlantic,Conference USA,2018,2902,35,2844,14,5746,21
Florida International,Conference USA,2018,2296,27,3194,27,5490,13
Florida State,Atlantic Coast Conference,2018,1091,11,3229,20,4320,26
Fresno State,Mountain West Conference,2018,2169,31,3740,26,5909,14
Georgia,Southeastern Conference,2018,3349,30,3177,34,6526,14
Georgia Southern,Sun Belt Conference,2018,3469,35,1027,10,4496,5
Georgia State,Sun Belt Conference,2018,2069,21,2481,15,4550,18
Georgia Tech,Atlantic Coast Conference,2018,4226,45,1089,7,5315,17
Hawaii,Mountain West Conference,2018,1538,11,4344,43,5882,21
Houston,American Athletic Conference,2018,2815,29,3841,45,6656,19
Illinois,Big Ten Conference,2018,2937,25,1988,10,4925,24
Indiana,Big Ten Conference,2018,1888,17,3094,20,4982,21
Iowa,Big Ten Conference,2018,1929,19,2946,27,4875,18
Iowa State,Big 12 Conference,2018,1693,20,3132,20,4825,19
Kansas,Big 12 Conference,2018,1898,14,2312,18,4210,11
Kansas State,Big 12 Conference,2018,2191,20,1945,11,4136,17
Kent State,Mid-American Conference,2018,2061,20,2543,14,4604,20
Kentucky,Southeastern Conference,2018,2626,27,2099,14,4725,18
Liberty,Independent,2018,1937,30,3138,21,5075,24
