Rank,Team,Week
1,Georgia,10
2,Alabama,10
3,Michigan State,10
4,Oregon,10
5,Ohio State,10
6,Cincinnati,10
7,Michigan,10
8,Oklahoma,10
9,Wake Forest,10
10,Notre Dame,10
1,Georgia,11
2,Alabama,11
3,Oregon,11
4,Ohio State,11
5,Cincinnati,11
6,Michigan,11
7,Michigan State,11
8,Oklahoma,11
9,Notre Dame,11
10,Oklahoma State,11
1,Georgia,12
2,Alabama,12
3,Oregon,12
4,Ohio State,12
5,Cincinnati,12
6,Michigan,12
7,Michigan State,12
8,Notre Dame,12
9,Oklahoma State,12
10,Wake Forest,12
1,Georgia,13
2,Ohio State,13
3,Alabama,13
4,Cincinnati,13
5,Michigan,13
6,Notre Dame,13
7,Oklahoma State,13
8,Baylor,13
9,Mississippi,13
10,Oklahoma,13
1,Georgia,14
2,Michigan,14
3,Alabama,14
4,Cincinnati,14
5,Oklahoma State,14
6,Notre Dame,14
7,Ohio State,14
8,Mississippi,14
9,Baylor,14
10,Oregon,14
1,Alabama,15
2,Michigan,15
3,Georgia,15
4,Cincinnati,15
5,Notre Dame,15
6,Ohio State,15
7,Baylor,15
8,Mississippi,15
9,Oklahoma State,15
10,Michigan State,15
