team,week,rank
Ohio State,9,1
Ohio State,10,1
Ohio State,11,1
Ohio State,12,1
Ohio State,13,1
Ohio State,14,2
Indiana,9,2
Indiana,10,2
Indiana,11,2
Indiana,12,2
Indiana,13,2
Indiana,14,1
Texas A&M,9,3
Texas A&M,10,3
Texas A&M,11,3
Texas A&M,12,3
Texas A&M,13,7
Texas A&M,14,7
Alabama,9,4
Alabama,10,4
Alabama,11,10
Alabama,12,10
Alabama,13,9
Alabama,14,9
Georgia,9,5
Georgia,10,5
Georgia,11,4
Georgia,12,4
Georgia,13,3
Georgia,14,3
Ole Miss,9,6
Ole Miss,10,7
Ole Miss,11,6
Ole Miss,12,7
Ole Miss,13,6
Ole Miss,14,6
BYU,9,7
Texas Tech,9,8
Texas Tech,10,6
Texas Tech,11,5
Texas Tech,12,5
Texas Tech,13,4
Texas Tech,14,4
Oregon,9,9
Oregon,10,8
Oregon,11,7
Oregon,12,6
Oregon,13,5
Oregon,14,5
Notre Dame,9,10
Notre Dame,10,9
Notre Dame,11,9
Notre Dame,12,9
Notre Dame,13,10
Texas,10,10
Oklahoma,11,8
Oklahoma,12,8
Oklahoma,13,8
Oklahoma,14,8
Miami,14,10
