Name,Team,Yr,Pos,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
Jaxson Dart,Miss,SR,QB,13,398,276,69.3,4279,10.8,29,6,180.68,30.6,329.2
Kurtis Rourke,Indiana,SR,QB,12,320,222,69.4,3042,9.5,29,5,176.01,26.7,253.5
Will Howard,Ohio State,SR,QB,16,423,309,73,4010,9.5,35,10,175.25,26.4,250.6
Cam Ward,Miami (Fl),SR,QB,13,454,305,67.2,4313,9.5,39,7,172.25,34.9,331.8
Shedeur Sanders,Colorado,SR,QB,13,477,353,74,4134,8.7,37,10,168.21,36.7,318
Darian Mensah,Tulane,FR,QB,13,287,189,65.9,2723,9.5,22,6,166.67,22.1,209.5
Dillon Gabriel,Oregon,SR,QB,14,447,326,72.9,3857,8.6,30,6,164.88,31.9,275.5
John Mateer,Wash St,SO,QB,12,347,224,64.6,3139,9,29,7,164.09,28.9,261.6
Jordan McCloud,Texas St,SR,QB,13,390,273,70,3227,8.3,30,13,158.21,30,248.2
DJ Lagway,Florida,FR,QB,12,192,115,59.9,1915,10,12,9,154.93,16,159.6
Braylon Braxton,Marshall,JR,QB,11,206,124,60.2,1624,7.9,19,2,154.91,18.7,147.6
Haynes King,Ga Tech,JR,QB,11,269,196,72.9,2114,7.9,14,2,154.56,24.5,192.2
Drew Allar,Penn State,JR,QB,16,394,262,66.5,3327,8.4,24,8,153.47,24.6,207.9
Sawyer Robertson,Baylor,JR,QB,12,368,229,62.2,3071,8.3,28,8,153.09,30.7,255.9
Joe Fagnano,UConn,SR,QB,10,206,120,58.3,1631,7.9,20,4,152.91,20.6,163.1
Ben Wooldridge,La-Lafytte,SR,QB,11,291,192,66,2453,8.4,17,6,151.95,26.5,223
LaNorris Sellers,S Carolina,FR,QB,12,299,196,65.6,2534,8.5,18,7,151.93,24.9,211.2
Josh Hoover,TCU,SO,QB,13,471,313,66.5,3949,8.4,27,11,151.13,36.2,303.8
Keyone Jenkins,FIU,SO,QB,12,304,188,61.8,2557,8.4,22,8,151.11,25.3,213.1
Kevin Jennings,SMU,SO,QB,14,380,247,65,3245,8.5,23,11,150.91,27.1,231.8
Payton Thorne,Auburn,SR,QB,11,317,199,62.8,2713,8.6,21,9,150.85,28.8,246.6
Gio Lopez,USA,FR,QB,11,312,206,66,2559,8.2,18,5,150.76,28.4,232.6
Sam Leavitt,Ariz St,FR,QB,13,350,216,61.7,2885,8.2,24,6,150.15,26.9,221.9
Caden Veltkamp,Western Ky,SO,QB,13,389,258,66.3,3108,8,25,10,149.51,29.9,239.1
Quinn Ewers,Texas,JR,QB,14,445,293,65.8,3472,7.8,31,12,148.98,31.8,248
Jalen Milroe,Alabama,JR,QB,13,319,205,64.3,2844,8.9,16,11,148.8,24.5,218.8
Kyle McCord,Syracuse,SR,QB,13,592,391,66,4779,8.1,34,12,148.76,45.5,367.6
Cade Klubnik,Clemson,JR,QB,14,486,308,63.4,3639,7.5,36,6,148.24,34.7,259.9
Tyler Shough,Louisville,SR,QB,12,389,244,62.7,3195,8.2,23,6,148.15,32.4,266.3
Will Rogers,Washington,SR,QB,11,311,220,70.7,2458,7.9,14,7,147.49,28.3,223.5
Hayden Wolff,W Mich,SR,QB,13,312,208,66.7,2410,7.7,18,8,145.46,24,185.4
Carson Beck,Georgia,SR,QB,13,448,290,64.7,3485,7.8,28,12,145.34,34.5,268.1
Nico Iamaleava,Tennessee,FR,QB,13,334,213,63.8,2616,7.8,19,5,145.34,25.7,201.2
Hajj-Malik Williams,UNLV,SR,QB,13,252,150,59.5,1941,7.7,19,5,145.13,19.4,149.3
Tyler Huff,J'ville St,SR,QB,14,293,178,60.8,2543,8.7,14,7,144.64,20.9,181.6
Fernando Mendoza,California,SO,QB,11,386,265,68.7,3004,7.8,16,6,144.59,35.1,273.1
Luke Altmyer,Illinois,JR,QB,13,347,211,60.8,2717,7.8,22,6,144.04,26.7,209
