college_team,nfl_team,year,overall,round,pick,name,pre_draft_grade,total_receptions,total_yards,total_touchdowns,average_long,total_ypr,rating
Ohio State,Seattle,2023,20,1,20,Jaxon Smith-Njigba,90,91,1319,7,34.333333333333336,14.494505494505495,31.1
TCU,Los Angeles,2023,21,1,22,Quentin Johnston,88,108,2002,13,68.66666666666667,18.537037037037038,24.3
Boston College,Baltimore,2023,22,1,23,Zay Flowers,89,200,3056,29,63.25,15.28,-14.9
USC,Minnesota,2023,23,1,24,Jordan Addison,89,212,3020,29,72.33333333333333,14.245283018867925,18.9
Ole Miss,Carolina,2023,39,2,8,Jonathan Mingo,85,104,1643,12,47.75,15.798076923076923,16.2
Michigan State,Green Bay,2023,50,2,19,Jayden Reed,83,196,2781,24,59.25,14.188775510204081,1.2
SMU,Kansas City,2023,55,2,24,Rashee Rice,64,232,3069,25,63.25,13.22844827586207,4.7
Oklahoma,Denver,2023,63,2,32,Marvin Mims,80,118,2237,18,68.33333333333333,18.95762711864407,15.4
Houston,Houston,2023,69,3,6,Nathaniel Dell,72,206,2849,29,57.333333333333336,13.830097087378642,4.5
Tennessee,New York,2023,73,3,10,Jalin Hyatt,83,105,1734,18,55.666666666666664,16.514285714285716,25.2
Tennessee,Cleveland,2023,74,3,11,Cedric Tillman,80,102,1472,14,41,14.431372549019608,25.2
North Carolina,Indianapolis,2023,79,3,16,Josh Downs,79,195,2330,20,41,11.948717948717949,7.8
Stanford,Arizona,2023,94,3,31,Michael Wilson,63,131,1638,11,41.6,12.50381679389313,-7.2
Cincinnati,Las Vegas,2023,100,3,37,Tre Tucker,45,109,1414,8,51,12.972477064220184,13.1
TCU,Los Angeles,2023,125,4,23,Derius Davis,38,104,1399,9,58.6,13.451923076923077,24.3
Purdue,Cincinnati,2023,131,4,29,Charlie Jones,69,149,2079,18,61.666666666666664,13.953020134228188,7.7
Cincinnati,Chicago,2023,133,4,31,Tyler Scott,70,83,1392,14,55.333333333333336,16.771084337349397,13.1
Florida,Buffalo,2023,150,5,16,Justin Shorter,39,103,1459,8,38.8,14.16504854368932,10.4
Virginia,Green Bay,2023,159,5,25,Dontayvion Wicks,54,90,1694,12,55,18.822222222222223,-9
BYU,Los Angeles,2023,177,5,43,Puka Nacua,38,106,1740,14,53.75,16.41509433962264,-1.4
Penn State,Jacksonville,2023,185,6,8,Parker Washington,62,139,1822,12,58,13.107913669064748,22.4
LSU,New England,2023,187,6,10,Kayshon Boutte,51,128,1735,16,54.666666666666664,13.5546875,16.2
Nebraska,Tampa Bay,2023,191,6,14,Trey Palmer,58,112,1501,12,44.5,13.401785714285714,-1.2
Wake Forest,New Orleans,2023,195,6,18,A.T. Perry,68,149,2391,27,48.5,16.046979865771814,8.2
Stanford,Miami,2023,197,6,20,Elijah Higgins,60,118,1382,6,45.333333333333336,11.711864406779661,-7.2
Iowa State,Houston,2023,205,6,28,Xavier Hutchinson,63,249,2850,15,51.333333333333336,11.44578313253012,5.3
Liberty,New England,2023,210,6,33,Demario Douglas,49,155,2079,15,53,13.412903225806451,-1.5
North Carolina,Detroit,2023,219,7,2,Antoine Green,65,82,1613,15,53.8,19.670731707317074,7.8
South Carolina,Dallas,2023,244,7,27,Jalen Brooks,NA,58,785,2,39,13.53448275862069,12.7
Michigan,San Francisco,2023,253,7,36,Ronnie Bell,50,134,2070,8,60.8,15.447761194029852,32
Charlotte,Green Bay,2023,256,7,39,Grant DuBose,38,126,1684,15,54,13.365079365079366,-16.4
