Season,Team,Conference,DefensiveYardsPerPlay
2023,Air Force,Mountain West Conference,4.89159891598916
2023,Akron,Mid-American Conference,5.180412371134021
2023,Alabama,Southeastern Conference,5.0101925254813136
2023,Appalachian State,Sun Belt Conference,5.738095238095238
2023,Arizona,Pac-12 Conference,5.442105263157894
2023,Arizona State,Pac-12 Conference,5.9525
2023,Arkansas,Southeastern Conference,5.67682119205298
2023,Arkansas State,Sun Belt Conference,6.161324786324786
2023,Army,Independent,5.881561238223418
2023,Auburn,Southeastern Conference,5.648418491484185
2023,BYU,Big 12 Conference,5.917355371900826
2023,Ball State,Mid-American Conference,5.1775956284153
2023,Baylor,Big 12 Conference,6.583333333333333
2023,Boise State,Mountain West Conference,6.044843049327354
2023,Boston College,Atlantic Coast Conference,6.288944723618091
2023,Bowling Green,Mid-American Conference,5.239802224969098
2023,Buffalo,Mid-American Conference,5.796052631578948
2023,California,Pac-12 Conference,5.714437367303609
2023,Central Michigan,Mid-American Conference,6.335927367055771
2023,Charlotte,American Athletic Conference,5.838751625487646
2023,Cincinnati,Big 12 Conference,6.666206896551724
2023,Clemson,Atlantic Coast Conference,4.695106649937265
2023,Coastal Carolina,Sun Belt Conference,5.784290738569754
2023,Colorado,Pac-12 Conference,6.267281105990784
2023,Colorado State,Mountain West Conference,5.7105263157894735
2023,Connecticut,Independent,6.112781954887218
2023,Duke,Atlantic Coast Conference,5.151685393258427
2023,East Carolina,American Athletic Conference,5.2445582586427655
2023,Eastern Michigan,Mid-American Conference,5.801111111111111
2023,Florida,Southeastern Conference,6.442415730337078
2023,Florida Atlantic,American Athletic Conference,5.363329583802025
2023,Florida International,Conference USA,5.981735159817352
2023,Florida State,Atlantic Coast Conference,5.0237837837837835
2023,Fresno State,Mountain West Conference,5.350721420643729
2023,Georgia,Southeastern Conference,4.772405660377358
2023,Georgia Southern,Sun Belt Conference,6.055294117647059
2023,Georgia State,Sun Belt Conference,6.290102389078498
2023,Georgia Tech,Atlantic Coast Conference,6.292358803986711
2023,Hawaii,Mountain West Conference,6.16871921182266
2023,Houston,Big 12 Conference,5.9776733254994125
2023,Illinois,Big Ten Conference,5.276223776223776
2023,Indiana,Big Ten Conference,5.816728167281672
2023,Iowa,Big Ten Conference,4.077319587628866
2023,Iowa State,Big 12 Conference,5.222345132743363
2023,Jacksonville State,Conference USA,4.822292323869611
2023,James Madison,Sun Belt Conference,4.958857142857143
2023,Kansas,Big 12 Conference,5.757611241217798
2023,Kansas State,Big 12 Conference,5.758620689655173
2023,Kent State,Mid-American Conference,6.047741935483871
2023,Kentucky,Southeastern Conference,5.222727272727273
2023,LSU,Southeastern Conference,6.140589569160998
2023,Liberty,Conference USA,5.7266739846322725
2023,Louisiana,Sun Belt Conference,5.214137214137214
2023,Louisiana Tech,Conference USA,6.0972053462940465
2023,Louisiana-Monroe,Sun Belt Conference,6.031567080045096
2023,Louisville,Atlantic Coast Conference,5.316167664670659
2023,Marshall,Sun Belt Conference,5.5
2023,Maryland,Big Ten Conference,4.857941834451902
2023,Massachusetts,Independent,6.795755968169761
2023,Memphis,American Athletic Conference,6.2593856655290105
2023,Miami (FL),Atlantic Coast Conference,5.1745049504950495
2023,Miami (OH),Mid-American Conference,4.957127545551983
2023,Michigan,Big Ten Conference,4.283236994219653
2023,Michigan State,Big Ten Conference,5.7890818858560795
2023,Middle Tennessee State,Conference USA,5.487861271676301
2023,Minnesota,Big Ten Conference,5.949068322981367
2023,Mississippi State,Southeastern Conference,5.332065906210393
2023,Missouri,Southeastern Conference,5.282950423216445
2023,Navy,American Athletic Conference,5.526041666666667
2023,Nebraska,Big Ten Conference,4.621827411167513
2023,Nevada,Mountain West Conference,6.894668400520156
2023,Nevada-Las Vegas,Mountain West Conference,6.254838709677419
2023,New Mexico,Mountain West Conference,6.7372764786795045
2023,New Mexico State,Conference USA,6.105809128630705
2023,North Carolina,Atlantic Coast Conference,5.622459893048128
2023,North Carolina State,Atlantic Coast Conference,5.39625
2023,North Texas,American Athletic Conference,6.556192660550459
2023,Northern Illinois,Mid-American Conference,5.115763546798029
2023,Northwestern,Big Ten Conference,5.139211136890951
2023,Notre Dame,Independent,4.440049443757726
2023,Ohio,Mid-American Conference,4.831750339213026
2023,Ohio State,Big Ten Conference,4.166666666666667
2023,Oklahoma,Big 12 Conference,5.413903743315508
2023,Oklahoma State,Big 12 Conference,6.476439790575916
2023,Old Dominion,Sun Belt Conference,5.219037871033777
2023,Ole Miss,Southeastern Conference,5.460439560439561
2023,Oregon,Pac-12 Conference,4.9921612541993285
2023,Oregon State,Pac-12 Conference,5.424314660309893
2023,Penn State,Big Ten Conference,4.158914728682171
2023,Pitt,Atlantic Coast Conference,5.35679012345679
2023,Purdue,Big Ten Conference,5.724094881398252
2023,Rice,American Athletic Conference,5.5
2023,Rutgers,Big Ten Conference,4.9877600979192165
2023,SMU,American Athletic Conference,4.5933117583603025
2023,Sam Houston,Conference USA,5.879503105590062
2023,San Diego State,Mountain West Conference,6.1498740554156175
2023,San Jose State,Mountain West Conference,5.433136094674556
2023,South Alabama,Sun Belt Conference,5.008610086100861
2023,South Carolina,Southeastern Conference,5.501738122827346
2023,South Florida,American Athletic Conference,6.071274298056156
2023,Southern Mississippi,Sun Belt Conference,6.740987983978638
2023,Stanford,Pac-12 Conference,6.571767497034401
2023,Syracuse,Atlantic Coast Conference,5.348108108108108
2023,Temple,American Athletic Conference,6.300832342449465
2023,Tennessee,Southeastern Conference,4.968072976054732
2023,Texas,Big 12 Conference,5.237777777777778
2023,Texas A&M,Southeastern Conference,5.229007633587786
2023,Texas Christian,Big 12 Conference,5.651672433679354
2023,Texas State,Sun Belt Conference,5.7052980132450335
2023,Texas Tech,Big 12 Conference,5.486457204767064
2023,Toledo,Mid-American Conference,4.962606837606837
2023,Troy,Sun Belt Conference,4.756339581036384
2023,Tulane,American Athletic Conference,5.20479302832244
2023,Tulsa,American Athletic Conference,6.579531442663378
2023,UAB,American Athletic Conference,6.170212765957447
2023,UCF,Big 12 Conference,5.763038548752834
2023,UCLA,Pac-12 Conference,4.633569739952718
2023,USC,Pac-12 Conference,6.0964247020585045
2023,UTEP,Conference USA,6.06797385620915
2023,UTSA,American Athletic Conference,5.181425485961123
2023,Utah,Pac-12 Conference,5.212793733681462
2023,Utah State,Mountain West Conference,5.786228160328879
2023,Vanderbilt,Southeastern Conference,6.545563549160671
2023,Virginia,Atlantic Coast Conference,6.048029556650246
2023,Virginia Tech,Atlantic Coast Conference,5.1475
2023,Wake Forest,Atlantic Coast Conference,5.843828715365239
2023,Washington,Pac-12 Conference,5.771996215704825
2023,Washington State,Pac-12 Conference,5.671116504854369
2023,West Virginia,Big 12 Conference,5.7827102803738315
2023,Western Kentucky,Conference USA,5.810436634717785
2023,Western Michigan,Mid-American Conference,6.106080206985769
2023,Wisconsin,Big Ten Conference,5.116704805491991
2023,Wyoming,Mountain West Conference,5.249435665914222
2024,Air Force,Mountain West Conference,5.929190751445087
2024,Akron,Mid-American Conference,6.072039072039072
2024,Alabama,Southeastern Conference,4.717687074829932
2024,Appalachian State,Sun Belt Conference,6.546897546897547
2024,Arizona,Big 12 Conference,6.313375796178344
2024,Arizona State,Big 12 Conference,5.231023102310231
2024,Arkansas,Southeastern Conference,5.5493757094211125
2024,Arkansas State,Sun Belt Conference,6.884174311926605
2024,Army,American Athletic Conference,5.326947637292465
2024,Auburn,Southeastern Conference,4.881918819188192
2024,BYU,Big 12 Conference,4.907090464547677
2024,Ball State,Mid-American Conference,6.998717948717949
2024,Baylor,Big 12 Conference,5.678733031674208
2024,Boise State,Mountain West Conference,5.632743362831858
2024,Boston College,Atlantic Coast Conference,5.490632318501171
2024,Bowling Green,Mid-American Conference,5.297662976629766
2024,Buffalo,Mid-American Conference,5.621412803532009
2024,California,Atlantic Coast Conference,4.990898748577929
2024,Central Michigan,Mid-American Conference,5.6442432082794305
2024,Charlotte,American Athletic Conference,6.292978208232445
2024,Cincinnati,Big 12 Conference,6.069553805774278
2024,Clemson,Atlantic Coast Conference,5.548728813559322
2024,Coastal Carolina,Sun Belt Conference,5.971143174250832
2024,Colorado,Big 12 Conference,5.072062084257206
2024,Colorado State,Mountain West Conference,5.794350282485876
2024,Connecticut,Independent,5.095936794582393
2024,Duke,Atlantic Coast Conference,5.005302226935313
2024,East Carolina,American Athletic Conference,5.441115702479339
2024,Eastern Michigan,Mid-American Conference,6.181208053691275
2024,Florida,Southeastern Conference,5.251875669882101
2024,Florida Atlantic,American Athletic Conference,6.038647342995169
2024,Florida International,Conference USA,5.24263839811543
2024,Florida State,Atlantic Coast Conference,5.767123287671233
2024,Fresno State,Mountain West Conference,4.902439024390244
2024,Georgia,Southeastern Conference,5.046994535519126
2024,Georgia Southern,Sun Belt Conference,6.296045197740113
2024,Georgia State,Sun Belt Conference,6.233250620347395
2024,Georgia Tech,Atlantic Coast Conference,5.634639696586599
2024,Hawaii,Mountain West Conference,5.710858585858586
2024,Houston,Big 12 Conference,5.202937249666221
2024,Illinois,Big Ten Conference,5.48135593220339
2024,Indiana,Big Ten Conference,4.282776349614396
