season,team,conference,def_yards_per_play
2024,Air Force,Mountain West Conference,5.929190751445087
2024,Akron,Mid-American Conference,6.072039072039072
2024,Alabama,Southeastern Conference,4.717687074829932
2024,Appalachian State,Sun Belt Conference,6.546897546897547
2024,Arizona,Big 12 Conference,6.313375796178344
2024,Arizona State,Big 12 Conference,5.231023102310231
2024,Arkansas,Southeastern Conference,5.5493757094211125
2024,Arkansas State,Sun Belt Conference,6.884174311926605
2024,Army,American Athletic Conference,5.326947637292465
2024,Auburn,Southeastern Conference,4.881918819188192
2024,BYU,Big 12 Conference,4.907090464547677
2024,Ball State,Mid-American Conference,6.998717948717949
2024,Baylor,Big 12 Conference,5.678733031674208
2024,Boise State,Mountain West Conference,5.632743362831858
2024,Boston College,Atlantic Coast Conference,5.490632318501171
2024,Bowling Green,Mid-American Conference,5.297662976629766
2024,Buffalo,Mid-American Conference,5.621412803532009
2024,California,Atlantic Coast Conference,4.990898748577929
2024,Central Michigan,Mid-American Conference,5.6442432082794305
2024,Charlotte,American Athletic Conference,6.292978208232445
2024,Cincinnati,Big 12 Conference,6.069553805774278
2024,Clemson,Atlantic Coast Conference,5.548728813559322
2024,Coastal Carolina,Sun Belt Conference,5.971143174250832
2024,Colorado,Big 12 Conference,5.072062084257206
2024,Colorado State,Mountain West Conference,5.794350282485876
2024,Connecticut,Independent,5.095936794582393
2024,Duke,Atlantic Coast Conference,5.005302226935313
2024,East Carolina,American Athletic Conference,5.441115702479339
2024,Eastern Michigan,Mid-American Conference,6.181208053691275
2024,Florida,Southeastern Conference,5.251875669882101
2024,Florida Atlantic,American Athletic Conference,6.038647342995169
2024,Florida International,Conference USA,5.24263839811543
2024,Florida State,Atlantic Coast Conference,5.767123287671233
2024,Fresno State,Mountain West Conference,4.902439024390244
2024,Georgia,Southeastern Conference,5.046994535519126
2024,Georgia Southern,Sun Belt Conference,6.296045197740113
2024,Georgia State,Sun Belt Conference,6.233250620347395
2024,Georgia Tech,Atlantic Coast Conference,5.634639696586599
2024,Hawaii,Mountain West Conference,5.710858585858586
2024,Houston,Big 12 Conference,5.202937249666221
2024,Illinois,Big Ten Conference,5.48135593220339
2024,Indiana,Big Ten Conference,4.282776349614396
2024,Iowa,Big Ten Conference,5.0108958837772395
2024,Iowa State,Big 12 Conference,5.728323699421965
2024,Jacksonville State,Conference USA,5.591463414634147
2024,James Madison,Sun Belt Conference,4.870779976717113
2024,Kansas,Big 12 Conference,6.102331606217617
2024,Kansas State,Big 12 Conference,5.257950530035336
2024,Kennesaw State,Conference USA,6.046398046398046
2024,Kent State,Mid-American Conference,6.996610169491525
2024,Kentucky,Southeastern Conference,5.798601398601399
2024,LSU,Southeastern Conference,5.884472049689441
2024,Liberty,Conference USA,5.356687898089172
2024,Louisiana,Sun Belt Conference,5.378169790518192
2024,Louisiana Tech,Conference USA,4.677946324387398
2024,Louisiana-Monroe,Sun Belt Conference,5.612667478684531
2024,Louisville,Atlantic Coast Conference,5.409706546275395
2024,Marshall,Sun Belt Conference,5.407040704070407
2024,Maryland,Big Ten Conference,5.594327990135635
2024,Massachusetts,Independent,6.215767634854772
2024,Memphis,American Athletic Conference,5.826456310679611
2024,Miami (FL),Atlantic Coast Conference,5.270136307311028
2024,Miami (OH),Mid-American Conference,4.858638743455497
2024,Michigan,Big Ten Conference,4.861144945188794
2024,Michigan State,Big Ten Conference,5.362045760430687
2024,Middle Tennessee State,Conference USA,6.670792079207921
2024,Minnesota,Big Ten Conference,4.7615384615384615
