Season,Team,Conference,YardsPerPlay
2022,Air Force,Mountain West Conference,5.033485540334856
2022,Akron,Mid-American Conference,5.995079950799508
2022,Alabama,Southeastern Conference,4.591564927857935
2022,Appalachian State,Sun Belt Conference,5.307006369426752
2022,Arizona,Pac-12 Conference,6.602352941176471
2022,Arizona State,Pac-12 Conference,6.014268727705113
2022,Arkansas,Southeastern Conference,6.460470085470085
2022,Arkansas State,Sun Belt Conference,5.821556886227545
2022,Army,Independent,5.759358288770054
2022,Auburn,Southeastern Conference,5.521536670547148
2022,BYU,Independent,5.868362831858407
2022,Ball State,Mid-American Conference,5.04857444561774
2022,Baylor,Big 12 Conference,5.3708240534521154
2022,Boise State,Mountain West Conference,4.750580046403712
2022,Boston College,Atlantic Coast Conference,5.625310173697271
2022,Bowling Green,Mid-American Conference,5.815565031982943
2022,Buffalo,Mid-American Conference,6.054245283018868
2022,California,Pac-12 Conference,5.8244620611551525
2022,Central Michigan,Mid-American Conference,5.138728323699422
2022,Charlotte,Conference USA,7.079268292682927
2022,Cincinnati,American Athletic Conference,4.619703389830509
2022,Clemson,Atlantic Coast Conference,5.034408602150537
2022,Coastal Carolina,Sun Belt Conference,6.448275862068965
2022,Colorado,Pac-12 Conference,7.196470588235294
2022,Colorado State,Mountain West Conference,5.144927536231884
2022,Connecticut,Independent,5.507795100222717
2022,Duke,Atlantic Coast Conference,5.5286195286195285
2022,East Carolina,American Athletic Conference,6.104529616724738
2022,Eastern Michigan,Mid-American Conference,5.620412844036697
2022,Florida,Southeastern Conference,5.916943521594685
2022,Florida Atlantic,Conference USA,6.031952662721894
2022,Florida International,Conference USA,6.0479375696767
2022,Florida State,Atlantic Coast Conference,4.847045191193511
2022,Fresno State,Mountain West Conference,5.1352813852813854
2022,Georgia,Southeastern Conference,4.881578947368421
2022,Georgia Southern,Sun Belt Conference,6.5025641025641026
2022,Georgia State,Sun Belt Conference,5.732057416267943
2022,Georgia Tech,Atlantic Coast Conference,5.556581986143187
2022,Hawaii,Mountain West Conference,6.590961761297798
2022,Houston,American Athletic Conference,5.908405172413793
2022,Illinois,Big Ten Conference,4.390123456790123
2022,Indiana,Big Ten Conference,5.886338797814208
2022,Iowa,Big Ten Conference,3.9864099660249153
2022,Iowa State,Big 12 Conference,4.726896551724138
2022,James Madison,Sun Belt Conference,4.738095238095238
2022,Kansas,Big 12 Conference,6.151209677419355
2022,Kansas State,Big 12 Conference,5.540084388185654
2022,Kent State,Mid-American Conference,5.789532293986637
2022,Kentucky,Southeastern Conference,5.18974358974359
2022,LSU,Southeastern Conference,5.337634408602151
2022,Liberty,Independent,4.966887417218543
2022,Louisiana,Sun Belt Conference,5.295045045045045
2022,Louisiana Tech,Conference USA,6.5179606025492465
2022,Louisiana-Monroe,Sun Belt Conference,6.191797346200241
2022,Louisville,Atlantic Coast Conference,5.061320754716981
2022,Marshall,Sun Belt Conference,4.558333333333334
2022,Maryland,Big Ten Conference,5.012958963282937
2022,Massachusetts,Independent,6.06703146374829
2022,Memphis,American Athletic Conference,5.260579064587973
2022,Miami (FL),Atlantic Coast Conference,5.936925098554534
2022,Miami (OH),Mid-American Conference,5.408026755852843
2022,Michigan,Big Ten Conference,4.653014789533561
2022,Michigan State,Big Ten Conference,5.811627906976744
2022,Middle Tennessee State,Conference USA,5.533264033264033
2022,Minnesota,Big Ten Conference,4.9689119170984455
2022,Mississippi State,Southeastern Conference,5.1542002301495975
2022,Missouri,Southeastern Conference,5.268727705112961
2022,Navy,American Athletic Conference,5.78805120910384
2022,Nebraska,Big Ten Conference,5.4829106945975745
2022,Nevada,Mountain West Conference,5.84029484029484
2022,Nevada-Las Vegas,Mountain West Conference,5.475
2022,New Mexico,Mountain West Conference,5.541025641025641
2022,New Mexico State,Independent,5.013761467889908
2022,North Carolina,Atlantic Coast Conference,6.141708542713568
2022,North Carolina State,Atlantic Coast Conference,4.994124559341951
2022,North Texas,Conference USA,6.0803402646502835
2022,Northern Illinois,Mid-American Conference,5.883519206939281
2022,Northwestern,Big Ten Conference,5.558714462299135
2022,Notre Dame,Independent,5.1516245487364625
2022,Ohio,Mid-American Conference,6.155509783728116
2022,Ohio State,Big Ten Conference,5.1796778190830235
2022,Oklahoma,Big 12 Conference,5.772988505747127
2022,Oklahoma State,Big 12 Conference,5.709677419354839
2022,Old Dominion,Sun Belt Conference,5.72923408845739
2022,Ole Miss,Southeastern Conference,5.324181626187962
2022,Oregon,Pac-12 Conference,5.795321637426901
2022,Oregon State,Pac-12 Conference,5.18705035971223
2022,Penn State,Big Ten Conference,4.610745614035087
2022,Pitt,Atlantic Coast Conference,5.148859543817527
2022,Purdue,Big Ten Conference,5.77191011235955
2022,Rice,Conference USA,6.469387755102041
2022,Rutgers,Big Ten Conference,5.175092478421702
2022,SMU,American Athletic Conference,6.001070663811563
2022,San Diego State,Mountain West Conference,4.923708920187793
2022,San Jose State,Mountain West Conference,5.073383084577115
2022,South Alabama,Sun Belt Conference,5.136904761904762
2022,South Carolina,Southeastern Conference,5.681425485961123
2022,South Florida,American Athletic Conference,7.423952095808383
2022,Southern Mississippi,Sun Belt Conference,5.399553571428571
2022,Stanford,Pac-12 Conference,6.5604534005037785
2022,Syracuse,Atlantic Coast Conference,4.89908256880734
2022,Temple,American Athletic Conference,5.641826923076923
2022,Tennessee,Southeastern Conference,5.316851664984863
2022,Texas,Big 12 Conference,4.937113402061856
2022,Texas A&M,Southeastern Conference,5.1711924439197166
2022,Texas Christian,Big 12 Conference,5.711753731343284
2022,Texas State,Sun Belt Conference,5.271289537712895
2022,Texas Tech,Big 12 Conference,5.878852284803401
2022,Toledo,Mid-American Conference,4.7972689075630255
2022,Troy,Sun Belt Conference,4.686475409836065
2022,Tulane,American Athletic Conference,5
2022,Tulsa,American Athletic Conference,5.875886524822695
2022,UAB,Conference USA,5.33674630261661
2022,UCF,American Athletic Conference,5.647558386411889
2022,UCLA,Pac-12 Conference,5.637634408602151
2022,USC,Pac-12 Conference,6.5291529152915295
2022,UTEP,Conference USA,5.866851595006935
2022,UTSA,Conference USA,5.548618219037871
2022,Utah,Pac-12 Conference,5.795539033457249
2022,Utah State,Mountain West Conference,5.752771618625277
2022,Vanderbilt,Southeastern Conference,6.954773869346734
2022,Virginia,Atlantic Coast Conference,4.973574408901252
2022,Virginia Tech,Atlantic Coast Conference,5.396026490066225
