season,start_date,home_team,away_team,home_points,away_points,neutral_site
2023,2023-08-26T18:30:00.000Z,Notre Dame,Navy,42,3,TRUE
2023,2023-08-26T21:30:00.000Z,Jacksonville State,UTEP,17,14,FALSE
2023,2023-08-26T23:00:00.000Z,New Mexico State,Massachusetts,30,41,FALSE
2023,2023-08-26T23:00:00.000Z,San Diego State,Ohio,20,13,FALSE
2023,2023-08-26T23:30:00.000Z,Vanderbilt,Hawai'i,35,28,FALSE
2023,2023-08-27T00:00:00.000Z,USC,San José State,56,28,FALSE
2023,2023-08-27T01:00:00.000Z,Louisiana Tech,Florida International,22,17,FALSE
2023,2023-08-31T23:00:00.000Z,Georgia State,Rhode Island,42,35,FALSE
2023,2023-08-31T23:00:00.000Z,UCF,Kent State,56,6,FALSE
2023,2023-08-31T23:00:00.000Z,Western Michigan,Saint Francis,35,17,FALSE
2023,2023-08-31T23:00:00.000Z,Wake Forest,Elon,37,17,FALSE
2023,2023-08-31T23:30:00.000Z,UConn,NC State,14,24,FALSE
2023,2023-09-01T00:00:00.000Z,Missouri,South Dakota,35,10,FALSE
2023,2023-09-01T00:00:00.000Z,Tulsa,Arkansas-Pine Bluff,42,7,FALSE
2023,2023-09-01T00:00:00.000Z,UAB,North Carolina A&T,35,6,FALSE
2023,2023-09-01T00:00:00.000Z,Minnesota,Nebraska,13,10,FALSE
2023,2023-09-01T00:00:00.000Z,Utah,Florida,24,11,FALSE
2023,2023-09-01T02:00:00.000Z,Arizona State,Southern Utah,24,21,FALSE
2023,2023-09-01T22:30:00.000Z,Eastern Michigan,Howard,33,23,FALSE
2023,2023-09-01T23:00:00.000Z,Miami,Miami (OH),38,3,FALSE
2023,2023-09-01T23:00:00.000Z,Michigan State,Central Michigan,31,7,FALSE
2023,2023-09-01T23:30:00.000Z,Georgia Tech,Louisville,34,39,TRUE
2023,2023-09-02T00:00:00.000Z,Kansas,Missouri State,48,17,FALSE
2023,2023-09-02T03:00:00.000Z,Hawai'i,Stanford,24,37,FALSE
2023,2023-09-02T16:00:00.000Z,Liberty,Bowling Green,34,24,FALSE
2023,2023-09-02T16:00:00.000Z,Kentucky,Ball State,44,14,FALSE
2023,2023-09-02T16:00:00.000Z,Oklahoma,Arkansas State,73,0,FALSE
2023,2023-09-02T16:00:00.000Z,Purdue,Fresno State,35,39,FALSE
2023,2023-09-02T16:00:00.000Z,Iowa,Utah State,24,14,FALSE
