Season,Team,Conference,YardsPerPlay
2020,Air Force,Mountain West Conference,6.262734584450402
2020,Akron,Mid-American Conference,4.686111111111111
2020,Alabama,Southeastern Conference,7.8508557457212715
2020,Appalachian State,Sun Belt Conference,6.41371158392435
2020,Arizona,Pac-12 Conference,4.951742627345845
2020,Arizona State,Pac-12 Conference,7.277777777777778
2020,Arkansas,Southeastern Conference,5.774336283185841
2020,Arkansas State,Sun Belt Conference,6.345111896348645
2020,Army,Independent,4.8106060606060606
2020,Auburn,Southeastern Conference,5.584880636604774
2020,Ball State,Mid-American Conference,5.815235008103728
2020,Baylor,Big 12 Conference,4.43879173290938
2020,Boise State,Mountain West Conference,5.484444444444445
2020,Boston College,Atlantic Coast Conference,5.652463382157124
2020,Bowling Green State,Mid-American Conference,5.197452229299363
2020,Buffalo,Mid-American Conference,7.291938997821351
2020,BYU,Independent,7.910691823899371
2020,California,Pac-12 Conference,4.4475524475524475
2020,Central Michigan,Mid-American Conference,5.840277777777778
2020,Charlotte,Conference USA,5.449519230769231
2020,Cincinnati,American Athletic Conference,6.671597633136095
2020,Clemson,Atlantic Coast Conference,6.690344062153163
2020,Coastal Carolina,Sun Belt Conference,6.705590062111801
2020,Colorado,Pac-12 Conference,5.469162995594714
2020,Colorado State,Mountain West Conference,4.757352941176471
2020,Duke,Atlantic Coast Conference,5.030193236714976
2020,East Carolina,American Athletic Conference,5.532824427480916
2020,Eastern Michigan,Mid-American Conference,5.746411483253588
2020,Florida,Southeastern Conference,7.283333333333333
2020,Florida Atlantic,Conference USA,4.909243697478992
2020,Florida International,Conference USA,4.571895424836601
2020,Florida State,Atlantic Coast Conference,5.543478260869565
2020,Fresno State,Mountain West Conference,6.198275862068965
2020,Georgia,Southeastern Conference,6.209370424597364
2020,Georgia Southern,Sun Belt Conference,5.9287469287469285
2020,Georgia State,Sun Belt Conference,5.657333333333334
2020,Georgia Tech,Atlantic Coast Conference,5.634393063583815
2020,Hawaii,Mountain West Conference,5.411580594679187
2020,Houston,American Athletic Conference,5.54406779661017
2020,Illinois,Big Ten Conference,5.369230769230769
2020,Indiana,Big Ten Conference,5.1436170212765955
2020,Iowa,Big Ten Conference,5.420955882352941
2020,Iowa State,Big 12 Conference,6.323671497584541
2020,Kansas,Big 12 Conference,3.662480376766091
2020,Kansas State,Big 12 Conference,5.630615640599002
2020,Kent State,Mid-American Conference,7.441717791411043
2020,Kentucky,Southeastern Conference,5.154867256637168
2020,Liberty,Independent,6.700379266750948
2020,Louisiana,Sun Belt Conference,6.304347826086956
2020,Louisiana Tech,Conference USA,4.498575498575499
2020,Louisiana-Monroe,Sun Belt Conference,4.844690966719493
2020,Louisville,Atlantic Coast Conference,6.653950953678474
2020,LSU,Southeastern Conference,5.520356234096692
2020,Marshall,Conference USA,5.857784431137724
2020,Maryland,Big Ten Conference,6.608414239482201
2020,Massachusetts,Independent,3.456221198156682
2020,Memphis,American Athletic Conference,6.125153374233129
2020,Miami (FL),Atlantic Coast Conference,6.028678304239402
2020,Miami (OH),Mid-American Conference,5.924324324324324
2020,Michigan,Big Ten Conference,5.942857142857143
2020,Michigan State,Big Ten Conference,4.796257796257796
2020,Middle Tennessee State,Conference USA,5.177672955974843
2020,Minnesota,Big Ten Conference,5.678423236514523
2020,Mississippi State,Southeastern Conference,4.917214191852826
2020,Missouri,Southeastern Conference,5.630252100840337
2020,Navy,American Athletic Conference,4.53960396039604
2020,Nebraska,Big Ten Conference,5.5630550621669625
2020,Nevada,Mountain West Conference,6.460162601626016
2020,Nevada-Las Vegas,Mountain West Conference,4.7214285714285715
2020,New Mexico,Mountain West Conference,5.468253968253968
2020,North Carolina,Atlantic Coast Conference,7.593639575971731
2020,North Carolina State,Atlantic Coast Conference,5.5443645083932855
2020,North Texas,Conference USA,6.58793324775353
2020,Northern Illinois,Mid-American Conference,4.98868778280543
2020,Northwestern,Big Ten Conference,4.787610619469026
2020,Notre Dame,Atlantic Coast Conference,6.206459054209919
2020,Ohio,Mid-American Conference,6.362573099415204
2020,Ohio State,Big Ten Conference,7.5078740157480315
2020,Oklahoma,Big 12 Conference,6.967989756722151
2020,Oklahoma State,Big 12 Conference,5.521790341578328
2020,Ole Miss,Southeastern Conference,6.974905897114178
2020,Oregon,Pac-12 Conference,6.752336448598131
2020,Oregon State,Pac-12 Conference,5.828920570264766
2020,Penn State,Big Ten Conference,5.46262341325811
2020,Pitt,Atlantic Coast Conference,5.138820638820639
2020,Purdue,Big Ten Conference,5.700729927007299
2020,Rice,Conference USA,4.813753581661891
2020,Rutgers,Big Ten Conference,4.627659574468085
2020,San Diego State,Mountain West Conference,5.028673835125448
2020,San Jose State,Mountain West Conference,6.692456479690522
2020,SMU,American Athletic Conference,6.567065073041169
2020,South Alabama,Sun Belt Conference,5.137841352405721
2020,South Carolina,Southeastern Conference,5.34789156626506
2020,South Florida,American Athletic Conference,5.058461538461539
2020,Southern Mississippi,Conference USA,5.785381026438569
2020,Stanford,Pac-12 Conference,6.016706443914081
2020,Syracuse,Atlantic Coast Conference,4.448170731707317
2020,Temple,American Athletic Conference,4.652671755725191
2020,Tennessee,Southeastern Conference,5.245454545454545
2020,Texas,Big 12 Conference,6.648951048951049
2020,Texas A&M,Southeastern Conference,6.477876106194691
2020,Texas Christian,Big 12 Conference,6.036603221083455
2020,Texas State,Sun Belt Conference,5.719433719433719
2020,Texas Tech,Big 12 Conference,5.8435374149659864
2020,Toledo,Mid-American Conference,6.415584415584416
2020,Troy,Sun Belt Conference,5.511479591836735
2020,Tulane,American Athletic Conference,5.727602905569007
2020,Tulsa,American Athletic Conference,5.639939485627837
2020,UAB,Conference USA,5.921311475409836
2020,UCF,American Athletic Conference,6.613504074505238
2020,UCLA,Pac-12 Conference,6.136801541425819
2020,USC,Pac-12 Conference,5.567928730512249
2020,Utah,Pac-12 Conference,5.904899135446686
2020,Utah State,Mountain West Conference,4.571823204419889
2020,UTEP,Conference USA,5.166975881261595
2020,UTSA,Conference USA,5.762124711316397
2020,Vanderbilt,Southeastern Conference,4.714285714285714
2020,Virginia,Atlantic Coast Conference,5.681879194630873
2020,Virginia Tech,Atlantic Coast Conference,6.65934065934066
2020,Wake Forest,Atlantic Coast Conference,5.798550724637681
2020,Washington,Pac-12 Conference,6.033707865168539
2020,Washington State,Pac-12 Conference,5.862595419847328
2020,West Virginia,Big 12 Conference,5.436100131752306
2020,Western Kentucky,Conference USA,4.6251655629139075
2020,Western Michigan,Mid-American Conference,7.341836734693878
2020,Wisconsin,Big Ten Conference,4.886868686868687
2020,Wyoming,Mountain West Conference,5.469437652811736
2021,Air Force,Mountain West Conference,5.841101694915254
2021,Akron,Mid-American Conference,5.249679897567222
2021,Alabama,Southeastern Conference,6.689555125725338
2021,Appalachian State,Sun Belt Conference,6.308163265306122
2021,Arizona,Pac-12 Conference,4.94335260115607
2021,Arizona State,Pac-12 Conference,6.325
2021,Arkansas,Southeastern Conference,6.384017758046615
2021,Arkansas State,Sun Belt Conference,5.434135166093929
2021,Army,Independent,5.630184331797235
2021,Auburn,Southeastern Conference,5.818283166109253
2021,Ball State,Mid-American Conference,4.992063492063492
2021,Baylor,Big 12 Conference,6.353004291845494
2021,Boise State,Mountain West Conference,5.327944572748268
2021,Boston College,Atlantic Coast Conference,5.4282018111254855
2021,Bowling Green State,Mid-American Conference,4.941785252263907
2021,Buffalo,Mid-American Conference,5.450221238938053
2021,BYU,Independent,6.7620689655172415
2021,California,Pac-12 Conference,5.935979513444302
2021,Central Michigan,Mid-American Conference,5.957600827300931
2021,Charlotte,Conference USA,5.909866017052376
2021,Cincinnati,American Athletic Conference,6.707995365005794
2021,Clemson,Atlantic Coast Conference,5.220489977728285
2021,Coastal Carolina,Sun Belt Conference,7.754830917874396
