Season,Team,Conference,YardsPerPlay
2023,Air Force,Mountain West Conference,5.768765133171913
2023,Akron,Mid-American Conference,4.335927367055771
2023,Alabama,Southeastern Conference,6.211060948081264
2023,Appalachian State,Sun Belt Conference,6.20079522862823
2023,Arizona,Pac-12 Conference,6.756380510440835
2023,Arizona State,Pac-12 Conference,4.750614250614251
2023,Arkansas,Southeastern Conference,4.928301886792453
2023,Arkansas State,Sun Belt Conference,5.858866103739445
2023,Army,Independent,5.05420054200542
2023,Auburn,Southeastern Conference,5.501204819277109
2023,BYU,Big 12 Conference,4.916666666666667
2023,Ball State,Mid-American Conference,4.758043758043758
2023,Baylor,Big 12 Conference,5.302923976608187
2023,Boise State,Mountain West Conference,6.551502145922747
2023,Boston College,Atlantic Coast Conference,5.458149779735683
2023,Bowling Green,Mid-American Conference,5.396946564885496
2023,Buffalo,Mid-American Conference,4.613992762364294
2023,California,Pac-12 Conference,5.458646616541353
2023,Central Michigan,Mid-American Conference,5.293589743589743
2023,Charlotte,American Athletic Conference,4.738636363636363
2023,Cincinnati,Big 12 Conference,5.830102622576967
2023,Clemson,Atlantic Coast Conference,5.245490981963928
2023,Coastal Carolina,Sun Belt Conference,6.184
2023,Colorado,Pac-12 Conference,5.243990384615385
2023,Colorado State,Mountain West Conference,5.743097238895558
2023,Connecticut,Independent,5.055412371134021
2023,Duke,Atlantic Coast Conference,5.62111801242236
2023,East Carolina,American Athletic Conference,4.304010349288486
2023,Eastern Michigan,Mid-American Conference,4.346055979643766
2023,Florida,Southeastern Conference,6.0530209617755855
2023,Florida Atlantic,American Athletic Conference,5.081946222791293
2023,Florida International,Conference USA,5.026212319790301
2023,Florida State,Atlantic Coast Conference,6.274553571428571
2023,Fresno State,Mountain West Conference,5.702488687782806
2023,Georgia,Southeastern Conference,7.255741127348643
2023,Georgia Southern,Sun Belt Conference,5.715932914046122
2023,Georgia State,Sun Belt Conference,5.810227272727273
2023,Georgia Tech,Atlantic Coast Conference,6.337543053960965
2023,Hawaii,Mountain West Conference,5.315545243619489
2023,Houston,Big 12 Conference,5.634941329856584
2023,Illinois,Big Ten Conference,5.7854500616522815
2023,Indiana,Big Ten Conference,4.9925
2023,Iowa,Big Ten Conference,3.937649880095923
2023,Iowa State,Big 12 Conference,6.217562254259502
2023,Jacksonville State,Conference USA,5.315947843530592
2023,James Madison,Sun Belt Conference,6.231121281464531
2023,Kansas,Big 12 Conference,7.159259259259259
2023,Kansas State,Big 12 Conference,6.035453597497393
2023,Kent State,Mid-American Conference,4.349865951742627
2023,Kentucky,Southeastern Conference,6.180672268907563
2023,LSU,Southeastern Conference,8.400713436385256
2023,Liberty,Conference USA,7.18191161356629
2023,Louisiana,Sun Belt Conference,6.101674641148326
2023,Louisiana Tech,Conference USA,5.741293532338308
2023,Louisiana-Monroe,Sun Belt Conference,5.067105263157894
2023,Louisville,Atlantic Coast Conference,6.176408076514346
2023,Marshall,Sun Belt Conference,5.30751708428246
2023,Maryland,Big Ten Conference,5.868298368298368
2023,Massachusetts,Independent,5.7926829268292686
2023,Memphis,American Athletic Conference,6.549450549450549
2023,Miami (FL),Atlantic Coast Conference,6.398401826484018
2023,Miami (OH),Mid-American Conference,5.689698492462312
2023,Michigan,Big Ten Conference,6.213203463203463
2023,Michigan State,Big Ten Conference,4.635514018691588
2023,Middle Tennessee State,Conference USA,5.709245742092458
2023,Minnesota,Big Ten Conference,4.788249694002448
2023,Mississippi State,Southeastern Conference,5.264352469959946
2023,Missouri,Southeastern Conference,6.459954233409611
2023,Navy,American Athletic Conference,4.823293172690763
2023,Nebraska,Big Ten Conference,5.078484438430311
2023,Nevada,Mountain West Conference,4.568527918781726
2023,Nevada-Las Vegas,Mountain West Conference,6.13375796178344
2023,New Mexico,Mountain West Conference,6.213114754098361
2023,New Mexico State,Conference USA,6.738562091503268
2023,North Carolina,Atlantic Coast Conference,6.665970772442589
2023,North Carolina State,Atlantic Coast Conference,5.315052508751458
2023,North Texas,American Athletic Conference,6.531284302963776
2023,Northern Illinois,Mid-American Conference,5.764705882352941
2023,Northwestern,Big Ten Conference,4.66469893742621
2023,Notre Dame,Independent,6.954207920792079
2023,Ohio,Mid-American Conference,5.211981566820277
2023,Ohio State,Big Ten Conference,6.381468110709988
2023,Oklahoma,Big 12 Conference,6.76694045174538
2023,Oklahoma State,Big 12 Conference,5.932286555446516
2023,Old Dominion,Sun Belt Conference,5.4203592814371255
2023,Ole Miss,Southeastern Conference,6.463939720129171
2023,Oregon,Pac-12 Conference,7.823343848580442
2023,Oregon State,Pac-12 Conference,6.448484848484848
2023,Penn State,Big Ten Conference,5.601293103448276
2023,Pitt,Atlantic Coast Conference,5.328212290502793
2023,Purdue,Big Ten Conference,5.343091334894614
2023,Rice,American Athletic Conference,5.767726161369193
2023,Rutgers,Big Ten Conference,4.908754623921085
2023,SMU,American Athletic Conference,6.235294117647059
2023,Sam Houston,Conference USA,4.579656862745098
2023,San Diego State,Mountain West Conference,5.060802069857697
2023,San Jose State,Mountain West Conference,6.524875621890548
2023,South Alabama,Sun Belt Conference,6.379041248606466
2023,South Carolina,Southeastern Conference,5.578745198463508
2023,South Florida,American Athletic Conference,5.711089494163424
2023,Southern Mississippi,Sun Belt Conference,5.001179245283019
