season,team,conference,yards_per_play
2024,Air Force,Mountain West Conference,4.6424167694204685
2024,Akron,Mid-American Conference,5.219607843137255
2024,Alabama,Southeastern Conference,6.333729216152019
2024,Appalachian State,Sun Belt Conference,6.026957637997433
2024,Arizona,Big 12 Conference,5.510362694300518
2024,Arizona State,Big 12 Conference,6.178828365878726
2024,Arkansas,Southeastern Conference,6.578193832599119
2024,Arkansas State,Sun Belt Conference,5.373118279569892
2024,Army,American Athletic Conference,6.021444695259594
2024,Auburn,Southeastern Conference,6.666235446313066
2024,BYU,Big 12 Conference,6.100478468899522
2024,Ball State,Mid-American Conference,5.140394088669951
2024,Baylor,Big 12 Conference,6.32853982300885
2024,Boise State,Mountain West Conference,6.725773195876289
2024,Boston College,Atlantic Coast Conference,5.529685681024447
2024,Bowling Green,Mid-American Conference,5.812796208530806
2024,Buffalo,Mid-American Conference,5.25
2024,California,Atlantic Coast Conference,5.442731277533039
2024,Central Michigan,Mid-American Conference,5.279038718291055
2024,Charlotte,American Athletic Conference,5.510094212651413
2024,Cincinnati,Big 12 Conference,6.139902676399027
2024,Clemson,Atlantic Coast Conference,6.288270377733598
2024,Coastal Carolina,Sun Belt Conference,5.762752075919336
2024,Colorado,Big 12 Conference,6.05224787363305
2024,Colorado State,Mountain West Conference,5.907385697538101
2024,Connecticut,Independent,5.667763157894737
2024,Duke,Atlantic Coast Conference,5.162735849056604
2024,East Carolina,American Athletic Conference,6.310344827586207
2024,Eastern Michigan,Mid-American Conference,5.077267637178052
2024,Florida,Southeastern Conference,6.2640099626401
2024,Florida Atlantic,American Athletic Conference,5.90470297029703
2024,Florida International,Conference USA,5.714285714285714
2024,Florida State,Atlantic Coast Conference,4.4242837653478855
2024,Fresno State,Mountain West Conference,5.433128834355828
2024,Georgia,Southeastern Conference,6.025477707006369
2024,Georgia Southern,Sun Belt Conference,5.319148936170213
2024,Georgia State,Sun Belt Conference,5.7346437346437344
2024,Georgia Tech,Atlantic Coast Conference,6.111849390919159
2024,Hawaii,Mountain West Conference,5.353658536585366
2024,Houston,Big 12 Conference,4.869014084507042
2024,Illinois,Big Ten Conference,5.89192546583851
2024,Indiana,Big Ten Conference,6.505868544600939
