Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Pct.
1,"Haley Yount, Jacksonville (ASUN)",So.,6-2,MB,86,164,26,298,0.463
2,"Julieta Sandez, UIC (MVC)",Sr.,6-4,MB,85,178,27,331,0.456
3,"Ashlynn Archer, Sacramento St. (Big Sky)",Sr.,6-1,MB,83,238,44,436,0.445
4,"Lizzy Andrew, Stanford (ACC)",So.,6-5,MB,81,206,33,389,0.445
5,"Yasmeen Muhammad, LIU (NEC)",Jr.,6-2,MB,79,173,28,327,0.443
6,"Lucie Blazkova, Washington St. (WCC)",So.,6-3,MB,77,226,40,427,0.436
7,"Rachel Grier, New Hampshire (America East)",Jr.,6-4,MB,81,203,29,401,0.434
8,"Layanna Green, UC Santa Barbara (Big West)",Jr.,6-0,MB,93,201,40,372,0.433
9,"Kiara Reinhardt, Creighton (Big East)",Sr.,6-3,MB,83,209,48,375,0.429
10,"KJ Burgess, Oklahoma (SEC)",Jr.,6-2,MB,82,155,31,289,0.429
11,"Andi Jackson, Nebraska (Big Ten)",Jr.,6-3,MB,68,173,40,315,0.422
12,"Ally Chandler, UC Davis (Big West)",Jr.,6-2,MB,74,164,23,334,0.422
13,"Kaya Weaver, UTEP (CUSA)",Sr.,6-2,MB,56,144,34,262,0.42
14,"Maya Walker, Fairfield (MAAC)",Sr.,6-1,MB,90,177,26,360,0.419
15,"Lucia Scalamandre, Princeton (Ivy League)",Sr.,6-3,MB,67,186,38,353,0.419
16,"Ifenna Cos-Okpalla, Texas A&M (SEC)",Sr.,6-2,MB,79,158,33,299,0.418
17,"Laurece Abraham, Yale (Ivy League)",Jr.,6-1,MB,68,184,39,348,0.417
18,"Serena Nyambio, Michigan (Big Ten)",Sr.,6-2,MB,83,159,30,311,0.415
19,"Mackenzie Parsons, Cornell (Ivy League)",So.,6-2,MB,75,190,37,369,0.415
19,"Brookelyn Talmadge, Bryant (America East)",Jr.,6-0,MB,86,165,29,328,0.415
21,"Rebekah Allick, Nebraska (Big Ten)",Sr.,6-4,MB,63,156,39,284,0.412
22,"Erika Sayer, Stanford (ACC)",Fr.,6-2,MB,81,188,52,336,0.405
23,"Elise Sterling, American (Patriot)",So.,6-0,MB,80,167,36,324,0.404
24,"Beatrice Gennari, Northeastern (CAA)",Jr.,6-0,MB,82,144,26,294,0.401
25,"Morgan Ostrowski, IU Indy (Horizon)",Sr.,6-1,MB,96,238,50,471,0.399
26,"Jill Hanson, Tulsa (American)",Fr.,6-0,MB,85,183,45,346,0.399
27,"Tierney Barlow, Utah St. (Mountain West)",Sr.,6-2,OH,78,207,44,409,0.399
28,"Carter Booth, Wisconsin (Big Ten)",Sr.,6-7,MB,65,118,22,242,0.397
29,"Lademi Ogunlana, Rice (American)",Sr.,5-11,MB,75,166,34,333,0.396
30,"Bianca Garibaldi, Georgia Tech (ACC)",So.,5-11,MB,74,139,39,255,0.392
31,"Maya Winterhoff, App State (Sun Belt)",Sr.,6-2,MB,98,269,55,547,0.391
32,"Lindsay Oldendorf, UNI (MVC)",Sr.,6-3,MB,61,108,17,233,0.391
33,"Kori McClure, Saint Francis (NEC)",Sr.,6-0,OH,90,188,44,369,0.39
34,"Campbell McKinnon, Villanova (Big East)",So.,5-10,MB,86,238,64,446,0.39
35,"Camryn Wise, Ball St. (MAC)",Jr.,5-11,MB,103,200,36,421,0.39
36,"Liana Sarkissian, Dayton (Atlantic 10)",Sr.,6-4,MH,86,195,41,397,0.388
37,"Faith Young, Western Ky. (CUSA)",So.,6-1,OH,80,216,47,436,0.388
38,"Natalie Robinson, Rutgers (Big Ten)",So.,6-4,MB,81,161,41,310,0.387
39,"Gigi Greenlee, Northern Ariz. (Big Sky)",So.,6-3,MB,89,218,49,437,0.387
40,"Farah Farooq, Florida A&M (SWAC)",Jr.,6-1,MB,90,184,39,375,0.387
41,"Daedrianna Cail, Arkansas St. (Sun Belt)",Sr.,5-11,MB,89,229,56,448,0.386
42,"Ayden Ames, Texas (SEC)",So.,6-4,MB,62,106,21,223,0.381
43,"Shelby Burriss, Princeton (Ivy League)",Fr.,6-1,MB,53,102,24,205,0.38
44,"Chelsea Sutton, Tennessee (SEC)",So.,6-4,MB,73,161,44,308,0.38
45,"Danika Washington, UTEP (CUSA)",Sr.,5-11,MB,81,143,40,272,0.379
46,"Chloe Leluge, Cal Poly (Big West)",So.,6-3,MB,84,180,35,384,0.378
47,"Alex Myers, Ga. Southern (Sun Belt)",Fr.,6-1,MB,81,157,25,351,0.376
48,"Sophia Wolfson, Brown (Ivy League)",So.,6-2,MB,69,207,44,434,0.376
49,"Zoe Gibbs, Northern Colo. (Big Sky)",Sr.,6-0,MH,95,210,48,432,0.375
50,"Audrey Rome, UConn (Big East)",Jr.,6-3,MB,88,199,47,406,0.374
51,"Brielle Kemavor, BYU (Big 12)",Jr.,6-5,MB,85,179,53,337,0.374
52,"Tennyson Gorman, Furman (SoCon)",So.,6-3,MB,90,235,63,461,0.373
53,"Kyra McKelvey, Southeastern La. (Southland)",Jr.,5-11,OPP,81,316,87,614,0.373
54,"Erin Brothers, Towson (CAA)",Sr.,6-0,MB,93,245,52,520,0.371
55,"Maya Bukovcan, High Point (Big South)",Fr.,6-4,MB,86,183,44,375,0.371
56,"Ady O'Grady, USC Upstate (Big South)",Sr.,6-1,MB,93,314,59,689,0.37
57,"Jaydin Watts, Idaho St. (Big Sky)",Jr.,6-2,MB,76,166,35,354,0.37
58,"Carson Ledford, Eastern Ky. (ASUN)",Sr.,6-0,MB,92,163,38,338,0.37
59,"Mya Plemons, Purdue Fort Wayne (Horizon)",So.,5-11,MB,92,178,32,395,0.37
60,"Annemarie Rakoski, Wofford (SoCon)",Sr.,6-3,MB,79,138,29,295,0.369
61,"Maggie Mendelson, Penn St. (Big Ten)",Sr.,6-5,MB,73,150,36,310,0.368
62,"Tierney Jackson, Iowa St. (Big 12)",Sr.,6-4,MB,72,161,44,319,0.367
63,"Haley Kerstetter, Penn (Ivy League)",Fr.,6-1,MB,53,94,20,202,0.366
64,"Prinzez Zeck, American (Patriot)",Jr.,6-0,MB,81,149,37,306,0.366
65,"Hailey Heytvelt, Campbell (CAA)",So.,6-2,MB,70,112,26,235,0.366
66,"Camryn Greenwald, Montana St. (Big Sky)",Sr.,6-2,MB,83,159,34,342,0.365
67,"Kamryn Lee-Caracci, Georgetown (Big East)",Jr.,6-1,MB,90,176,38,378,0.365
68,"Kali Engeman, San Diego (WCC)",Sr.,6-1,MB,90,176,45,359,0.365
69,"Ava Toppin, Navy (Patriot)",Sr.,5-11,MB,90,208,37,469,0.365
70,"Olivia Burrage, Kennesaw St. (CUSA)",Jr.,6-1,MB,84,204,52,418,0.364
71,"Tatum Mason, A&M-Corpus Christi (Southland)",Fr.,6-0,OH,71,166,37,356,0.362
72,"Isabella Mishler, Virginia Tech (ACC)",So.,6-3,MB,72,120,24,265,0.362
73,"Maddy McGath, West Virginia (Big 12)",Jr.,6-2,MB,86,147,40,296,0.361
74,"Tyrah Ariail, Missouri (SEC)",Sr.,6-1,MB,88,209,49,445,0.36
75,"Chelsea Gilmore, Louisiana (Sun Belt)",So.,6-1,MB,79,146,36,306,0.359
76,"Ashlyn Philpot, Illinois (Big Ten)",So.,6-4,MB,77,160,45,320,0.359
76,"Abby Toeniskoetter, FGCU (ASUN)",Jr.,6-3,MB,74,122,30,256,0.359
78,"Lizzie Carr, Kentucky (SEC)",Jr.,6-6,MB,65,125,32,259,0.359
79,"Whitley Rammel, ETSU (SoCon)",Sr.,6-3,MB,84,181,46,376,0.359
80,"Larissa Seger, Southern Ill. (MVC)",Sr.,6-2,MH,96,190,39,421,0.359
81,"Alana Marrs, Oregon St. (WCC)",Fr.,6-4,MB,72,168,43,349,0.358
82,"Naomi White, Portland St. (Big Sky)",Jr.,6-0,MB,89,144,27,327,0.358
83,"Sarah Sylvester, TCU (Big 12)",Sr.,6-3,MB,83,120,21,277,0.357
84,"Cayla Payne, Colorado (Big 12)",Jr.,6-4,MB,86,189,52,384,0.357
85,"McKinley Boehm, Xavier (Big East)",Fr.,6-2,MB,90,159,43,327,0.355
86,"Taina Kaauwai, Portland (WCC)",Jr.,6-1,MB,78,130,25,296,0.355
87,"Emily Fowler, Coastal Carolina (Sun Belt)",Jr.,6-3,OH,87,215,56,449,0.354
88,"Jaela Auguste, Florida (SEC)",So.,6-2,MB,84,218,69,421,0.354
89,"Barakat Rahmon, Houston (Big 12)",Sr.,6-1,MB,78,132,33,280,0.354
90,"Hannah Whittingstall, Iowa (Big Ten)",Jr.,6-2,MH,92,171,42,365,0.353
91,"Ava Bogan, Cornell (Ivy League)",Jr.,6-5,MB,73,121,25,272,0.353
92,"Malaya Jones, SMU (ACC)",Sr.,6-0,OPP,85,338,75,746,0.353
93,"Carley McAleavey, Rider (MAAC)",Sr.,6-1,MH,83,177,46,372,0.352
94,"Bliss Beck, Drake (MVC)",So.,6-2,MB,94,143,28,327,0.352
95,"Noemie Glover, Arizona St. (Big 12)",Jr.,6-2,OPP,58,249,68,515,0.351
96,"Jacquelyn Moore, Vanderbilt (SEC)",Sr.,6-1,MB,83,241,65,501,0.351
97,"Janiah Robinson, Niagara (MAAC)",Jr.,5-11,MB,84,152,39,322,0.351
98,"Erin McMullen, Belmont (MVC)",Fr.,6-1,MB,66,98,17,231,0.351
99,"Caroline Tredwell, UTSA (American)",So.,6-2,MB,85,182,39,408,0.35
100,"Tezra Rudzitis, St. Thomas (MN) (Summit League)",Sr.,5-11,OH,79,264,69,557,0.35
101,"Jada Williams, Morgan St. (MEAC)",Jr.,6-2,MB,80,159,33,360,0.35
102,"Hattie Bray, Marquette (Big East)",Sr.,6-2,MB,84,220,63,449,0.35
103,"Aubrey Goodere, Grand Canyon (Mountain West)",So.,6-3,MB,82,140,29,318,0.349
104,"Brooklyn Conner, Central Mich. (MAC)",Sr.,6-3,MB,69,126,33,267,0.348
104,"Pam McCune, Iowa St. (Big 12)",Jr.,6-0,MB,65,121,28,267,0.348
106,"Bradley Brown, Wofford (SoCon)",So.,6-0,MB,79,182,36,421,0.347
107,"Avry Tatum, Indiana (Big Ten)",Sr.,6-2,OPP,76,254,79,505,0.347
108,"Maeve Bailey, San Francisco (WCC)",Jr.,6-2,MB,51,103,32,205,0.346
109,"Brianna Holladay, Virginia Tech (ACC)",Fr.,6-3,MB,76,129,40,257,0.346
110,"AG Hynes, Eastern Ky. (ASUN)",Sr.,5-11,RS,92,272,67,593,0.346
111,"Dalia Wilson, Miami (FL) (ACC)",Sr.,6-3,MB,75,141,34,310,0.345
112,"Jordyn Williams, Kansas St. (Big 12)",Sr.,6-2,MB,68,106,25,235,0.345
113,"Maryn Bixby, UNI (MVC)",Fr.,6-0,MB,83,156,32,360,0.344
114,"Alex Hatchett, Air Force (Mountain West)",Sr.,5-11,OPP,89,129,24,305,0.344
115,"Regan Haith, Missouri (SEC)",Sr.,6-2,MB,81,131,28,300,0.343
116,"Sydni Schetnan, South Dakota St. (Summit League)",Sr.,6-5,MB,79,148,32,338,0.343
117,"Layla Truitt, Santa Clara (WCC)",Sr.,6-1,OH,87,216,63,446,0.343
118,"Ella Piskorz, Pepperdine (WCC)",So.,6-3,MB,82,177,46,382,0.343
119,"Kylie Nott, FDU (NEC)",Sr.,6-0,OH,91,207,56,441,0.342
120,"Gwen Crull, Ball St. (MAC)",Jr.,6-2,MB,93,174,45,377,0.342
121,"Caroline Noonan, Col. of Charleston (CAA)",Fr.,6-2,MB,92,249,62,547,0.342
122,"Alec Rothe, Florida (SEC)",So.,6-3,MB,84,159,44,338,0.34
123,"Amanda Loschen, South Dakota (Summit League)",Jr.,6-2,MB,92,204,40,483,0.34
124,"Jordan Robertson, Duquesne (Atlantic 10)",Jr.,6-2,MB,62,102,27,221,0.339
125,"Cara Cresse, Louisville (ACC)",Sr.,6-6,MB,79,195,61,395,0.339
126,"Amelia Nott, Morehead St. (OVC)",Jr.,6-1,MB,78,172,36,401,0.339
127,"Grace Heaney, Purdue (Big Ten)",So.,6-2,OPP,86,279,66,630,0.338
128,"Berkley Mischler, Lipscomb (ASUN)",Sr.,6-1,MB,79,233,74,471,0.338
129,"Sarah Holcomb, Wyoming (Mountain West)",Sr.,6-2,MB,90,225,49,522,0.337
130,"A'lanae Margaritha, Little Rock (OVC)",Sr.,6-1,MB,90,201,54,436,0.337
131,"Amber Keen, San Diego St. (Mountain West)",Jr.,6-5,MB,72,127,33,279,0.337
132,"Emily Struckmeyer, Charleston So. (Big South)",Sr.,5-11,MB,90,165,34,389,0.337
133,"Sydney Pierce, Montana (Big Sky)",So.,6-4,MB,85,196,49,439,0.335
134,"Kennedy Louisell, James Madison (Sun Belt)",Jr.,6-0,OH,95,489,118,"1,108",0.335
135,"Brenna Rowland, Colorado St. (Mountain West)",Jr.,6-2,MB,72,122,34,263,0.335
136,"Torrey Stafford, Texas (SEC)",Jr.,6-2,OH,72,316,81,706,0.333
137,"Gabriela Machin, Youngstown St. (Horizon)",Jr.,6-0,RS,97,304,79,676,0.333
138,"Olivia LaBeau, Montana (Big Sky)",Sr.,6-1,MB,77,193,46,442,0.333
139,"Anna Rita, Coastal Carolina (Sun Belt)",Jr.,6-0,MB,84,155,42,340,0.332
140,"Lou Johnson, App State (Sun Belt)",So.,5-10,MB,92,143,39,313,0.332
141,"Anna Hartman, Fla. Atlantic (American)",Jr.,6-3,RS,89,242,63,539,0.332
142,"Olivia Babcock, Pittsburgh (ACC)",Jr.,6-4,RS,83,435,130,921,0.331
143,"Mairen Mannon, Bradley (MVC)",Jr.,6-2,MB,64,133,34,299,0.331
144,"Magda Stambrowska, FIU (CUSA)",Sr.,6-3,MB,67,127,38,269,0.331
