Rk,Team,Conf,NetRtg,ORtg,DRtg
1,Duke,ACC,40.62,128.4,87.8
2,Michigan,B10,39.35,128.6,89.2
3,Arizona,B12,37.34,126.7,89.3
4,Florida,SEC,35.35,126.5,91.1
5,Illinois,B10,32.67,131.7,99
6,Houston,B12,32.49,125,92.6
7,Iowa St.,B12,29.96,122.9,92.9
8,Purdue,B10,29.43,130.5,101.1
9,Michigan St.,B10,28.94,122.8,93.8
10,Gonzaga,WCC,28.41,122.5,94.1
11,Connecticut,BE,28.25,122.6,94.4
12,Nebraska,B10,26.96,119.3,92.4
13,Vanderbilt,SEC,26.47,125.5,99.1
14,Tennessee,SEC,26.13,121.4,95.3
15,Alabama,SEC,26.12,129.6,103.5
16,Louisville,ACC,26.12,125.7,99.6
17,Texas Tech,B12,26.12,126.2,100.1
18,Arkansas,SEC,25.97,127.9,101.9
19,Kansas,B12,25.39,119.5,94.1
20,Virginia,ACC,25.25,121.7,96.5
21,St. John's,BE,24.42,119.7,95.3
22,Saint Mary's,WCC,23.65,120.6,96.9
23,Wisconsin,B10,22.6,125.3,102.7
24,Iowa,B10,22.54,121.9,99.3
25,BYU,B12,22.42,126,103.5
26,Ohio St.,B10,21.68,124.3,102.6
27,Kentucky,SEC,21.45,121.3,99.8
28,UCLA,B10,21.3,123.8,102.5
29,Miami FL,ACC,21.16,121.8,100.6
30,North Carolina,ACC,21.07,121.6,100.5
31,Georgia,SEC,21.06,125.8,104.7
32,Villanova,BE,20.99,121,100
33,Texas,SEC,19.94,126.2,106.3
34,Texas A&M,SEC,19.78,120.6,100.8
35,Utah St.,MWC,19.63,122.9,103.3
36,N.C. State,ACC,19.6,123.2,103.6
37,Santa Clara,WCC,19.35,123.2,103.9
38,Clemson,ACC,18.94,116.2,97.3
39,Auburn,SEC,18.75,125.8,107
40,Saint Louis,A10,18.63,120,101.4
41,Indiana,B10,18.12,121.1,103
42,Cincinnati,B12,17.78,112.4,94.6
43,SMU,ACC,17.49,123.7,106.2
44,TCU,B12,17.44,114.7,97.2
45,VCU,A10,16.88,120.2,103.4
46,Oklahoma,SEC,16.81,123.5,106.7
47,San Diego St.,MWC,16.7,114.8,98.1
48,Baylor,B12,16.25,123.2,107
49,New Mexico,MWC,15.91,117.2,101.3
50,Missouri,SEC,15.51,119.8,104.3
51,South Florida,Amer,15.3,117.7,102.4
52,Seton Hall,BE,15.3,110.4,95.1
53,UCF,B12,15.18,122,106.8
54,Washington,B10,14.98,117.2,102.2
55,Boise St.,MWC,14.37,117.8,103.4
56,Virginia Tech,ACC,14.07,117.3,103.3
57,West Virginia,B12,14.06,111.2,97.2
58,Tulsa,Amer,13.96,122.3,108.3
59,Stanford,ACC,13.71,117.7,104
60,Grand Canyon,MWC,13.55,110.7,97.2
61,Akron,MAC,13.42,120.7,107.3
62,LSU,SEC,13.21,119.6,106.3
63,Arizona St.,B12,13.17,116.6,103.5
64,Colorado,B12,12.63,119.2,106.6
65,Florida St.,ACC,12.5,116.9,104.4
66,Northwestern,B10,12.45,117.2,104.7
67,Belmont,MVC,12.29,120.9,108.6
68,McNeese,Slnd,12.15,115,102.8
69,Oklahoma St.,B12,12.14,118.9,106.8
70,Northern Iowa,MVC,11.79,110.2,98.4
71,California,ACC,11.73,113.6,101.8
72,Minnesota,B10,11.49,115.1,103.6
73,Providence,BE,11.38,121.3,109.9
74,Wake Forest,ACC,11.37,116.8,105.5
75,Creighton,BE,11.36,116.9,105.6
76,Nevada,MWC,11.02,116,105
77,USC,B10,10.84,114.1,103.3
