Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,SOSOppO,SRSOppD,SRSAdjEM
1,Houston,B12,26-3,31.83,121.1,89.3,64,0.034,9.38,111.7,102.3,-1.28
2,Connecticut,BE,26-3,30.43,126.6,96.2,64.7,0.039,7.5,110.9,103.4,-4.33
3,Purdue,B10,26-3,29.66,127,97.3,68,0.051,12.41,114.1,101.7,10.51
4,Arizona,P12,23-6,28.04,123.9,95.8,72.7,-0.03,10.06,112.7,102.6,10.07
5,Tennessee,SEC,23-6,27.85,119.4,91.6,69.9,-0.029,11.26,114.4,103.2,7.82
6,Auburn,SEC,22-7,27.47,120.8,93.3,69.7,-0.081,8.78,112.3,103.5,1.46
7,Duke,ACC,23-6,25.71,122.7,97,67.3,-0.056,7.08,110.5,103.5,-0.46
8,Alabama,SEC,20-9,25.05,127.9,102.9,72.9,-0.027,13.06,114.9,101.8,8.67
9,North Carolina,ACC,23-6,24.03,118,94,70.8,-0.03,10.52,112.9,102.4,6.91
10,Iowa St.,B12,23-6,23.98,114.2,90.2,68,0.016,7.76,110.5,102.8,-7.85
11,Creighton,BE,22-8,23.97,121.3,97.3,67.1,-0.01,10.15,112.7,102.6,5.12
12,Illinois,B10,22-7,23.79,126.7,102.9,70.2,-0.049,9.03,111.1,102.1,-2.24
13,Marquette,BE,22-7,22.98,119.2,96.2,69.9,0.032,10.87,113.1,102.2,7.98
14,Baylor,B12,21-8,22.96,124.1,101.2,65.6,-0.001,12.45,112.8,100.4,2.42
15,Gonzaga,WCC,24-6,21.98,121.5,99.5,69.7,-0.05,1.85,108.5,106.6,7.25
16,BYU,B12,21-8,21.44,121.8,100.4,69.4,-0.024,8.14,110.8,102.6,-5.78
17,Kansas,B12,21-8,20.86,115.6,94.7,69,0.032,12.71,113.5,100.8,4.96
18,Kentucky,SEC,21-8,20.48,123.3,102.8,72.8,-0.033,8.34,111.8,103.5,-0.26
19,San Diego St.,MWC,22-7,20.41,114.7,94.3,66.9,-0.004,9.5,112.6,103.1,10.4
20,Michigan St.,B10,17-12,20.28,115.8,95.5,65.8,-0.1,11.35,114.5,103.1,3.84
21,Wake Forest,ACC,18-11,18.99,118.9,99.9,68.7,-0.099,8.08,110.5,102.4,-2.13
22,Saint Mary's,WCC,24-7,18.99,115,96,62.5,0.01,1.81,108.4,106.6,4.96
23,Wisconsin,B10,18-11,18.85,119.6,100.8,65.1,-0.033,12.43,113.6,101.1,6.29
24,Villanova,BE,17-12,18.62,114.2,95.5,63.8,-0.073,10.35,112.9,102.5,5.68
25,Clemson,ACC,20-9,18.45,118.6,100.1,66.8,-0.03,9.37,112.4,103,5.12
26,Texas,B12,19-10,18.4,117.8,99.4,67.2,-0.013,8.96,111.2,102.3,-3.7
27,Dayton,A10,22-6,18.01,119,101,64.1,0.003,5.37,109.4,104,6.46
28,St. John's,BE,17-12,17.71,116.3,98.6,69.5,-0.068,10.65,113.2,102.5,0.74
29,Colorado,P12,20-9,17.68,118.4,100.7,68.7,0.003,6.71,110.6,103.9,-1.8
30,Mississippi St.,SEC,19-10,17.64,113.7,96.1,67.7,-0.019,9.48,112.8,103.4,0.41
31,Florida,SEC,20-9,17.61,120,102.4,71.1,-0.017,8.8,111.7,102.9,1.62
32,TCU,B12,19-10,17.52,116,98.5,70,-0.051,8.34,111,102.7,-8.32
33,Texas Tech,B12,20-9,17.25,119.1,101.9,66.7,0.024,8.54,110.9,102.4,-2.97
34,Nebraska,B10,21-9,17.22,115.4,98.2,68.6,0.023,7.96,111.1,103.1,-6.01
35,Boise St.,MWC,21-8,17.21,115.7,98.5,67,0.021,7.59,110.9,103.3,7.43
36,Colorado St.,MWC,21-9,17.02,115.5,98.5,66.2,-0.042,8.59,112.7,104.1,5.27
37,Oklahoma,B12,19-10,16.91,115.2,98.3,67.1,-0.02,8.78,110.6,101.8,-6.05
38,New Mexico,MWC,21-8,16.87,116.4,99.5,73.6,-0.018,5.47,109.9,104.5,-0.76
39,Washington St.,P12,23-7,16.67,115.4,98.8,65.2,0.047,5.98,110.3,104.3,-5.58
40,Florida Atlantic,Amer,22-7,16.64,119.4,102.7,67.9,-0.015,4.31,109.8,105.5,6.21
,,,,,,NCSOS,,,,,,
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,,,
41,Nevada,MWC,24-6,16.03,115.4,99.4,66.9,0.068,3.91,109.6,105.7,-1.8
42,Utah St.,MWC,24-5,15.45,115.1,99.7,69.1,0.096,5.3,109.8,104.5,1.41
43,South Carolina,SEC,24-5,15.43,115.1,99.7,63.3,0.149,5.18,110.2,105,-6.38
44,Pittsburgh,ACC,19-10,15.41,115.6,100.2,66,-0.001,6.51,110.6,104.1,-6.53
45,Indiana St.,MVC,26-5,15.35,118.2,102.8,71,0.053,0.59,107.7,107.1,-4.86
46,Northwestern,B10,20-9,15.35,117.7,102.3,64.3,0.035,8.5,112,103.5,-7.6
47,Cincinnati,B12,17-12,15.31,112.9,97.6,67.7,-0.075,8.29,110.7,102.4,-4.39
48,Utah,P12,18-11,15.25,115.5,100.3,69.5,0.001,9.57,112.2,102.6,5.34
49,Iowa,B10,18-12,15.07,121.5,106.4,71.6,-0.007,10.63,113,102.3,-1.78
50,Maryland,B10,15-15,14.01,108,94,65.5,-0.125,8.76,112.2,103.5,-5.42
51,Xavier,BE,15-14,13.97,114.4,100.4,71.1,-0.049,10.57,112.8,102.3,4.02
52,Virginia Tech,ACC,16-13,13.93,116.4,102.5,67.8,-0.043,9.73,111.6,101.8,2.99
53,Ohio St.,B10,18-12,13.86,115.8,101.9,65.7,-0.02,8.83,112,103.1,-2.19
54,Texas A&M,SEC,16-13,13.78,114.6,100.8,65.7,-0.036,10.2,112.6,102.4,4.75
55,Drake,MVC,25-6,13.74,116.1,102.4,68.3,0.055,1.38,108,106.6,-2.18
56,SMU,Amer,19-10,13.72,113.9,100.2,67.8,-0.086,2.76,108.7,105.9,0.29
57,Grand Canyon,WAC,26-4,12.77,114.1,101.3,68.2,0.023,-2.4,104.3,106.7,-1.62
58,Washington,P12,16-14,12.61,116.2,103.6,71.3,-0.084,8.51,111.3,102.8,5.57
59,Providence,BE,18-11,12.57,110,97.4,68.2,0.021,8.34,111.8,103.5,-3.05
60,Seton Hall,BE,18-11,12.55,112.6,100,66.4,0.071,9.81,112.6,102.8,-1.79
61,Minnesota,B10,18-11,12.4,115.4,103,67.1,-0.029,5.81,110.7,104.8,-13.02
62,James Madison,SB,28-3,12.4,113.8,101.4,70.2,0.027,-5.15,103.9,109.1,-6.73
63,Oregon,P12,19-10,12.36,114.5,102.2,68,0.032,7.54,111.2,103.6,-0.4
64,Princeton,Ivy,23-3,12.31,116.8,104.5,64.5,0.051,-0.14,106.5,106.7,2.55
65,UCF,B12,15-13,12.24,106.9,94.6,69,-0.073,7.73,111.2,103.4,-6.11
