Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Precious Achiuwa,PF-C,24,TOT,74,1624,14.6,.545,.207,.239,13.0,20.5,16.7,8.4,1.4,3.9,13.8,15.9,,1.2,2.2,3.4,.102,,-1.7,0.3,-1.4,0.2,achiupr01
1,Precious Achiuwa,C,24,TOR,25,437,15.0,.512,.276,.247,12.3,22.1,17.1,14.5,1.8,2.4,13.3,21.2,,0.0,0.4,0.4,.048,,-1.4,-0.2,-1.6,0.0,achiupr01
1,Precious Achiuwa,PF,24,NYK,49,1187,14.5,.564,.167,.234,13.3,19.9,16.6,6.2,1.3,4.4,14.1,14.0,,1.2,1.8,3.0,.122,,-1.9,0.5,-1.4,0.2,achiupr01
2,Bam Adebayo,C,26,MIA,71,2416,19.8,.576,.041,.381,7.4,27.3,17.3,18.9,1.7,2.7,12.0,24.9,,2.9,4.3,7.2,.144,,0.8,1.7,2.4,2.7,adebaba01
3,Ochai Agbaji,SG,23,TOT,78,1641,7.7,.497,.487,.129,4.9,9.6,7.2,6.6,1.4,2.4,12.3,13.4,,-0.5,0.6,0.1,.002,,-3.5,-0.9,-4.4,-1.0,agbajoc01
3,Ochai Agbaji,SG,23,UTA,51,1003,8.1,.531,.570,.080,3.9,9.9,6.9,6.1,1.3,2.6,11.7,12.2,,0.1,0.3,0.4,.019,,-2.5,-0.5,-3.0,-0.3,agbajoc01
3,Ochai Agbaji,SG,23,TOR,27,638,7.1,.453,.375,.196,6.6,9.0,7.8,7.4,1.5,2.1,13.1,15.4,,-0.6,0.3,-0.3,-0.024,,-5.0,-1.5,-6.5,-0.7,agbajoc01
4,Santi Aldama,PF,23,MEM,61,1618,13.1,.539,.535,.153,4.7,19.7,11.9,13.3,1.3,3.1,10.2,17.9,,0.4,2.0,2.4,.070,,-0.7,0.4,-0.2,0.7,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,82,1921,10.9,.578,.623,.121,2.2,7.5,4.9,14.5,1.6,1.9,11.8,14.8,,1.5,2.8,4.3,.107,,-1.1,1.3,0.2,1.1,alexani01
6,Grayson Allen,SG,28,PHO,75,2513,13.8,.679,.652,.216,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,,4.7,2.2,6.9,.132,,1.1,0.1,1.3,2.0,allengr01
7,Jarrett Allen,C,25,CLE,77,2442,21.8,.664,.007,.383,11.3,25.8,18.7,13.2,1.1,3.0,11.2,19.4,,6.8,3.9,10.7,.210,,2.1,0.9,3.0,3.1,allenja01
8,Timmy Allen,SF,24,MEM,5,125,0.8,.272,.304,.087,3.4,11.8,7.4,5.4,1.6,0.0,7.7,8.9,,-0.2,0.1,-0.1,-0.041,,-10.3,-0.7,-11.1,-0.3,allenti01
9,Jose Alvarado,PG,25,NOP,56,1028,12.5,.540,.600,.151,2.7,11.0,6.9,15.3,2.8,1.4,9.8,17.3,,0.6,1.5,2.1,.097,,-1.5,1.5,-0.1,0.5,alvarjo01
