team,conference,g,ba,ob_pct,r,ab,h,x2b,x3b,tb,hr,rbi,bb,hbp,sf,sh,k,opp_dp,cs,picked,sb,ibb,gdp
A&M-Corpus Christi,Southland,4,0.187,0.286,6,123,23,5,0,31,1,3,13,4,0,2,35,4,1,0,3,1,4
Abilene Christian,WAC,4,0.284,0.413,25,134,38,9,0,50,1,21,23,8,2,4,32,6,3,2,5,0,6
Air Force,Mountain West,5,0.166,0.242,8,145,24,3,1,35,2,7,12,3,1,5,77,1,1,0,4,0,1
Akron,MAC,3,0.296,0.45,38,115,34,8,0,51,3,36,25,9,2,2,34,1,4,0,5,1,1
Alabama,SEC,5,0.398,0.535,67,171,68,13,1,110,9,63,42,12,3,1,43,1,1,0,7,1,0
Alabama A&M,SWAC,4,0.252,0.406,27,123,31,4,2,39,0,20,28,6,3,0,24,6,2,1,12,0,4
Alabama St.,SWAC,5,0.25,0.384,32,156,39,7,1,66,6,29,30,4,0,3,29,6,2,0,2,2,1
Alcorn,SWAC,2,0.278,0.341,12,79,22,5,0,27,0,8,5,3,1,0,21,1,0,1,0,0,1
App State,Sun Belt,4,0.301,0.416,36,146,44,8,0,79,9,35,19,11,2,0,46,4,0,0,3,0,2
Arizona,Big 12,4,0.216,0.343,17,116,25,6,2,47,4,16,19,4,1,1,32,1,2,1,2,1,1
Arizona St.,Big 12,4,0.264,0.405,38,125,33,7,0,58,6,31,22,9,2,1,24,1,3,2,8,0,1
Ark.-Pine Bluff,SWAC,3,0.18,0.229,2,89,16,1,0,17,0,2,4,2,1,0,23,1,2,0,3,0,1
Arkansas,SEC,4,0.314,0.459,34,121,38,12,1,67,5,31,28,6,2,0,28,2,3,1,5,1,2
Arkansas St.,Sun Belt,4,0.174,0.299,10,121,21,3,0,33,3,9,20,2,1,2,26,3,3,1,4,0,3
Army West Point,Patriot,3,0.146,0.3,8,89,13,1,0,14,0,6,16,4,1,4,24,2,1,0,0,0,2
Auburn,SEC,5,0.291,0.391,33,165,48,10,1,75,5,29,23,6,3,3,25,3,2,0,12,3,2
Austin Peay,ASUN,4,0.256,0.338,20,129,33,3,4,62,6,18,13,4,2,2,34,2,0,0,5,0,2
Ball St.,MAC,4,0.223,0.325,22,130,29,4,0,45,4,20,11,9,1,2,36,0,2,0,5,0,0
Baylor,Big 12,4,0.396,0.5,43,139,55,12,2,83,4,39,21,8,0,1,16,6,1,0,4,0,6
Bellarmine,ASUN,3,0.237,0.321,12,97,23,6,1,34,1,8,8,4,0,0,32,2,1,1,3,0,1
Belmont,MVC,4,0.275,0.354,23,142,39,9,0,54,2,21,17,1,1,0,43,4,2,0,7,0,3
Bethune-Cookman,SWAC,4,0.216,0.341,14,116,25,7,1,46,4,13,12,10,0,0,37,4,1,0,4,0,3
Binghamton,America East,3,0.206,0.328,12,97,20,3,0,32,3,11,13,5,1,0,30,3,1,0,0,0,3
Boston College,ACC,2,0.292,0.388,18,72,21,5,0,38,4,14,10,2,1,0,19,2,1,2,12,0,2
Bowling Green,MAC,3,0.265,0.348,19,117,31,6,0,46,3,19,9,6,0,1,28,2,1,1,6,0,2
Bradley,MVC,3,0.216,0.322,13,102,22,2,0,30,2,12,11,5,0,0,27,1,0,1,2,0,0
Bryant,America East,2,0.246,0.324,8,61,15,3,0,24,2,7,4,3,0,0,19,1,1,1,1,0,1
Bucknell,Patriot,3,0.135,0.267,9,89,12,3,1,17,0,9,15,1,0,0,39,1,0,0,0,0,1
Butler,Big East,4,0.269,0.357,27,145,39,7,3,79,9,25,18,3,2,2,43,0,1,0,3,1,0
BYU,Big 12,6,0.264,0.363,41,220,58,16,0,110,12,39,28,7,1,2,72,1,1,0,3,0,1
Cal Poly,Big West,4,0.195,0.282,13,133,26,5,1,36,1,10,14,2,0,3,36,1,0,0,2,0,1
Cal St. Fullerton,Big West,4,0.218,0.309,22,133,29,8,2,44,1,19,13,5,1,1,30,3,0,0,3,0,3
California,ACC,4,0.269,0.384,34,130,35,8,1,60,5,32,20,6,3,0,30,2,1,1,3,0,2
California Baptist,WAC,5,0.345,0.442,44,165,57,17,0,89,5,36,19,11,2,2,31,2,5,1,10,0,2
Campbell,CAA,4,0.206,0.299,10,126,26,4,1,41,3,10,6,11,1,1,48,3,1,0,3,0,3
Central Ark.,ASUN,3,0.26,0.381,15,104,27,6,1,38,1,10,15,6,1,0,33,1,0,0,1,0,1
Central Mich.,MAC,4,0.218,0.314,15,119,26,3,0,32,1,12,12,5,1,0,24,2,2,0,2,0,1
Charleston So.,Big South,4,0.316,0.439,40,133,42,5,1,67,6,36,23,7,1,1,32,0,2,1,8,0,0
Charlotte,The American,3,0.25,0.312,11,100,25,6,1,39,2,11,7,2,0,0,29,1,2,1,1,0,1
Cincinnati,Big 12,3,0.271,0.403,32,118,32,3,2,51,4,30,20,8,3,3,37,1,1,0,10,0,0
Clemson,ACC,3,0.324,0.418,27,102,33,10,0,43,0,25,12,6,2,0,38,1,0,0,2,0,1
Coastal Carolina,Sun Belt,5,0.322,0.444,44,152,49,13,0,83,7,38,20,15,2,3,32,5,1,1,3,0,3
Col. of Charleston,CAA,4,0.364,0.5,46,129,47,12,1,64,1,40,34,5,4,1,19,3,1,0,10,0,2
Coppin St.,NEC,2,0.222,0.395,13,63,14,3,0,23,2,12,15,3,0,1,24,2,1,0,2,0,1
Creighton,Big East,3,0.245,0.362,20,98,24,2,0,32,2,15,13,5,0,0,35,1,1,1,6,0,1
CSU Bakersfield,Big West,4,0.18,0.32,12,122,22,4,0,29,1,10,17,8,0,0,35,2,1,1,4,0,2
CSUN,Big West,4,0.227,0.352,21,132,30,5,0,47,4,20,21,5,1,2,36,5,2,0,2,0,4
Davidson,Atlantic 10,3,0.207,0.363,8,82,17,6,0,26,1,7,17,3,0,0,32,2,1,0,1,1,1
Dayton,Atlantic 10,4,0.254,0.341,20,118,30,8,0,44,2,16,12,5,3,1,19,4,1,1,7,1,3
DBU,CUSA,4,0.319,0.415,32,135,43,17,0,66,2,30,23,2,4,0,36,0,6,0,10,0,0
Delaware,CAA,3,0.158,0.259,5,95,15,3,0,21,1,5,12,1,0,0,41,2,1,1,3,0,2
Delaware St.,NEC,2,0.246,0.366,7,69,17,4,0,21,0,7,10,3,0,0,20,3,1,0,4,0,0
Duke,ACC,4,0.25,0.401,22,136,34,5,1,68,9,21,30,5,1,0,39,6,0,1,2,0,6
East Carolina,The American,4,0.18,0.27,13,122,22,2,0,39,5,10,10,5,0,2,38,2,0,0,4,0,2
Eastern Ill.,OVC,3,0.255,0.374,14,102,26,4,0,33,1,14,14,6,1,1,26,2,1,1,6,0,1
Eastern Ky.,ASUN,4,0.193,0.34,8,114,22,1,1,28,1,7,21,5,1,0,35,4,2,0,1,0,2
Eastern Mich.,MAC,3,0.287,0.347,18,108,31,4,1,55,6,16,9,2,2,0,30,6,1,0,2,0,6
Elon,CAA,4,0.318,0.421,30,132,42,7,1,51,0,27,18,7,2,0,39,3,1,0,5,0,2
