year,team_name,team_id,conference_id,conference,division,player_id,player_url,player_name,Yr,Pos,Jersey,GP,GS,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,RBI2out
2024,Santa Clara,631,922,WCC,1,2810426,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=16580&org_id=631&stats_player_seq=2810426,"Steck, Ben",Sr,C,17,3,3,0.083,0.154,0.083,1,12,1,NA,NA,1,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA
2024,Santa Clara,631,922,WCC,1,2810423,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=16580&org_id=631&stats_player_seq=2810423,"Lewis, Jordan",So,OF,2,3,2,0.6,0.667,0.8,3,10,6,2,NA,8,NA,3,2,NA,NA,NA,3,NA,NA,NA,2,NA
2024,Santa Clara,631,922,WCC,1,2681294,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=16580&org_id=631&stats_player_seq=2681294,"Williams, Malcolm",Jr,INF,8,3,3,0.308,0.357,0.615,3,13,4,1,NA,8,1,3,1,NA,NA,NA,3,1,NA,NA,NA,NA
2024,Santa Clara,631,922,WCC,1,2488893,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=16580&org_id=631&stats_player_seq=2488893,"Manzo, Efrain",Sr,INF,12,3,3,0.5,0.6,1.083,5,12,6,1,NA,13,2,7,NA,3,NA,NA,2,NA,NA,NA,NA,NA
2024,Santa Clara,631,922,WCC,1,2488892,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=16580&org_id=631&stats_player_seq=2488892,"Berring, JonJon",Sr,OF,24,3,3,0.533,0.562,1.467,8,15,8,2,NA,22,4,13,1,NA,NA,NA,2,NA,NA,NA,1,NA
2024,Santa Clara,631,922,WCC,1,2342399,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=16580&org_id=631&stats_player_seq=2342399,"Joyce, Dylan",Sr,UT,26,3,3,0.357,0.357,0.5,3,14,5,2,NA,7,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
2024,Santa Clara,631,922,WCC,1,2332031,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=16580&org_id=631&stats_player_seq=2332031,"O'Hara, Michael",Sr,OF,5,3,3,0.083,0.214,0.167,2,12,1,1,NA,2,NA,NA,1,1,NA,1,3,NA,NA,NA,1,NA
2024,Santa Clara,631,922,WCC,1,2330628,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=16580&org_id=631&stats_player_seq=2330628,"Brigman, Coleman",Sr,OF,3,3,3,0.133,0.188,0.133,1,15,2,NA,NA,2,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA
2024,Santa Clara,631,922,WCC,1,2810424,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=16580&org_id=631&stats_player_seq=2810424,"Ferroggiaro, Thomas",So,INF,7,2,2,0.2,0.429,0.4,1,5,1,1,NA,2,NA,2,NA,2,NA,1,3,NA,1,NA,NA,NA
2024,Santa Clara,631,922,WCC,1,2969133,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=16580&org_id=631&stats_player_seq=2969133,"Schreiber, Sebastian",So,P,40,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
