Team,Conference,G,RunsScored,RunsAllowed
VMI ,SoCon,24,266,166
Tennessee ,SEC,24,255,66
Georgia ,SEC,26,269,129
George Mason ,Atlantic 10,24,243,119
LSU ,SEC,25,245,97
Wake Forest ,ACC,25,243,116
Arkansas ,SEC,25,241,83
Purdue ,Big Ten,23,219,110
Georgia Tech ,ACC,24,228,107
High Point ,Big South,24,225,144
DBU ,CUSA,23,215,119
UC Irvine ,Big West,22,205,116
Alabama ,SEC,25,232,105
Kansas ,Big 12,24,222,112
Rhode Island ,Atlantic 10,23,212,184
Murray St. ,MVC,20,184,120
Kent St. ,MAC,21,193,166
Penn St. ,Big Ten,23,211,150
Richmond ,Atlantic 10,24,219,108
USC Upstate ,Big South,23,207,162
Oregon ,Big Ten,24,214,96
Indiana ,Big Ten,24,212,147
Utah Valley ,WAC,24,212,155
Virginia Tech ,ACC,24,212,111
Florida St. ,ACC,23,203,75
UCF ,Big 12,23,203,87
Charleston So. ,Big South,21,185,158
Southern U. ,SWAC,21,185,184
Austin Peay ,ASUN,25,220,151
Eastern Mich. ,MAC,20,176,172
Rider ,MAAC,19,167,174
Illinois ,Big Ten,21,184,153
Troy ,Sun Belt,24,210,143
Grambling ,SWAC,22,192,249
Quinnipiac ,MAAC,22,192,183
Central Conn. St. ,NEC,14,122,62
Maryland ,Big Ten,24,209,161
ETSU ,SoCon,23,200,101
Miami OH ,MAC,23,200,188
Western Caro. ,SoCon,24,208,220
Georgia St. ,Sun Belt,25,216,165
Iowa ,Big Ten,22,190,84
Louisville ,ACC,23,198,115
UTRGV ,Southland,22,189,90
Western Ky. ,CUSA,24,206,81
Winthrop ,Big South,25,214,179
Columbia ,Ivy League,18,153,191
Jackson St. ,SWAC,23,195,139
Ole Miss ,SEC,23,195,129
UCLA ,Big Ten,23,195,101
West Virginia ,Big 12,22,186,88
Northern Ky. ,Horizon,22,185,170
Abilene Christian ,WAC,24,201,143
NC State ,ACC,24,200,104
Kentucky ,SEC,22,183,95
Kansas St. ,Big 12,23,191,133
Fla. Atlantic ,The American,24,199,103
UTSA ,The American,26,215,129
Bethune-Cookman ,SWAC,24,198,165
Southeastern La. ,Southland,23,189,81
Gardner-Webb ,Big South,25,204,197
Southern Ill. ,MVC,22,179,147
Florida ,SEC,26,211,131
New Mexico ,Mountain West,23,186,195
Clemson ,ACC,26,210,111
FIU ,CUSA,25,201,152
Auburn ,SEC,24,192,113
Baylor ,Big 12,23,184,113
Lamar University ,Southland,26,208,109
William & Mary ,CAA,24,191,270
Duke ,ACC,25,198,150
Bellarmine ,ASUN,23,182,256
App State ,Sun Belt,23,181,188
Col. of Charleston ,CAA,22,173,120
Cornell ,Ivy League,14,110,131
Wofford ,SoCon,25,196,144
Mount St. Mary's ,MAAC,22,172,163
Texas Southern ,SWAC,25,195,236
Houston ,Big 12,23,179,140
Pittsburgh ,ACC,23,179,146
UIW ,Southland,26,202,212
Arizona St. ,Big 12,24,186,123
Tarleton St. ,WAC,25,193,163
Mississippi Val. ,SWAC,14,108,142
Bowling Green ,MAC,23,177,175
Massachusetts ,Atlantic 10,18,138,128
Mississippi St. ,SEC,24,184,97
Samford ,SoCon,24,184,147
Missouri St. ,MVC,22,168,138
Vanderbilt ,SEC,24,182,81
Morehead St. ,OVC,22,166,206
Cal St. Fullerton ,Big West,23,173,150
Nevada ,Mountain West,23,173,151
UT Martin ,OVC,23,173,183
Miami FL ,ACC,25,188,144
New Orleans ,Southland,22,165,171
Oregon St. ,DI Independent,22,165,77
TCU ,Big 12,24,180,136
Oklahoma ,SEC,23,172,103
Wright St. ,Horizon,21,157,144
