rk,player,team,conf,g,cmp,att,cmp_percent,yds,td,td_percent,int,int_percent,y_a,ay_a,y_c,y_g,rate,awards
1,Drew Mestemaker,North Texas,American,14,319,463,68.9,4379,34,7.3,9,1.9,9.5,10.05,13.7,312.8,168.7,
2,Jayden Maiava,USC,Big Ten,13,265,403,65.8,3711,24,6,10,2.5,9.2,9.28,14,285.5,157.8,
3,Nick Minicucci,Delaware,CUSA,13,322,512,62.9,3683,23,4.5,7,1.4,7.2,7.48,11.4,283.3,135.4,
4,Sawyer Robertson,Baylor,Big 12,12,304,504,60.3,3681,31,6.2,12,2.4,7.3,7.46,12.1,306.8,137.2,
5,Darian Mensah,Duke,ACC,13,305,449,67.9,3646,30,6.7,5,1.1,8.1,8.96,12,280.5,156,
6,Caden Veltkamp,Florida Atlantic,American,12,345,515,67,3641,24,4.7,17,3.3,7.1,6.52,10.6,303.4,135.2,
7,Joey Aguilar,Tennessee,SEC,13,272,404,67.3,3565,24,5.9,10,2.5,8.8,8.9,13.1,274.2,156.1,
8,Ty Simpson,Alabama,SEC,14,293,457,64.1,3500,28,6.1,5,1.1,7.7,8.39,11.9,250,146.5,
9,Josh Hoover,Texas Christian,Big 12,12,272,413,65.9,3472,29,7,13,3.1,8.4,8.39,12.8,289.3,153.4,
10,Anthony Colandrea,Nevada-Las Vegas,MWC,14,275,417,65.9,3459,23,5.5,9,2.2,8.3,8.43,12.6,247.1,149.5,
11,Jaron-Keawe Sagapolutele,California,ACC,13,316,492,64.2,3454,18,3.7,9,1.8,7,6.93,10.9,265.7,131.6,
12,Joe Fagnano,Connecticut,Ind,12,285,413,69,3448,28,6.8,1,0.2,8.3,9.6,12.1,287.3,161,
13,Kevin Jennings,SMU,ACC,12,279,422,66.1,3363,26,6.2,10,2.4,8,8.14,12.1,280.3,148.6,
14,Jaylen Raynor,Arkansas State,Sun Belt,13,333,501,66.5,3361,19,3.8,11,2.2,6.7,6.48,10.1,258.5,130.9,
15,Julian Sayin,Ohio State,Big Ten,13,279,356,78.4,3323,31,8.7,6,1.7,9.3,10.32,11.9,255.6,182.1,H-4
16,Katin Houser,East Carolina,American,12,269,408,65.9,3300,19,4.7,6,1.5,8.1,8.36,12.3,275,146.3,
17,Trinidad Chambliss,Ole Miss,SEC,13,241,362,66.6,3298,19,5.2,3,0.8,9.1,9.79,13.7,253.7,158.8,H-8
18,Jacob Clark,Missouri State,CUSA,12,247,376,65.7,3244,28,7.4,11,2.9,8.6,8.8,13.1,270.3,156.9,
19,Diego Pavia,Vanderbilt,SEC,12,242,340,71.2,3192,27,7.9,8,2.4,9.4,9.92,13.2,266,171.5,H-2
20,Carson Beck,Miami (FL),ACC,13,277,372,74.5,3175,26,7,10,2.7,8.5,8.72,11.5,244.2,163.8,
21,Marcel Reed,Texas A&M,SEC,13,234,377,62.1,3169,25,6.6,12,3.2,8.4,8.3,13.5,243.8,148.2,
22,Jake Retzlaff,Tulane,American,14,242,391,61.9,3168,15,3.8,7,1.8,8.1,8.06,13.1,226.3,139,
23,Byrum Brown,South Florida,American,12,226,341,66.3,3158,28,8.2,7,2.1,9.3,9.98,14,263.2,167.1,
24,Athan Kaliakmanis,Rutgers,Big Ten,12,229,368,62.2,3124,20,5.4,7,1.9,8.5,8.72,13.6,260.3,147.7,
25,Micah Alejado,Hawaii,MWC,11,285,430,66.3,3106,24,5.6,9,2.1,7.2,7.4,10.9,282.4,141.2,
26,CJ Bailey,North Carolina State,ACC,13,273,397,68.8,3105,25,6.3,9,2.3,7.8,8.06,11.4,238.8,150.7,
27,Demond Williams Jr.,Washington,Big Ten,13,246,354,69.5,3065,25,7.1,8,2.3,8.7,9.05,12.5,235.8,161,
28,Braylon Braxton,Southern Mississippi,Sun Belt,12,254,400,63.5,3054,24,6,8,2,7.6,7.94,12,254.5,143.4,
29,Brad Jackson,Texas State,Sun Belt,12,234,328,71.3,3050,18,5.5,7,2.1,9.3,9.44,13,254.2,163.3,
30,Walker Eget,San Jose State,MWC,11,232,393,59,3047,17,4.3,9,2.3,7.8,7.59,13.1,277,133.9,
31,Dante Moore,Oregon,Big Ten,13,246,340,72.4,3046,28,8.2,8,2.4,9,9.55,12.4,234.3,170.1,
32,Bear Bachmeier,BYU,Big 12,14,251,387,64.9,3033,15,3.9,7,1.8,7.8,7.8,12.1,216.6,139.9,
33,Luke Altmyer,Illinois,Big Ten,13,246,365,67.4,3007,22,6,5,1.4,8.2,8.83,12.2,231.3,153.8,
34,Chandler Morris,Virginia,ACC,14,282,436,64.7,3000,16,3.7,9,2.1,6.9,6.69,10.6,214.3,130.5,
35,Owen McCown,UTSA,American,13,277,410,67.6,2995,30,7.3,7,1.7,7.3,8,10.8,230.4,149.7,
36,Fernando Mendoza,Indiana,Big Ten,13,226,316,71.5,2980,33,10.4,6,1.9,9.4,10.66,13.2,229.2,181.4,"H-1,Maxwell,AA,Camp"
37,Malik Washington,Maryland,Big Ten,12,273,473,57.7,2963,17,3.6,9,1.9,6.3,6.13,10.9,246.9,118.4,
38,Noah Fifita,Arizona,Big 12,12,247,385,64.2,2963,26,6.8,5,1.3,7.7,8.46,12,246.9,148.5,
39,Haynes King,Georgia Tech,ACC,12,252,361,69.8,2951,14,3.9,6,1.7,8.2,8.2,11.7,245.9,147.9,H-10
