Rk,Player,Team,Conf,G,Rec,ReceivingYds,ReceivingY/R,ReceivingTD,ReceivingY/G,RushingAtt,RushingYds,RushingY/A,RushingTD,RushingY/G,Plays,Yds,Avg,TD,Awards,-9999
1,Danny Scudero,San Jose State,MWC,7,56,870,15.5,8,124.3,0,0,,0,0.0,56,870,15.5,8,,danny-scudero-1
2,Skyler Bell,Connecticut,Ind,8,66,845,12.8,8,105.6,2,-2,-1.0,0,-0.3,68,843,12.4,8,,skyler-bell-1
3,Chase Hendricks,Ohio,MAC,8,57,805,14.1,6,100.6,0,0,,0,0.0,57,805,14.1,6,,chase-hendricks-1
4,KJ Duff,Rutgers,Big Ten,8,42,761,18.1,5,95.1,0,0,,0,0.0,42,761,18.1,5,,kj-duff-1
5,Makai Lemon,USC,Big Ten,7,48,758,15.8,6,108.3,3,-2,-0.7,1,-0.3,51,756,14.8,7,,makai-lemon-1
6,Chris Brazzell II,Tennessee,SEC,8,43,740,17.2,8,92.5,0,0,,0,0.0,43,740,17.2,8,,chris-brazzell-ii-1
7,Eric McAlister,Texas Christian,Big 12,8,37,727,19.6,8,90.9,0,0,,0,0.0,37,727,19.6,8,,eric-mcalister-1
8,Mario Craver,Texas A&M,SEC,8,40,716,17.9,4,89.5,6,65,10.8,1,8.1,46,781,17.0,5,,mario-craver-1
9,Hank Beatty,Illinois,Big Ten,8,45,690,15.3,2,86.3,1,25,25.0,1,3.1,46,715,15.5,3,,beatty-hank-1
10,Ted Hurst,Georgia State,Sun Belt,8,47,689,14.7,5,86.1,0,0,,0,0.0,47,689,14.7,5,,ted-hurst-1
11,Chris Bell,Louisville,ACC,7,48,687,14.3,6,98.1,0,0,,0,0.0,48,687,14.3,6,,chris-bell-2
12,Beau Sparks,Texas State,Sun Belt,7,47,674,14.3,6,96.3,3,23,7.7,0,3.3,50,697,13.9,6,,beau-sparks-1
13,Denzel Boston,Washington,Big Ten,8,44,668,15.2,7,83.5,0,0,,0,0.0,44,668,15.2,7,,denzel-boston-1
14,Braden Pegan,Utah State,MWC,8,39,654,16.8,5,81.8,2,0,0.0,1,0.0,41,654,16.0,6,,braden-pegan-1
15,Cooper Barkate,Duke,ACC,7,39,647,16.6,4,92.4,0,0,,0,0.0,39,647,16.6,4,,cooper-barkate-1
16,O'Mega Blake,Arkansas,SEC,8,48,643,13.4,4,80.4,0,0,,0,0.0,48,643,13.4,4,,omega-blake-1
17,Camden Brown,Georgia Southern,Sun Belt,8,40,642,16.1,9,80.3,0,0,,0,0.0,40,642,16.1,9,,camden-brown-1
18,Devin Voisin,South Alabama,Sun Belt,8,48,642,13.4,4,80.3,0,0,,0,0.0,48,642,13.4,4,,devin-voisin-1
19,Easton Messer,Florida Atlantic,American,8,68,631,9.3,1,78.9,1,4,4.0,0,0.5,69,635,9.2,1,,easton-messer-1
20,Braylon Staley,Tennessee,SEC,8,47,628,13.4,3,78.5,0,0,,0,0.0,47,628,13.4,3,,braylon-staley-1
21,Jordyn Tyson,Arizona State,Big 12,7,57,628,11.0,8,89.7,2,4,2.0,1,0.6,59,632,10.7,9,,jordyn-tyson-1
22,Isaiah Sategna,Oklahoma,SEC,8,43,624,14.5,5,78.0,2,4,2.0,0,0.5,45,628,14.0,5,,isaiah-sategna-1
23,Kamryn Perry,Miami (OH),MAC,8,22,612,27.8,3,76.5,0,0,,0,0.0,22,612,27.8,3,,kamryn-perry-1
24,Brenen Thompson,Mississippi State,SEC,8,35,609,17.4,6,76.1,3,9,3.0,1,1.1,38,618,16.3,7,,brenen-thompson-1
25,Elijah Sarratt,Indiana,Big Ten,8,45,609,13.5,10,76.1,0,0,,0,0.0,45,609,13.5,10,,elijah-sarratt-1
26,Trent Walker,Oregon State,Ind,8,48,609,12.7,0,76.1,0,0,,0,0.0,48,609,12.7,0,,trent-walker-1
27,Junior Vandeross III,Toledo,MAC,8,52,608,11.7,8,76.0,2,5,2.5,0,0.6,54,613,11.4,8,,junior-vandeross-iii-1
28,Jeremiah Smith,Ohio State,Big Ten,7,49,602,12.3,7,86.0,2,20,10.0,1,2.9,51,622,12.2,8,,jeremiah-smith-2
29,Chase Roberts,BYU,Big 12,8,32,591,18.5,4,73.9,0,0,,0,0.0,32,591,18.5,4,,chase-roberts-2
30,Carnell Tate,Ohio State,Big Ten,7,34,587,17.3,6,83.9,2,16,8.0,0,2.3,36,603,16.8,6,,carnell-tate-1
31,Wyatt Young,North Texas,American,8,35,586,16.7,7,73.3,1,11,11.0,1,1.4,36,597,16.6,8,,wyatt-young-2
32,Omar Cooper Jr.,Indiana,Big Ten,8,39,583,14.9,7,72.9,3,74,24.7,1,9.3,42,657,15.6,8,,omar-cooper-jr-1
33,Victor Snow,Buffalo,MAC,8,44,578,13.1,7,72.3,7,45,6.4,1,5.6,51,623,12.2,8,,victor-snow-1
34,Jayce Brown,Kansas State,Big 12,8,36,577,16.0,4,72.1,5,106,21.2,1,13.3,41,683,16.7,5,,jayce-brown-1
35,Josh Cameron,Baylor,Big 12,8,44,576,13.1,4,72.0,0,0,,0,0.0,44,576,13.1,4,,josh-cameron-1
36,Griffin Wilde,Northwestern,Big Ten,8,39,570,14.6,4,71.3,1,5,5.0,0,0.6,40,575,14.4,4,,griffin-wilde-1
37,Jordan Napier,San Diego State,MWC,7,41,567,13.8,2,81.0,9,23,2.6,0,3.3,50,590,11.8,2,,jordan-napier-1
38,Cortez Braham,Memphis,American,8,36,566,15.7,7,70.8,0,0,,0,0.0,36,566,15.7,7,,cortez-braham-1
39,Malachi Toney,Miami (FL),ACC,7,43,562,13.1,3,80.3,3,27,9.0,1,3.9,46,589,12.8,4,,malachi-toney-1
40,Mike Matthews,Tennessee,SEC,8,35,562,16.1,3,70.3,1,12,12.0,0,1.5,36,574,15.9,3,,mike-matthews-4
41,Iverson Hooks,UAB,American,7,41,560,13.7,5,80.0,0,0,,0,0.0,41,560,13.7,5,,iverson-hooks-1
42,Kevin Coleman Jr.,Missouri,SEC,8,51,558,10.9,1,69.8,5,49,9.8,0,6.1,56,607,10.8,1,,kevin-coleman-jr-1
43,Anthony Smith,East Carolina,American,7,34,556,16.4,3,79.4,0,0,,0,0.0,34,556,16.4,3,,anthony-smith-14
44,Chauncy Cobb,Arkansas State,Sun Belt,8,52,555,10.7,0,69.4,0,0,,0,0.0,52,555,10.7,0,,chauncy-cobb-1
45,Emmanuel Henderson,Kansas,Big 12,8,34,554,16.3,4,69.3,2,5,2.5,0,0.6,36,559,15.5,4,,emmanuel-henderson-1
46,Lewis Bond,Boston College,ACC,8,56,547,9.8,1,68.4,4,3,0.8,0,0.4,60,550,9.2,1,,lewis-bond-1
47,Kevin Concepcion,Texas A&M,SEC,8,36,545,15.1,7,68.1,5,47,9.4,0,5.9,41,592,14.4,7,,kevin-concepcion-2
48,Ian Strong,Rutgers,Big Ten,6,37,543,14.7,2,90.5,0,0,,0,0.0,37,543,14.7,2,,ian-strong-1
49,Anthony Evans III,Mississippi State,SEC,8,47,542,11.5,2,67.8,4,23,5.8,0,2.9,51,565,11.1,2,,anthony-evans-iii-1
50,Duce Robinson,Florida State,ACC,7,29,541,18.7,3,77.3,0,0,,0,0.0,29,541,18.7,3,,duce-robinson-1
51,Javen Nicholas,Charlotte,American,8,41,541,13.2,3,67.6,4,28,7.0,0,3.5,45,569,12.6,3,,javen-nicholas-1
52,Tre Brown,Old Dominion,Sun Belt,8,24,540,22.5,4,67.5,0,0,,0,0.0,24,540,22.5,4,,tre-brown-4
53,Bryant Wesco Jr.,Clemson,ACC,7,31,537,17.3,6,76.7,1,4,4.0,0,0.6,32,541,16.9,6,,bryant-wesco-jr-1
54,Amare Thomas,Houston,Big 12,8,30,535,17.8,4,66.9,3,9,3.0,0,1.1,33,544,16.5,4,,amare-thomas-1
55,Jaden Bradley,Nevada-Las Vegas,MWC,7,29,528,18.2,3,75.4,0,0,,0,0.0,29,528,18.2,3,,jaden-bradley-1
56,Germie Bernard,Alabama,SEC,8,38,526,13.8,6,65.8,15,94,6.3,2,11.8,53,620,11.7,8,,germie-bernard-1
57,Michael Trigg,Baylor,Big 12,8,35,525,15.0,5,65.6,0,0,,0,0.0,35,525,15.0,5,,michael-trigg-1
58,Nyziah Hunter,Nebraska,Big Ten,8,33,525,15.9,5,65.6,1,-3,-3.0,0,-0.4,34,522,15.4,5,,nyziah-hunter-1
59,Na'eem Abdul-Rahim Gladding,Old Dominion,Sun Belt,8,38,518,13.6,6,64.8,0,0,,0,0.0,38,518,13.6,6,,naeem-abdul-rahim-gladding-1
60,Ryan Davis,Utah,Big 12,8,48,518,10.8,3,64.8,0,0,,0,0.0,48,518,10.8,3,,ryan-davis-6
61,Parker Kingston,BYU,Big 12,8,34,516,15.2,4,64.5,14,78,5.6,2,9.8,48,594,12.4,6,,parker-kingston-1
62,Romello Brinson,SMU,ACC,8,37,515,13.9,3,64.4,1,4,4.0,0,0.5,38,519,13.7,3,,romello-brinson-1
63,Caleb Douglas,Texas Tech,Big 12,8,33,512,15.5,2,64.0,0,0,,0,0.0,33,512,15.5,2,,caleb-douglas-1
64,Eli Heidenreich,Navy,American,7,25,507,20.3,4,72.4,41,285,7.0,3,40.7,66,792,12.0,7,,eli-heidenreich-1
65,Chris Dawn Jr.,Texas State,Sun Belt,6,25,505,20.2,0,84.2,1,-2,-2.0,0,-0.3,26,503,19.3,0,,chris-dawn-jr-1
66,Ryan Wingo,Texas,SEC,8,29,504,17.4,4,63.0,5,42,8.4,0,5.3,34,546,16.1,4,,ryan-wingo-1
67,Kenny Johnson,Pitt,ACC,8,33,502,15.2,3,62.8,1,9,9.0,0,1.1,34,511,15.0,3,,kenny-johnson-3
68,Johntay Cook II,Syracuse,ACC,8,39,501,12.8,2,62.6,1,18,18.0,0,2.3,40,519,13.0,2,,johntay-cook-ii-1
69,Gabriel Benyard,Kennesaw State,CUSA,7,34,495,14.6,3,70.7,7,64,9.1,1,9.1,41,559,13.6,4,,gabriel-benyard-1
70,Ryan Williams,Alabama,SEC,7,33,495,15.0,3,70.7,1,16,16.0,0,2.3,34,511,15.0,3,,ryan-williams-11
71,Jordan Dwyer,Texas Christian,Big 12,8,35,494,14.1,3,61.8,0,0,,0,0.0,35,494,14.1,3,,jordan-dwyer-1
72,Pofele Ashlock,Hawaii,MWC,8,48,494,10.3,6,61.8,0,0,,0,0.0,48,494,10.3,6,,pofele-ashlock-1
73,Cade Harris,Air Force,MWC,7,23,492,21.4,2,70.3,41,240,5.9,4,34.3,64,732,11.4,6,,cade-harris-1
74,Jacob De Jesus,California,ACC,8,55,492,8.9,3,61.5,2,-12,-6.0,0,-1.5,57,480,8.4,3,,jacob-de-jesus-1
75,Raphael Williams,Pitt,ACC,8,32,488,15.3,5,61.0,1,4,4.0,0,0.5,33,492,14.9,5,,raphael-williams-1
76,Matthew Henry,Western Kentucky,CUSA,8,28,487,17.4,3,60.9,3,-6,-2.0,0,-0.8,31,481,15.5,3,,matthew-henry-1
77,Nik McMillan,Buffalo,MAC,8,34,485,14.3,1,60.6,0,0,,0,0.0,34,485,14.3,1,,nik-mcmillan-1
78,Demarcus Lacey,Marshall,Sun Belt,7,35,484,13.8,4,69.1,11,92,8.4,0,13.1,46,576,12.5,4,,demarcus-lacey-1
79,Kyre Duplessis,Delaware,CUSA,7,34,483,14.2,4,69.0,2,21,10.5,0,3.0,36,504,14.0,4,,kyre-duplessis-1
80,Nick Marsh,Michigan State,Big Ten,8,42,479,11.4,5,59.9,1,6,6.0,0,0.8,43,485,11.3,5,,nick-marsh-3
81,Kyri Shoels,San Jose State,MWC,7,41,478,11.7,2,68.3,0,0,,0,0.0,41,478,11.7,2,,kyri-shoels-1
82,Trell Harris,Virginia,ACC,8,32,477,14.9,4,59.6,0,0,,0,0.0,32,477,14.9,4,,trell-harris-1
83,Chris Barnes,Wake Forest,ACC,7,28,476,17.0,3,68.0,9,51,5.7,0,7.3,37,527,14.2,3,,chris-barnes-7
84,CJ Williams,Stanford,ACC,8,40,476,11.9,2,59.5,0,0,,0,0.0,40,476,11.9,2,,cj-williams-4
85,Josh Meredith,Washington State,Ind,8,35,472,13.5,2,59.0,0,0,,0,0.0,35,472,13.5,2,,josh-meredith-1
86,Jayshon Platt,Florida Atlantic,American,8,31,471,15.2,3,58.9,3,36,12.0,1,4.5,34,507,14.9,4,,jayshon-platt-1
87,Corey Rucker,Arkansas State,Sun Belt,8,40,469,11.7,1,58.6,3,12,4.0,0,1.5,43,481,11.2,1,,corey-rucker-1
88,Terrell Anderson,North Carolina State,ACC,8,26,468,18.0,4,58.5,0,0,,0,0.0,26,468,18.0,4,,terrell-anderson-2
89,Jackson Harris,Hawaii,MWC,7,29,467,16.1,5,66.7,0,0,,0,0.0,29,467,16.1,5,,jackson-harris-3
