athlete_id,athlete_display_name,team_short_display_name,games_played,minutes_played,points,field_goals_attempted,free_throws_attempted,true_shooting_percentage
4067423,Isaiah Jones,South Florida,34,536,152,116,35,0.578386605783866
4396634,Antwann Jones,UNC Greensboro,34,NA,NA,NA,NA,NA
4401637,Cooper Smith,E Michigan,31,NA,NA,NA,NA,NA
4431815,Gianni Hunt,E Texas A&M,32,990,346,271,123,0.532111220472441
4431930,Tyler Cochran,Rhode Island,32,990,492,375,159,0.5528586839266452
4431995,Tariq Ingraham,Memphis,32,NA,NA,NA,NA,NA
4432175,Adam Miller,Gonzaga,35,677,254,221,36,0.5362269886843438
4432182,Cam'Ron Fletcher,High Point,36,NA,NA,NA,NA,NA
4432196,Jayden Stone,Missouri,33,NA,NA,NA,NA,NA
4432198,Dominick Harris,Loyola Chicago,33,NA,NA,NA,NA,NA
4432201,Isaiah Cottrell,Southern Utah,32,815,281,235,99,0.5043796668581275
4432204,Noah Collier,La Salle,32,NA,NA,NA,NA,NA
4432243,Tramon Mark,Texas,36,1019,503,388,111,0.5757256661477886
4432321,Cameron Sheffield,Duke,38,NA,NA,NA,NA,NA
4432364,Taj Thweatt,Coppin St,31,NA,NA,NA,NA,NA
4432398,Noah Taitz,Utah Valley,34,NA,NA,NA,NA,NA
4432494,Markhi Strickland,N Dakota St,35,850,406,302,95,0.5904595695171612
4432515,Jacob Crews,Missouri,33,682,276,185,59,0.6541524459613196
4432524,Quaran McPherson,UAB,32,NA,NA,NA,NA,NA
4432586,Nate Bittle,Oregon,32,NA,NA,NA,NA,NA
4432589,Johnathan Lawson,Little Rock,32,NA,NA,NA,NA,NA
4432638,Daeshun Ruffin,Jackson St,33,NA,NA,NA,NA,NA
4432692,Casey Simmons,Yale,31,826,327,225,87,0.6210118505013674
4432737,Jaden Bradley,Arizona,39,1198,518,367,188,0.5759139019834564
4432739,Dylan Anderson,Murray St,33,NA,NA,NA,NA,NA
4432741,Dior Johnson,Tarleton St,32,NA,NA,NA,NA,NA
4432749,Sadraque NgaNga,San José St,33,NA,NA,NA,NA,NA
4432858,Matt Van Komen,Marshall,32,NA,NA,NA,NA,NA
4432897,John Hugley IV,Duquesne,33,NA,NA,NA,NA,NA
4432899,Jordan Brinson,CSU Northridge,34,NA,NA,NA,NA,NA
4432926,Dishon Jackson,Pitt,33,NA,NA,NA,NA,NA
4433001,Alex Hemenway,Evansville,32,829,215,207,33,0.4852834958468761
4433038,Liam McChesney,Creighton,34,NA,NA,NA,NA,NA
4433138,Nimari Burnett,Michigan,40,792,329,247,58,0.6036254219873771
4433146,Terren Frank,Campbell,19,NA,NA,NA,NA,NA
