Rank,Name,Team,Yr,Pos,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G,Season
1,Sawyer Robertson,Baylor,SR,QB,2,98,61,62.2,859,8.8,7,0,159.45,49,429.5,2025
2,Darian Mensah,Duke,SO,QB,2,68,50,73.5,723,10.6,5,1,184.16,34,361.5,2025
3,Jayden Maiava,USC,JR,QB,2,42,31,73.8,707,16.8,6,0,262.35,21,353.5,2025
4,Steve Angeli,Syracuse,JR,QB,2,94,57,60.6,690,7.3,3,2,128.57,47,345,2025
5,Katin Houser,ECU,SR,QB,2,79,55,69.6,680,8.6,3,0,154.46,39.5,340,2025
6,John Mateer,Oklahoma,JR,QB,2,71,51,71.8,662,9.3,4,2,163.11,35.5,331,2025
6,AJ Swann,App St,JR,QB,2,80,50,62.5,662,8.3,5,1,150.14,40,331,2025
8,Dylan Lonergan,BC,SO,QB,2,79,60,75.9,658,8.3,8,0,179.33,39.5,329,2025
9,Maverick McIvor,Western Ky,SR,QB,3,120,80,66.7,941,7.8,10,1,158.37,40,313.7,2025
10,Beau Pribula,Missouri,SR,QB,2,67,53,79.1,617,9.2,5,0,181.09,33.5,308.5,2025
11,Maalik Murphy,Oregon St,JR,QB,2,81,52,64.2,615,7.6,4,3,136.87,40.5,307.5,2025
12,Dylan Raiola,Nebraska,SO,QB,2,73,57,78.1,607,8.3,6,0,175.05,36.5,303.5,2025
13,Nick Minicucci,Delaware,JR,QB,2,72,46,63.9,582,8.1,4,1,147.34,36,291,2025
14,Austin Simmons,Miss,SO,QB,2,55,33,60,576,10.5,3,4,151.42,27.5,288,2025
15,Josh Hoover,TCU,JR,QB,1,36,27,75,284,7.9,2,1,154.04,36,284,2025
16,Taylen Green,Arkansas,SR,QB,2,57,41,71.9,561,9.8,10,2,205.48,28.5,280.5,2025
17,Kevin Jennings,SMU,JR,QB,2,52,38,73.1,555,10.7,5,2,186.77,26,277.5,2025
18,Drew Mestemaker,N Texas,FR,QB,2,65,42,64.6,553,8.5,5,0,161.47,32.5,276.5,2025
19,Jalen Kitna,UAB,SR,QB,2,55,40,72.7,551,10,4,2,173.61,27.5,275.5,2025
19,Blake Shapen,Miss St,SR,QB,2,66,45,68.2,551,8.3,4,1,155.27,33,275.5,2025
21,Caden Veltkamp,FAU,JR,QB,2,88,57,64.8,537,6.1,6,4,129.44,44,268.5,2025
22,Joey Aguilar,Tennessee,SR,QB,2,59,39,66.1,535,9.1,5,0,170.24,29.5,267.5,2025
23,Noah Fifita,Arizona,JR,QB,2,45,30,66.7,534,11.9,6,0,210.35,22.5,267,2025
24,Ethan Vasko,Liberty,JR,QB,2,62,38,61.3,532,8.6,5,1,156.75,31,266,2025
24,Maddux Madsen,Boise St,JR,QB,2,72,41,56.9,532,7.4,3,0,132.76,36,266,2025
26,Chandler Morris,Virginia,SR,QB,2,70,49,70,521,7.4,3,1,143.8,35,260.5,2025
27,Eli Holstein,Pittsburgh,SO,QB,2,51,36,70.6,519,10.2,8,2,199.99,25.5,259.5,2025
27,Joe Fagnano,UConn,SR,QB,2,68,42,61.8,519,7.6,3,0,140.44,34,259.5,2025
29,Luke Altmyer,Illinois,SR,QB,2,52,39,75,513,9.9,6,0,195.95,26,256.5,2025
30,Malik Washington,Maryland,FR,QB,2,78,46,59,512,6.6,5,0,135.26,39,256,2025
