Institution,Conference,G,RBI,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO
A&M-Corpus Christi,Southland,48,142,1221,162,290,38,3,394,20,,136,21,4,26,258,57,6,2,,54,14,,351,309
Abilene Christian,WAC,51,211,1305,231,360,75,11,571,38,,155,45,16,16,256,73,12,6,,29,12,,291,403
Akron,MAC,51,195,1412,228,400,58,8,522,16,,137,25,9,20,240,63,10,7,,70,18,,443,300
Alabama,SEC,67,280,1730,307,468,68,3,710,56,1,181,39,22,31,283,50,19,10,,67,12,,416,569
Alabama A&M,SWAC,39,197,1038,227,292,46,15,470,34,,94,39,4,47,201,43,9,5,,51,2,,240,272
Alabama St.,SWAC,50,228,1309,262,399,41,7,529,25,,171,17,19,37,236,64,7,1,,170,13,,343,336
Alcorn,SWAC,49,174,1193,212,302,43,16,425,16,,125,26,12,24,185,26,9,2,,69,20,,347,334
App State,Sun Belt,51,160,1348,173,335,56,6,478,25,,138,14,10,19,240,37,11,,,22,7,,335,419
Arizona,Pac-12,54,339,1428,371,470,65,6,742,65,,184,36,9,15,251,61,21,16,,25,6,,363,323
Arizona St.,Pac-12,48,192,1201,211,316,51,7,558,59,1,148,32,11,18,289,69,14,9,,42,9,,280,311
Ark.-Pine Bluff,SWAC,47,112,1136,145,275,40,7,365,12,,95,27,9,33,231,60,7,3,,39,9,,304,319
Arkansas,SEC,59,318,1525,341,423,73,9,721,69,7,197,51,17,11,313,74,14,11,,26,,,325,449
Army West Point,Patriot,59,184,1475,209,378,57,2,520,27,,130,26,17,50,304,92,21,9,,41,8,,386,413
Auburn,SEC,62,285,1534,323,419,64,8,691,64,6,212,26,13,24,303,76,26,11,,95,14,,364,431
Austin Peay,ASUN,51,182,1357,204,369,58,12,505,18,,94,14,12,18,155,34,20,6,,47,9,,451,351
Ball St.,MAC,53,245,1387,267,406,79,11,633,42,,165,34,23,29,272,67,14,7,,78,19,,340,364
Baylor,Big 12,58,272,1521,305,448,79,6,620,27,4,201,42,20,38,212,50,14,7,,78,12,,451,419
Bellarmine,ASUN,49,67,1139,76,194,28,1,272,16,,111,21,3,24,309,59,10,6,,20,7,,306,333
Belmont,MVC,53,181,1506,205,383,64,4,524,23,,144,36,6,10,298,75,13,2,,82,18,,391,398
Bethune-Cookman,SWAC,50,129,1230,169,294,34,7,363,7,,143,28,10,52,201,47,12,6,,94,10,,457,274
Binghamton,America East,47,200,1241,231,368,68,7,525,25,,149,22,8,18,220,59,15,6,,47,11,,273,366
Boise St.,Mountain West,49,323,1255,336,382,76,6,713,81,5,201,54,15,15,251,72,13,5,,16,5,,241,381
Boston College,ACC,52,143,1371,167,325,50,8,475,28,2,137,27,5,9,259,54,13,8,,46,11,,389,355
Boston U.,Patriot,62,304,1596,341,522,77,35,729,20,,178,47,24,34,186,55,11,5,,73,13,,422,481
Bowling Green,MAC,50,115,1213,133,264,46,10,363,11,,115,13,7,11,260,60,6,5,,16,5,,355,316
Bradley,MVC,55,169,1478,181,366,70,6,535,29,,112,50,5,22,300,74,12,4,,23,4,,391,399
Brown,Ivy League,39,93,982,104,236,48,4,328,12,1,87,13,9,25,168,45,7,3,,32,11,,256,332
Bryant,America East,47,131,1164,140,273,57,6,411,23,1,127,22,11,16,275,66,11,9,,29,9,,253,365
Bucknell,Patriot,46,128,1169,145,289,52,11,381,6,,115,17,9,33,185,38,10,5,,43,16,,362,333
Buffalo,MAC,50,115,1245,129,250,61,2,405,30,,132,32,6,3,364,116,13,6,,26,5,,236,378
Butler,Big East,53,182,1352,197,361,60,9,553,38,,165,20,8,21,231,47,3,1,,45,10,,329,434
BYU,WCC,52,263,1346,281,393,69,10,644,54,2,149,45,10,42,226,50,18,3,,48,14,,406,319
Cal Poly,Big West,42,124,1076,141,263,38,8,329,4,1,129,30,11,22,144,50,10,2,,39,8,,349,308
Cal St. Fullerton,Big West,55,171,1332,192,336,48,10,473,23,,149,29,9,54,259,57,13,5,,60,20,,374,383
California,Pac-12,57,285,1544,309,454,81,6,769,74,,168,50,6,28,253,60,15,11,,53,14,,414,420
California Baptist,WAC,57,197,1490,223,412,75,11,572,21,,125,33,14,32,188,45,21,10,,34,22,,434,445
Campbell,Big South,60,241,1516,267,447,81,22,611,13,1,153,33,17,77,256,66,19,11,,127,18,,446,401
Canisius,MAAC,47,215,1205,235,363,54,5,544,39,1,134,28,12,25,237,59,14,9,,109,20,,284,326
Central Ark.,ASUN,57,231,1474,277,409,74,6,597,34,1,230,20,11,26,218,73,13,7,,74,9,,418,407
Central Conn. St.,NEC,37,119,972,127,240,40,4,384,32,2,75,8,4,20,233,54,5,2,,41,6,,227,268
Central Mich.,MAC,55,193,1432,222,403,77,5,568,26,1,151,38,12,44,281,61,10,1,,21,7,,406,356
Charleston So.,Big South,49,100,1197,117,266,44,0,343,11,,122,13,11,25,241,78,14,5,,66,10,,321,381
Charlotte,CUSA,58,250,1483,283,386,66,5,696,78,5,206,73,12,23,334,88,19,8,,31,10,,273,496
Chattanooga,SoCon,52,192,1409,213,371,62,6,544,33,1,129,27,22,51,252,50,11,6,,58,10,,443,358
Clemson,ACC,61,350,1560,371,488,87,5,822,79,3,227,38,15,18,262,59,23,13,,102,21,,306,489
Cleveland St.,Horizon,47,115,1143,131,257,40,2,343,14,,86,17,9,33,200,44,7,4,,23,6,,358,310
Coastal Carolina,Sun Belt,56,243,1444,267,413,70,5,667,58,1,144,48,15,23,198,51,19,11,1,50,13,,326,508
Col. of Charleston,CAA,51,134,1290,158,310,50,5,430,20,,135,37,4,18,265,72,11,7,,47,11,,290,411
Colgate,Patriot,48,163,1231,177,305,54,6,440,23,,149,30,10,21,203,73,16,10,,36,10,,341,377
Colorado St.,Mountain West,47,233,1343,268,412,76,8,612,36,5,135,30,17,8,190,41,14,5,,38,2,,317,395
Columbia,Ivy League,41,141,1043,148,274,61,5,429,28,,87,26,10,26,169,47,9,4,,32,7,,302,309
Coppin St.,MEAC,44,113,1063,125,228,41,5,306,9,,103,16,6,32,253,73,18,5,,56,7,,245,335
Cornell,Ivy League,42,142,1084,156,254,51,7,421,34,,126,29,8,16,221,74,15,8,,23,10,,231,363
Creighton,Big East,53,233,1410,247,409,76,6,629,44,,163,21,12,37,238,63,10,6,,20,6,,382,381
CSU Bakersfield,Big West,50,91,1131,101,225,35,2,303,13,,76,25,3,13,268,77,16,6,,25,11,,294,334
