Season,Team,Conference,S,Kills,Errors,Total Attacks,Hit Pct,Kills Per Set,Assists,Assists Per Set,Digs,Digs Per Set,Aces,Aces Per Set,Block Solos,Block Assists,Blocks Per Set
2018,A&M-Corpus Christi,Southland,111,1365,616,3968,0.189,12.3,1275,11.5,1671,15.1,131,1.2,19,229,1.2
2018,Abilene Christian,Southland,118,1428,622,4293,0.188,12.1,1319,11.2,1808,15.3,130,1.1,30,490,2.3
2018,Air Force,Mountain West,128,1627,721,4455,0.203,12.7,1547,12.1,1895,14.8,182,1.4,46,418,2
2018,Akron,MAC,103,1280,549,3650,0.2,12.4,1191,11.6,1449,14.1,145,1.4,23,266,1.5
2018,Alabama,SEC,116,1504,588,4192,0.219,13,1403,12.1,1864,16.1,148,1.3,84,365,2.3
2018,Alabama A&M,SWAC,129,1521,608,4020,0.227,11.8,1415,11,1777,13.8,173,1.3,70,327,1.8
2018,Alabama St.,SWAC,142,1619,830,4437,0.178,11.4,1488,10.5,1791,12.6,210,1.5,90,356,1.9
2018,Albany (NY),America East,102,1202,529,3566,0.189,11.8,1119,11,1648,16.2,123,1.2,51,314,2
2018,Alcorn,SWAC,110,1119,643,3442,0.138,10.2,1028,9.3,1332,12.1,218,2,41,199,1.3
2018,American,Patriot,121,1533,517,4054,0.251,12.7,1423,11.8,1807,14.9,134,1.1,63,498,2.6
2018,App State,Sun Belt,112,1547,638,4187,0.217,13.8,1440,12.9,1743,15.6,166,1.5,71,260,1.8
2018,Arizona,Pac-12,125,1733,665,4508,0.237,13.9,1584,12.7,1919,15.4,131,1,70,388,2.1
2018,Arizona St.,Pac-12,113,1405,627,4048,0.192,12.4,1326,11.7,1826,16.2,130,1.2,94,241,1.9
2018,Ark.-Pine Bluff,SWAC,99,992,538,3388,0.134,10,917,9.3,1359,13.7,137,1.4,46,250,1.7
2018,Arkansas,SEC,103,1344,554,3768,0.21,13,1269,12.3,1497,14.5,127,1.2,28,313,1.8
