season,team,conference,name,number,class,position,height,hometown,high_school,minutes,gp,gs,goals,assists,points,sh_att,so_g,fouls,red_cards,yellow_cards,corners,pk,pk_att,gwg
2024,St. Thomas (MN),Summit League,Sydney Kubes,5,Jr.,D,-,,,905:30,15,11,0,0,0,6,2,4,0,1,0,0,0,0
2024,St. Thomas (MN),Summit League,Bella Meier,9,So.,M,-,,,15:15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,St. Thomas (MN),Summit League,Olivia Rowe,31,Sr.,GK,-,,,1114:33,13,12,0,0,0,0,0,0,0,0,0,0,0,0
2024,St. Thomas (MN),Summit League,CJ Fredkove,17,Jr.,M,-,,,522:35,12,5,0,1,1,13,4,4,0,0,0,0,0,0
2024,St. Thomas (MN),Summit League,McKenna Lehman,21,Jr.,FM,-,,,207:24,10,0,1,0,2,5,2,0,0,0,0,0,0,0
2024,St. Thomas (MN),Summit League,Emma Fournier,10,Sr.,FM,-,,,16:37,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,St. Thomas (MN),Summit League,Ella Bryant,7,Jr.,FM,-,,,229:53,9,2,0,0,0,1,1,1,0,0,0,0,0,0
2024,St. Thomas (MN),Summit League,Molly Knoblauch,24,Jr.,FM,-,,,828:43,17,10,0,3,3,4,1,8,0,2,0,0,0,0
2024,St. Thomas (MN),Summit League,Sofia Caballero,8,Sr.,M,-,,,872:57,17,9,0,2,2,14,5,3,0,1,0,0,0,0
2024,St. Thomas (MN),Summit League,Tatum Trettel,28,So.,F,-,,,713:06,16,6,3,1,7,21,10,9,0,2,0,0,0,0
2024,St. Thomas (MN),Summit League,Ellie Tempero,22,Sr.,M,-,,,1319:37,17,15,1,0,2,5,3,11,0,1,0,0,0,0
2024,St. Thomas (MN),Summit League,Annie Bantner,1,Sr.,GK,-,,,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,St. Thomas (MN),Summit League,Karlie Greenthal,12,So.,D,-,,,97:55,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,St. Thomas (MN),Summit League,Camryn Rintoul,25,Sr.,MD,-,,,788:18,16,14,1,1,3,17,8,5,0,0,0,0,0,0
