season,team,conference,goals,assists,points,sh_att,so_g,fouls,red_cards,yellow_cards,corners,pk,pk_att,gwg,opponent_goals,opponent_assists,opponent_points,opponent_sh_att,opponent_so_g,opponent_fouls,opponent_red_cards,opponent_yellow_cards,opponent_corners,opponent_pk,opponent_pk_att,opponent_gwg
2024,St. Thomas (MN),Summit League,19,15,53,221,100,144,1,12,71,1,2,5,26,23,75,188,102,158,NA,12,91,3,4,9
2024,Utah Tech,WAC,23,19,65,175,84,136,NA,10,57,2,2,5,24,25,73,272,120,157,NA,8,89,1,2,7
2024,Abilene Christian,WAC,12,9,33,214,96,141,NA,6,89,NA,1,2,27,31,85,242,119,136,NA,18,82,NA,NA,7
2024,Akron,MAC,10,12,32,164,65,140,NA,6,76,1,1,5,18,16,52,247,114,177,NA,15,81,1,1,9
2024,Alabama A&M,SWAC,23,14,60,200,118,124,NA,16,65,NA,NA,7,33,24,90,252,138,110,NA,11,117,3,3,11
2024,Alabama St.,SWAC,20,14,54,157,83,118,NA,14,67,NA,NA,4,33,28,94,256,125,120,NA,7,77,1,2,8
2024,Alabama,SEC,43,37,123,347,140,224,NA,25,115,6,6,10,30,24,84,227,100,198,1,27,73,3,4,6
2024,UAB,The American,18,12,48,135,68,144,NA,12,60,3,3,7,21,27,69,223,99,177,1,18,79,2,2,5
2024,UAlbany,America East,12,13,37,129,53,100,NA,8,43,1,1,3,37,32,106,380,179,141,1,16,147,1,3,12
2024,American,Patriot,20,14,54,215,92,130,NA,13,59,2,3,6,23,20,66,183,80,142,NA,9,69,1,2,6
2024,App State,Sun Belt,27,23,77,230,91,185,1,25,77,NA,2,7,29,29,87,216,97,195,2,15,100,2,3,7
2024,Arizona St.,Big 12,32,32,96,246,109,141,1,14,86,3,3,8,27,31,85,232,103,142,NA,16,103,1,1,8
2024,Arizona,Big 12,32,27,91,203,96,169,1,8,81,3,4,11,17,13,47,173,83,155,NA,14,88,NA,NA,6
2024,Arkansas St.,Sun Belt,13,11,37,163,58,154,NA,11,76,1,2,4,15,6,36,231,103,126,NA,19,71,3,3,6
2024,Arkansas,SEC,71,77,219,434,242,259,2,23,182,2,3,16,14,9,37,193,86,208,NA,23,66,NA,1,2
2024,Little Rock,OVC,17,19,53,206,98,140,2,16,93,NA,NA,7,17,17,51,253,118,140,NA,15,104,NA,NA,7
2024,Auburn,SEC,54,56,164,333,155,185,NA,7,131,2,2,13,18,17,53,156,55,235,1,29,49,1,1,4
2024,Austin Peay,ASUN,25,18,68,227,104,206,NA,7,116,2,3,7,24,16,64,253,114,164,1,14,82,2,3,6
2024,Ball St.,MAC,32,39,103,237,110,148,NA,12,83,1,1,7,26,28,80,211,91,169,NA,7,65,1,1,8
2024,Charleston So.,Big South,24,19,67,167,91,96,1,11,71,4,4,5,29,21,79,197,92,121,1,7,61,3,4,7
2024,Baylor,Big 12,29,22,80,268,106,147,NA,17,94,NA,NA,8,25,25,75,348,139,201,1,15,112,3,3,8
2024,Binghamton,America East,30,26,86,215,102,196,1,19,79,1,1,7,26,18,70,211,85,165,NA,18,61,3,5,6
2024,Boise St.,Mountain West,40,31,111,372,152,265,NA,33,136,3,3,16,19,17,55,235,92,193,1,17,91,3,3,4
2024,Boston College,ACC,38,38,114,250,116,181,NA,16,133,1,3,12,22,19,63,264,108,162,2,14,107,NA,5,5
2024,Boston U.(),Patriot,30,27,87,241,114,197,NA,13,115,1,1,6,31,25,87,231,115,215,NA,17,93,1,2,8
2024,Bowling Green,MAC,21,23,65,187,87,158,NA,11,79,1,2,7,22,18,62,171,82,170,NA,12,62,1,1,7
2024,BYU,Big 12,35,23,93,311,147,193,NA,14,148,1,1,9,28,26,82,254,103,217,2,22,111,3,5,7
2024,Brown,Ivy League,21,17,59,199,90,200,NA,9,100,2,2,7,21,25,67,143,79,131,NA,13,74,1,1,5
2024,Bryant,America East,23,19,65,268,115,99,NA,6,90,NA,1,5,25,23,73,316,130,114,NA,8,115,NA,NA,9
2024,Bucknell,Patriot,28,27,83,282,122,172,NA,8,77,1,2,12,15,16,46,183,77,156,NA,13,61,NA,1,4
2024,Buffalo,MAC,27,22,76,266,118,163,NA,8,92,3,3,11,14,16,44,194,92,165,1,10,59,2,2,2
2024,Butler,Big East,32,37,101,288,133,144,NA,11,101,1,2,10,20,17,57,187,91,200,NA,19,62,1,2,4
2024,Cal Poly,Big West,22,18,62,271,126,201,NA,10,90,6,6,5,28,27,83,226,110,175,NA,18,83,2,2,11
2024,CSU Bakersfield,Big West,29,27,85,241,104,250,1,35,111,1,2,8,33,22,88,330,151,213,NA,25,117,3,3,10
2024,Fresno St.,Mountain West,19,19,57,209,90,184,3,31,104,2,3,7,29,23,81,206,102,172,NA,16,79,1,1,9
2024,Cal St. Fullerton,Big West,23,24,70,267,107,248,1,20,134,2,3,6,22,19,63,263,121,174,NA,18,89,NA,NA,10
2024,Long Beach St.,Big West,20,19,59,183,85,162,NA,19,73,3,3,6,27,25,79,218,102,220,1,24,79,2,2,9
2024,CSUN,Big West,15,13,43,198,87,202,1,22,66,2,3,5,28,30,86,289,131,217,NA,16,92,1,1,11
2024,Sacramento St.(),Big Sky,19,18,56,232,93,205,1,23,80,NA,NA,5,28,26,82,345,137,183,NA,11,83,5,6,7
2024,UC Santa Barbara(),Big West,27,27,81,322,130,181,NA,11,107,3,4,8,25,17,67,275,109,185,NA,10,111,2,2,6
2024,California,ACC,45,33,123,258,127,189,NA,20,116,1,3,13,31,24,86,227,118,200,1,32,98,4,5,6
2024,UC Davis,Big West,41,40,122,258,125,211,1,15,92,1,1,13,24,15,63,260,125,200,1,16,79,2,2,5
2024,UC Irvine,Big West,19,17,55,192,89,176,NA,24,84,NA,NA,6,21,21,63,184,76,213,3,24,66,1,3,7
2024,UCLA(),Big Ten,34,25,93,376,166,224,NA,24,157,4,4,17,10,11,31,144,56,213,1,25,57,1,1,4
2024,UC Riverside,Big West,9,3,21,129,66,192,2,29,31,1,2,2,34,29,97,324,143,178,1,10,111,5,6,13
2024,Campbell,CAA,25,15,65,142,58,168,NA,12,58,3,3,6,27,23,77,297,113,111,1,11,114,1,1,9
2024,Canisius,MAAC,38,37,113,303,128,179,NA,15,90,5,5,12,14,14,42,122,54,181,1,22,39,NA,NA,4
2024,Central Conn. St.,NEC,21,24,66,181,89,145,1,13,73,1,1,5,26,21,73,222,94,154,NA,23,86,NA,NA,10
2024,UCF,Big 12,23,27,73,188,91,138,NA,21,60,1,2,3,23,19,65,229,109,129,NA,24,76,1,3,6
2024,Central Mich.,MAC,20,11,51,163,75,178,NA,13,65,NA,NA,5,24,23,71,252,123,172,NA,12,85,3,4,8
2024,Chicago St.,NEC,11,7,29,129,58,174,1,23,44,1,2,1,42,30,114,192,89,145,2,12,86,6,7,13
2024,Northeastern,CAA,18,20,56,196,91,190,1,22,67,NA,1,2,32,26,90,235,113,144,1,9,102,2,2,9
2024,Northern Ariz.,Big Sky,16,17,49,233,95,131,NA,4,63,3,3,4,22,17,61,248,132,134,NA,12,77,1,2,7
2024,Northern Colo.,Big Sky,12,8,32,172,85,157,NA,13,67,NA,1,4,34,31,99,236,121,134,NA,14,101,2,2,14
2024,NIU,MAC,29,27,85,226,118,195,NA,21,78,1,2,9,22,20,64,174,88,220,1,23,77,2,4,5
2024,UNI,MVC,37,24,98,284,120,143,NA,8,79,1,1,9,26,25,77,182,87,185,NA,12,77,NA,2,6
2024,Northern Ky.,Horizon,31,30,92,281,135,177,NA,13,114,2,2,12,25,20,70,214,88,190,NA,11,73,2,4,7
