URL,Institution,Conference,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,Saves,Shutouts,Combined Sho,G Wins,G Loss,DSaves,Corners,PK,PK Att,GWG
http://stats.ncaa.org/team/26172/15780,A&M-Corpus Christi,Southland,19,17,18,210,109,150,,10,,,,1750:00:00,27,111,5,,,,,67,3,3,6
http://stats.ncaa.org/team/2/15780,Abilene Christian,WAC,16,20,18,243,94,121,1,10,,,,1489:09:00,26,79,2,,,,,82,1,2,6
http://stats.ncaa.org/team/721/15780,Air Force,Mountain West,18,18,12,202,84,161,,17,,,,1700:22:00,26,73,4,,,,,63,,,6
http://stats.ncaa.org/team/5/15780,Akron,MAC,19,12,9,179,77,155,,8,,,,1730:00:00,37,98,3,,,,,54,1,1,3
http://stats.ncaa.org/team/8/15780,Alabama,SEC,22,29,26,311,132,219,,26,,,,2020:46:00,34,76,7,1,,,,143,1,1,11
http://stats.ncaa.org/team/6/15780,Alabama A&M,SWAC,19,29,18,160,101,129,,15,,,,1743:53:00,34,147,9,,,,1,63,2,3,10
http://stats.ncaa.org/team/7/15780,Alabama St.,SWAC,19,23,16,250,121,136,,10,,,,1792:13:00,29,116,5,,,,,67,3,5,7
http://stats.ncaa.org/team/14/15780,Albany (NY),America East,18,22,10,279,125,227,1,11,,,,1708:18:00,24,95,5,,,,,89,2,2,6
http://stats.ncaa.org/team/17/15780,Alcorn,SWAC,17,16,3,134,85,122,,7,,,,1549:35:00,88,126,1,,,,,40,1,2,2
http://stats.ncaa.org/team/23/15780,American,Patriot,16,15,19,148,73,142,,5,,,,1480:00:00,24,74,3,,,,,53,,,5
http://stats.ncaa.org/team/27/15780,App State,Sun Belt,19,21,20,168,79,141,1,11,,,,1731:00:00,26,118,3,,,,,89,1,1,7
http://stats.ncaa.org/team/29/15780,Arizona,Pac-12,18,15,11,178,80,158,,8,,,,1629:43:00,34,103,1,,,,,61,1,2,5
http://stats.ncaa.org/team/28/15780,Arizona St.,Pac-12,20,42,40,300,146,147,1,13,,,,1866:32:00,33,84,3,,,,,112,6,7,10
http://stats.ncaa.org/team/2678/15780,Ark.-Pine Bluff,SWAC,20,41,24,276,149,117,1,15,,,,1798:34:00,59,116,6,,,,1,67,2,2,6
http://stats.ncaa.org/team/31/15780,Arkansas,SEC,24,71,73,494,237,273,,31,,,,2195:16:00,24,74,9,1,,,,175,1,1,19
http://stats.ncaa.org/team/30/15780,Arkansas St.,Sun Belt,18,25,28,249,108,178,,13,,,,1695:19:00,19,96,5,,,,,78,,1,10
http://stats.ncaa.org/team/725/15780,Army West Point,Patriot,19,24,21,229,93,153,,1,,,,1783:26:00,26,77,2,,,,,104,1,1,7
http://stats.ncaa.org/team/37/15780,Auburn,SEC,20,37,44,306,120,162,,11,,,,1832:38:00,24,59,7,,,,,107,2,2,12
http://stats.ncaa.org/team/43/15780,Austin Peay,OVC,17,12,9,132,58,129,,3,,,,1594:36:00,26,92,3,,,,,48,,1,4
http://stats.ncaa.org/team/47/15780,Ball St.,MAC,17,22,16,229,118,152,2,13,,,,1570:00:00,26,68,4,,,,,86,3,3,6
http://stats.ncaa.org/team/51/15780,Baylor,Big 12,19,25,22,294,130,209,,20,,,,1798:40:00,16,71,8,1,,,,81,1,3,8
http://stats.ncaa.org/team/52/15780,Bellarmine,ASUN,19,15,14,185,77,155,,5,,,,1892:50:00,22,98,5,,,,,94,2,2,4
