URL,Institution,Conference,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,Saves,Combined Sho,Shutouts,G Wins,G Loss,DSaves,G Ties,Corners,PK,PK Att,GWG
http://stats.ncaa.org/team/26172/16462,A&M-Corpus Christi,Southland,19,26,24,226,126,189,,17,,,,1730:00:00,27,91,,5,,,,,95,,,7
http://stats.ncaa.org/team/2/16462,Abilene Christian,WAC,18,29,20,205,98,154,,12,,,,1620:00:00,29,63,5,7,,,,,83,,,7
http://stats.ncaa.org/team/721/16462,Air Force,Mountain West,18,20,13,296,127,147,,7,,,,1620:00:00,25,85,,3,,,,,80,1,2,6
http://stats.ncaa.org/team/5/16462,Akron,MAC,18,11,7,192,85,154,,9,,,,1620:00:00,33,77,,2,,,,,58,1,1,3
http://stats.ncaa.org/team/8/16462,Alabama,SEC,22,32,26,304,135,224,,24,,,,2000:00:00,22,70,,8,,,,,107,1,1,12
http://stats.ncaa.org/team/6/16462,Alabama A&M,SWAC,19,18,7,189,103,124,,15,,,,1709:23:00,46,111,,1,,,,,57,1,1,3
http://stats.ncaa.org/team/7/16462,Alabama St.,SWAC,17,20,15,168,92,131,,11,,,,1530:00:00,49,153,,1,,,,,40,2,6,2
http://stats.ncaa.org/team/17/16462,Alcorn,SWAC,16,23,18,129,80,79,,14,,,,1440:00:00,39,152,,3,,,,,26,1,16,4
http://stats.ncaa.org/team/23/16462,American,Patriot,16,11,10,168,65,147,,9,,,,1440:00:00,28,64,,5,,,,,47,,,3
http://stats.ncaa.org/team/27/16462,App State,Sun Belt,18,24,23,248,116,161,1,17,,,,1640:00:00,16,65,,8,,,,,79,1,1,9
http://stats.ncaa.org/team/29/16462,Arizona,Pac-12,19,25,12,203,95,167,,17,,,,1710:00:00,28,79,1,5,,,,,69,1,1,6
http://stats.ncaa.org/team/28/16462,Arizona St.,Pac-12,21,30,31,224,100,148,,12,,,,1890:00:00,20,84,,9,,,,,92,1,1,10
http://stats.ncaa.org/team/2678/16462,Ark.-Pine Bluff,SWAC,21,49,18,279,172,139,,20,,,,1890:00:00,36,138,2,7,,,,,72,1,12,9
http://stats.ncaa.org/team/31/16462,Arkansas,SEC,22,58,53,392,171,273,,27,,,,1980:00:00,21,75,2,10,,,,,181,3,3,15
http://stats.ncaa.org/team/30/16462,Arkansas St.,Sun Belt,16,17,18,174,75,156,2,10,,,,1440:00:00,29,98,,3,,,,,56,2,2,4
http://stats.ncaa.org/team/725/16462,Army West Point,Patriot,20,29,26,281,122,169,1,9,,,,1820:00:00,18,76,,9,,,,,65,5,5,10
http://stats.ncaa.org/team/37/16462,Auburn,SEC,20,26,25,221,105,165,,7,,,,1800:00:00,22,67,2,7,,,,,73,,,8
http://stats.ncaa.org/team/43/16462,Austin Peay,ASUN,21,19,17,210,102,209,,7,,,,1910:00:00,37,119,,4,,,,,77,,,5
http://stats.ncaa.org/team/47/16462,Ball St.,MAC,19,33,26,207,103,178,,9,,,,1710:00:00,29,117,1,3,,,,,56,,,8
http://stats.ncaa.org/team/51/16462,Baylor,Big 12,19,33,33,248,121,150,,16,,,,1710:00:00,26,91,2,7,,,,,112,,,9
http://stats.ncaa.org/team/52/16462,Bellarmine,ASUN,18,18,11,163,82,142,,14,,,,1620:00:00,26,100,4,4,,,,,40,2,2,4
http://stats.ncaa.org/team/14927/16462,Belmont,MVC,19,12,10,118,60,178,,6,,,,1710:00:00,23,112,,7,,,,,61,1,1,3
http://stats.ncaa.org/team/62/16462,Binghamton,America East,17,24,19,236,98,154,,19,,,,1550:00:00,20,81,1,6,,,,,105,4,4,6
http://stats.ncaa.org/team/66/16462,Boise St.,Mountain West,21,31,27,325,138,245,,24,,,,1910:00:00,22,94,,5,,,,,121,,1,11
http://stats.ncaa.org/team/67/16462,Boston College,ACC,18,18,18,154,76,155,1,10,,,,1620:00:00,32,89,,3,,,,,70,1,2,3
http://stats.ncaa.org/team/68/16462,Boston U.,Patriot,20,31,29,282,133,190,,14,,,,1820:00:00,30,81,,4,,,,,97,3,3,7
http://stats.ncaa.org/team/71/16462,Bowling Green,MAC,18,26,29,245,121,235,,20,,,,1620:00:00,23,80,7,7,,,,,84,1,1,10
http://stats.ncaa.org/team/80/16462,Brown,Ivy League,17,34,37,245,115,187,,12,,,,1550:00:00,13,49,1,8,,,,,97,1,1,12
http://stats.ncaa.org/team/81/16462,Bryant,America East,16,18,11,164,84,101,,4,,,,1440:00:00,14,86,4,8,,,,,61,2,2,7
http://stats.ncaa.org/team/83/16462,Bucknell,Patriot,21,34,41,291,139,179,1,21,,,,1930:00:00,22,140,,9,,,,,67,1,2,12
http://stats.ncaa.org/team/86/16462,Buffalo,MAC,18,24,26,237,118,161,,9,,,,1620:00:00,22,47,1,8,,,,,75,1,2,7
http://stats.ncaa.org/team/87/16462,Butler,Big East,20,31,28,279,110,203,1,19,,,,1800:00:00,31,58,1,5,,,,,77,2,3,6
http://stats.ncaa.org/team/77/16462,BYU,Big 12,26,79,80,545,247,198,1,12,,,,2340:00:00,28,89,2,9,,,,,171,5,6,20
http://stats.ncaa.org/team/90/16462,Cal Poly,Big West,21,30,31,250,125,193,2,8,,,,1890:00:00,24,65,1,4,,,,,89,2,2,10
http://stats.ncaa.org/team/97/16462,Cal St. Fullerton,Big West,20,25,24,297,124,204,,22,,,,1800:00:00,19,96,1,8,,,,,124,3,3,8
http://stats.ncaa.org/team/107/16462,California,Pac-12,19,29,19,177,82,171,,18,,,,1710:00:00,23,91,1,6,,,,,90,2,2,7
http://stats.ncaa.org/team/30135/16462,California Baptist,WAC,19,39,36,292,120,208,,26,,,,1710:00:00,13,68,,8,,,,,108,2,2,11
http://stats.ncaa.org/team/115/16462,Campbell,CAA,17,22,20,158,75,140,1,16,,,,1530:00:00,22,70,,4,,,,,70,1,1,4
http://stats.ncaa.org/team/116/16462,Canisius,MAAC,18,20,21,277,121,203,,19,,,,1620:00:00,13,65,1,10,,,,,93,,,9
http://stats.ncaa.org/team/1004/16462,Central Ark.,ASUN,20,24,19,188,89,184,,21,,,,1800:00:00,30,112,,7,,,,,62,2,2,8
http://stats.ncaa.org/team/127/16462,Central Conn. St.,NEC,20,38,32,289,161,226,,18,,,,1840:00:00,29,85,1,4,,,,,109,4,5,10
http://stats.ncaa.org/team/129/16462,Central Mich.,MAC,16,14,14,195,93,191,1,18,,,,1440:00:00,28,88,,2,,,,,64,,,2
http://stats.ncaa.org/team/48/16462,Charleston So.,Big South,18,30,21,230,115,111,1,10,,,,1614:03:00,17,95,1,7,,,,,75,2,4,9
http://stats.ncaa.org/team/458/16462,Charlotte,AAC,20,29,24,213,104,167,,16,,,,1791:05:00,16,86,,9,,,,,93,,,9
http://stats.ncaa.org/team/693/16462,Chattanooga,SoCon,18,28,27,274,131,150,,7,,,,1640:00:00,23,72,,4,,,,,69,1,1,10
http://stats.ncaa.org/team/136/16462,Chicago St.,DI Independent,16,21,14,89,46,172,,21,,,,1400:00:00,48,90,,1,,,,,25,,,4
http://stats.ncaa.org/team/140/16462,Cincinnati,Big 12,19,17,15,174,81,172,,17,,,,1710:00:00,25,72,,4,,,,,65,1,1,4
http://stats.ncaa.org/team/147/16462,Clemson,ACC,26,56,63,437,218,208,,21,,,,2360:00:00,19,65,,14,,,,,158,3,3,18
http://stats.ncaa.org/team/148/16462,Cleveland St.,Horizon,17,19,16,204,97,168,,14,,,,1530:00:00,26,58,,1,,,,,67,1,2,4
http://stats.ncaa.org/team/149/16462,Coastal Carolina,Sun Belt,17,11,7,104,45,142,1,23,,,,1530:00:00,30,88,,3,,,,,36,2,2,3
http://stats.ncaa.org/team/1014/16462,Col. of Charleston,CAA,17,19,19,233,110,168,,16,,,,1530:00:00,25,78,,3,,,,,62,1,1,2
http://stats.ncaa.org/team/153/16462,Colgate,Patriot,20,15,13,173,69,164,2,6,,,,1800:00:00,28,72,,6,,,,,71,1,1,5
http://stats.ncaa.org/team/157/16462,Colorado,Pac-12,21,37,29,318,134,226,,21,,,,1890:00:00,18,74,,8,,,,,123,4,5,13
http://stats.ncaa.org/team/154/16462,Colorado Col.,Mountain West,18,15,14,183,72,179,1,16,,,,1620:00:00,49,128,,1,,,,,67,1,1,3
http://stats.ncaa.org/team/156/16462,Colorado St.,Mountain West,22,32,26,291,146,198,2,10,,,,2000:00:00,23,78,,10,,,,,151,1,1,12
http://stats.ncaa.org/team/158/16462,Columbia,Ivy League,19,35,29,240,99,179,1,12,,,,1730:00:00,13,64,3,10,,,,,88,,,11
http://stats.ncaa.org/team/167/16462,Cornell,Ivy League,15,21,16,205,94,146,,6,,,,1350:00:00,20,58,1,4,,,,,71,,,4
http://stats.ncaa.org/team/169/16462,Creighton,Big East,18,20,16,212,93,203,,12,,,,1620:00:00,31,77,,4,,,,,81,,1,4
http://stats.ncaa.org/team/94/16462,CSU Bakersfield,Big West,17,14,12,179,87,183,2,20,,,,1530:00:00,37,93,,3,,,,,69,1,2,3
http://stats.ncaa.org/team/101/16462,CSUN,Big West,19,13,13,154,70,198,2,16,,,,1710:00:00,37,108,1,5,,,,,54,1,1,1
http://stats.ncaa.org/team/172/16462,Dartmouth,Ivy League,15,16,16,133,65,149,,6,,,,1350:00:00,13,75,,7,,,,,51,1,1,7
http://stats.ncaa.org/team/173/16462,Davidson,Atlantic 10,17,11,7,186,79,169,,12,,,,1530:00:00,23,67,,4,,,,,82,,2,4
http://stats.ncaa.org/team/175/16462,Dayton,Atlantic 10,20,37,31,349,161,191,,15,,,,1820:00:00,11,88,1,11,,,,,113,3,9,13
http://stats.ncaa.org/team/180/16462,Delaware,CAA,18,22,9,171,81,137,,6,,,,1620:00:00,13,74,2,6,,,,,45,,,5
http://stats.ncaa.org/team/178/16462,Delaware St.,NEC,16,2,1,102,61,115,,9,,,,1440:00:00,54,162,,1,,,,,29,,,
http://stats.ncaa.org/team/183/16462,Denver,Summit League,18,38,39,299,139,172,,17,,,,1640:00:00,22,43,,6,,,,,102,3,5,9
http://stats.ncaa.org/team/176/16462,DePaul,Big East,17,13,8,145,56,172,,13,,,,1530:00:00,21,92,,4,,,,,66,2,2,6
http://stats.ncaa.org/team/184/16462,Detroit Mercy,Horizon,19,32,23,248,122,202,2,22,,,,1710:00:00,31,71,2,4,,,,,83,2,2,7
http://stats.ncaa.org/team/189/16462,Drake,MVC,20,33,34,208,97,242,,44,,,,1800:00:00,18,77,3,8,,,,,68,5,5,13
http://stats.ncaa.org/team/191/16462,Drexel,CAA,18,35,32,271,139,180,1,18,,,,1575:00:00,28,63,4,6,,,,,96,2,2,7
http://stats.ncaa.org/team/193/16462,Duke,ACC,16,15,17,198,68,124,,5,,,,1440:00:00,20,49,,6,,,,,61,1,2,6
http://stats.ncaa.org/team/194/16462,Duquesne,Atlantic 10,20,25,22,231,104,248,1,20,,,,1800:00:00,30,101,,9,,,,,77,2,2,8
http://stats.ncaa.org/team/196/16462,East Carolina,AAC,19,26,22,225,93,153,,20,,,,1710:00:00,20,61,1,9,,,,,109,2,3,9
http://stats.ncaa.org/team/201/16462,Eastern Ill.,OVC,17,17,10,131,64,139,1,11,,,,1550:00:00,23,97,,4,,,,,44,3,3,4
http://stats.ncaa.org/team/202/16462,Eastern Ky.,ASUN,19,15,14,243,101,164,,7,,,,1730:00:00,16,64,,7,,,,,91,2,4,5
http://stats.ncaa.org/team/204/16462,Eastern Mich.,MAC,19,18,12,210,105,196,1,17,,,,1710:00:00,43,122,,1,,,,,89,2,3,1
http://stats.ncaa.org/team/207/16462,Eastern Wash.,Big Sky,17,35,30,219,113,147,,10,,,,1530:00:00,49,117,,,,,,,77,4,5,2
http://stats.ncaa.org/team/1068/16462,Elon,CAA,17,25,23,195,84,177,,21,,,,1530:00:00,24,73,2,4,,,,,62,3,3,3
http://stats.ncaa.org/team/198/16462,ETSU,SoCon,19,27,24,235,91,207,,19,,,,1710:00:00,10,58,3,12,,,,,108,2,2,10
http://stats.ncaa.org/team/219/16462,Evansville,MVC,17,9,5,156,60,120,,12,,,,1530:00:00,20,87,,5,,,,,53,,,1
http://stats.ncaa.org/team/220/16462,Fairfield,MAAC,20,35,28,381,150,172,,12,,,,1800:00:00,23,51,,7,,,,,133,,,10
