season,team,conference,name,number,class,position,height,hometown,high_school,bats,throws,gp,gs,ba,ob_pct,slg_pct,ab,r,h,x2b,x3b,tb,hr,ibb,bb,hbp,rbi,sf,sh,k,kl,dp,gdp,tp,sb,sba,cs,picked,go,fo
2025,St. Thomas (MN),Summit League,Laken Lienhard,11,Sr.,UT,5-7,"Cresco, IA",Crestwood,RIGHT,RIGHT,50,50,0.38,0.525,0.635,137,36,52,11,0,87,8,0,39,4,25,1,0,19,8,1,1,0,3,3,0,0,30,35
2025,St. Thomas (MN),Summit League,Adrianna Young,3,Sr.,C,5-6,"Stone Lake, WI",Rice Lake,RIGHT,RIGHT,41,34,0.262,0.406,0.381,84,19,22,5,1,32,1,0,18,3,10,1,1,16,5,0,0,0,4,5,1,0,18,29
2025,St. Thomas (MN),Summit League,Ella Cook,27,Sr.,SP/RP,5-11,"Iowa City, IA",City,RIGHT,RIGHT,49,49,0.357,0.429,0.591,154,25,55,15,0,91,7,1,18,2,43,1,0,19,5,2,1,0,1,1,0,0,31,47
2025,St. Thomas (MN),Summit League,Karina Tollberg,18,So.,UT,5-7,"Chanhassen, MN",Chanhassen,RIGHT,RIGHT,3,0,0,0.333,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2025,St. Thomas (MN),Summit League,Cassidy Carby,25,Sr.,C,5-7,"Batavia, IL",Batavia,RIGHT,RIGHT,50,50,0.3,0.386,0.544,160,32,48,13,1,87,8,0,20,3,33,1,1,35,8,6,6,0,1,1,0,0,28,46
2025,St. Thomas (MN),Summit League,Abbi Stierlen,23,Jr.,INF,5-9,"North Mankato, MN",Mankato West,,,48,48,0.37,0.447,0.465,127,19,47,7,1,59,1,0,21,0,31,4,3,15,3,2,1,0,2,3,1,0,31,37
2025,St. Thomas (MN),Summit League,Avery Wukawitz,20,Jr.,OF,5-8,"Woodbury, MN",East Ridge,RIGHT,RIGHT,49,49,0.358,0.435,0.63,162,46,58,11,3,102,9,0,19,4,32,1,3,41,14,2,0,0,19,23,4,0,30,34
2025,St. Thomas (MN),Summit League,Marleigh Louvar,28,So.,UT,5-4,"Brandon, IA",Independence,RIGHT,RIGHT,15,1,0.231,0.286,0.308,13,1,3,1,0,4,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,6
2025,St. Thomas (MN),Summit League,Kyllie Weingart,26,So.,UT,5-8,"Bloomington, MN",Maranatha Christian,RIGHT,RIGHT,17,4,0.167,0.476,0.417,12,6,2,0,0,5,1,0,5,3,6,1,0,6,2,0,0,0,0,0,0,0,4,1
2025,St. Thomas (MN),Summit League,Kameron Monson,15,Jr.,C,5-9,"Woodbury, MN",Woodbury,RIGHT,RIGHT,40,39,0.29,0.364,0.458,107,13,31,5,2,49,3,1,11,2,23,1,3,9,3,1,0,0,1,1,0,0,34,29
2025,St. Thomas (MN),Summit League,Christina Crawford,9,Sr.,SP/RP,6-2,"Elkhorn, WI",Elkhorn,RIGHT,RIGHT,23,19,0.143,0.2,0.143,14,0,2,0,0,2,0,0,1,0,2,0,0,6,2,0,0,0,0,1,1,0,3,3
2025,St. Thomas (MN),Summit League,Izzy Vick,17,So.,OF,5-9,"Selah, WA",Selah,LEFT,LEFT,7,2,0.182,0.182,0.182,11,1,2,0,0,2,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,3
2025,St. Thomas (MN),Summit League,Loryn Barney,6,So.,UT,5-9,"Lewiston, ID",Lewiston,LEFT,LEFT,12,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,NA
2025,St. Thomas (MN),Summit League,Anna Caruso,1,Jr.,UT,5-5,"St. Paul, MN",Cretin-Derham Hall,RIGHT,RIGHT,37,0,0.25,0.4,0.5,4,13,1,1,0,2,0,0,1,0,2,0,0,1,1,0,0,0,1,2,1,0,1,NA
2025,St. Thomas (MN),Summit League,Kaitlyn Raymond,10,Sr.,OF,5-3,"Chicago, IL",Loyola Academy,LEFT,RIGHT,50,50,0.368,0.425,0.458,155,33,57,8,3,71,0,0,17,0,23,2,2,11,2,1,0,0,4,8,4,0,43,44
2025,St. Thomas (MN),Summit League,Ruby Moore,5,Jr.,UT,5-3,"South Range, WI",,LEFT,RIGHT,50,50,0.28,0.371,0.374,107,16,30,3,2,40,1,0,16,0,23,1,7,24,12,0,0,0,5,6,1,0,32,27
2025,St. Thomas (MN),Summit League,Jenna Kuhn,14,Sr.,3B,5-7,"Apple Valley, MN",Eastview,RIGHT,RIGHT,26,1,0.375,0.444,0.625,24,2,9,0,0,15,2,0,1,2,6,0,0,6,2,0,0,0,0,0,0,0,3,6
2025,St. Thomas (MN),Summit League,Keira Murphy,12,Jr.,SP/RP,5-10,"Stillwater, MN",Stillwater Area,RIGHT,RIGHT,10,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA
2025,St. Thomas (MN),Summit League,Ava Kleinfeldt,8,Fr.,SP,5-10,"Lake Mills, WI",Lake Mills,,,29,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
