season,team,conference,games,w,l,t,ba,ob_pct,slg_pct,ab,r,h,x2b,x3b,tb,hr,ibb,bb,sb,sba,hbp,rbi,sf,sh,k,kl,dp,gdp,tp,cs,picked,go,fo,opponent_ba,opponent_ob_pct,opponent_slg_pct,opponent_ab,opponent_r,opponent_h,opponent_2b,opponent_3b,opponent_tb,opponent_hr,opponent_ibb,opponent_bb,opponent_sb,opponent_sba,opponent_hbp,opponent_rbi,opponent_sf,opponent_sh,opponent_k,opponent_kl,opponent_dp,opponent_gdp,opponent_tp,opponent_cs,opponent_picked,opponent_go,opponent_fo
2024,St. Thomas (MN),Summit League,50,16,34,0,0.256,0.349,0.406,1238,204,317,63,6,503,37,0,163,50,66,18,185,9,19,295,94,13,6,0,16,0,286,335,0.325,0.401,0.492,1300,318,423,67,16,639,39,0,155,63,73,29,283,30,22,151,52,16,10,0,10,0,362,367
2024,N.C. Central,MEAC,56,20,36,0,0.253,0.329,0.356,1416,168,358,59,9,504,23,0,137,28,41,31,155,13,37,294,58,15,7,0,13,0,340,420,0.309,0.404,0.422,1471,326,454,60,10,621,29,0,218,104,122,32,296,21,29,195,63,30,11,0,18,0,472,330
2024,NC State,ACC,53,30,23,0,0.272,0.38,0.479,1248,268,339,58,9,598,61,1,191,73,86,36,254,14,11,196,64,24,10,0,13,0,306,396,0.245,0.335,0.403,1292,229,317,45,12,521,45,0,143,29,37,39,221,15,15,240,64,15,7,0,8,0,331,381
2024,North Dakota St.,Summit League,54,17,37,0,0.233,0.311,0.344,1389,178,324,47,7,478,31,0,143,44,54,18,152,10,24,259,60,9,3,0,10,0,344,452,0.306,0.379,0.457,1433,275,438,66,14,655,41,2,163,51,59,18,252,21,26,184,56,16,4,0,8,0,403,398
2024,North Dakota,Summit League,54,12,42,0,0.21,0.292,0.262,1388,129,291,40,3,364,9,0,136,28,34,29,122,11,13,294,109,21,16,0,6,0,381,404,0.286,0.38,0.419,1438,265,411,93,12,603,25,0,206,47,67,15,228,6,24,280,62,17,8,0,20,0,445,289
2024,North Texas,The American,56,32,24,0,0.261,0.352,0.42,1400,235,365,71,10,588,44,1,174,44,55,29,211,12,21,279,76,12,5,0,11,0,287,471,0.24,0.332,0.347,1387,210,333,43,3,481,33,0,176,33,43,20,194,12,31,267,67,28,10,0,10,0,449,341
2024,ULM,Sun Belt,55,31,24,0,0.282,0.359,0.375,1413,261,398,53,11,530,19,0,162,88,106,22,223,24,42,176,46,16,10,0,18,0,444,400,0.241,0.336,0.361,1384,171,333,46,2,500,39,0,186,37,43,19,156,12,25,228,61,22,11,0,6,0,424,400
2024,Northern Colo.,Big Sky,53,27,26,0,0.26,0.353,0.398,1385,248,360,73,8,551,34,0,165,58,73,39,227,9,8,225,63,22,8,0,15,0,351,422,0.271,0.338,0.4,1401,238,379,75,10,561,29,0,118,39,46,29,226,9,27,307,86,11,6,0,7,0,298,406
2024,NIU,MAC,52,18,34,0,0.276,0.339,0.402,1390,223,383,63,10,559,31,1,116,113,143,26,202,15,21,229,38,10,3,0,30,0,357,407,0.288,0.381,0.434,1379,280,397,72,9,598,37,3,191,35,42,28,260,19,24,214,52,18,7,0,7,0,295,456
2024,UNI,MVC,50,33,17,0,0.261,0.375,0.444,1267,246,331,61,7,562,52,1,217,62,82,25,226,17,8,301,67,15,7,0,20,0,256,365,0.257,0.328,0.371,1287,185,331,31,5,477,35,1,112,40,47,30,168,11,30,311,69,11,5,0,7,0,330,323
2024,Northern Ky.(),Horizon,49,27,22,0,0.281,0.36,0.39,1129,184,317,71,8,440,12,0,119,46,50,25,163,8,46,196,60,12,6,0,4,0,303,327,0.262,0.356,0.39,1091,170,286,60,8,425,21,0,149,35,46,18,164,13,33,219,49,8,4,0,11,0,261,327
2024,Northwestern St.,Southland,50,19,31,0,0.243,0.319,0.336,1241,156,302,54,14,417,11,0,119,41,54,27,138,16,37,198,37,17,7,0,13,0,324,434,0.26,0.343,0.369,1267,211,330,61,11,467,18,0,144,55,71,23,193,16,30,232,66,20,9,0,16,0,398,298
2024,Northwestern,Big Ten,48,35,13,0,0.273,0.389,0.48,1217,261,332,57,6,584,61,1,186,45,55,54,238,13,18,248,69,11,6,0,10,0,251,379,0.227,0.32,0.36,1175,145,267,53,8,423,29,1,140,15,28,24,131,8,15,244,64,19,9,0,13,0,358,292
2024,Notre Dame,ACC,50,27,23,0,0.29,0.366,0.405,1342,248,389,53,6,544,30,0,143,43,50,27,222,15,31,179,41,18,7,0,7,0,416,349,0.295,0.369,0.459,1381,258,407,71,12,634,44,1,150,32,45,19,238,12,17,264,60,12,5,0,13,0,371,335
2024,Oakland,Horizon,44,25,19,0,0.267,0.343,0.375,1174,176,314,54,15,440,14,0,107,34,42,33,152,10,27,210,54,4,2,0,8,0,316,329,0.271,0.342,0.38,1185,155,321,53,11,450,18,0,99,35,42,31,142,2,24,156,48,12,3,0,7,0,364,318
2024,Ohio St.,Big Ten,51,31,20,0,0.298,0.388,0.497,1370,302,408,58,10,681,65,1,173,38,45,34,283,8,22,229,66,17,4,0,7,0,334,392,0.271,0.352,0.438,1332,246,361,74,10,584,43,3,154,22,35,21,220,17,29,279,88,13,6,0,13,0,265,422
2024,Ohio,MAC,55,31,24,0,0.276,0.344,0.412,1466,247,405,69,8,604,38,0,137,36,43,21,213,12,35,176,52,13,7,0,7,0,409,465,0.27,0.343,0.372,1439,206,389,53,8,536,26,0,127,75,86,36,186,8,28,210,55,15,5,0,11,0,413,406
2024,Oklahoma St.,Big 12,61,49,12,0,0.307,0.388,0.554,1548,363,475,85,11,858,92,0,184,45,56,32,338,18,34,223,49,21,11,0,11,0,383,481,0.211,0.28,0.309,1465,146,309,45,3,453,31,0,123,21,32,20,131,5,14,315,73,16,8,0,11,0,539,284
2024,Oklahoma(),Big 12,66,59,7,0,0.362,0.468,0.649,1710,518,619,109,8,1110,122,3,337,66,80,28,484,26,10,179,42,26,15,0,14,0,386,523,0.19,0.276,0.316,1487,129,282,37,2,470,49,0,142,17,23,37,123,3,11,393,79,25,17,0,6,0,418,381
2024,Oregon St.,Pac-12,50,21,29,0,0.228,0.299,0.334,1279,145,292,47,5,427,26,0,114,22,28,19,126,10,18,254,75,11,9,0,6,0,335,397,0.269,0.338,0.437,1336,196,360,58,8,584,50,0,114,32,42,29,188,7,26,223,74,6,4,0,10,0,313,437
2024,Oregon,Pac-12,51,30,21,0,0.308,0.379,0.497,1381,282,425,78,11,687,54,1,136,90,109,32,250,17,19,215,38,11,3,0,19,0,350,379,0.264,0.327,0.41,1309,176,346,49,8,537,42,6,104,23,36,24,166,13,21,204,42,14,6,0,13,0,346,417
2024,Pacific,WCC,53,17,36,0,0.246,0.305,0.338,1303,155,320,58,4,440,18,0,94,27,32,23,143,14,38,175,45,12,6,0,5,0,384,439,0.298,0.378,0.459,1449,296,432,90,10,665,41,0,145,94,102,47,276,10,30,192,55,10,3,0,8,0,373,430
2024,Penn St.,Big Ten,55,35,20,0,0.279,0.353,0.476,1446,267,404,92,17,689,53,0,143,50,64,29,249,13,37,276,55,15,7,0,14,0,372,405,0.248,0.329,0.39,1481,227,368,76,7,578,40,9,153,37,46,26,209,5,24,320,97,8,1,1,9,0,385,387
2024,Penn,Ivy League,40,11,29,0,0.263,0.352,0.34,1068,152,281,37,9,363,9,0,129,44,51,24,130,11,19,209,68,16,5,0,7,0,341,238,0.317,0.392,0.479,1110,229,352,74,11,532,28,0,122,52,57,25,202,17,21,88,27,25,10,0,5,0,271,394
