season,team,conference,name,number,class,position,height,gp,gs,s,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,ret_att,r_err,block_solos,block_assists,b_err,tb,pts,bhe
2022,St. Thomas (MN),Summit League,Ellie Dammann,1,Jr.,MB,6-0,27,27,94,124,64,390,0.154,3,1,6,17,13,0,6,61,12,54,161.5,0
2022,St. Thomas (MN),Summit League,Ella Wheatcraft,6,So.,DS,5-7,30,3,83,1,0,4,0.25,20,8,17,136,333,24,0,0,0,0,9,0
2022,St. Thomas (MN),Summit League,Libby Mattila,12,So.,OH,5-10,29,13,84,121,78,493,0.087,9,6,19,103,297,35,2,22,2,17.5,140,0
2022,St. Thomas (MN),Summit League,Lauren Galvin,9,So.,OH,5-10,30,30,106,331,134,1100,0.179,19,23,31,247,614,39,2,28,2,20,370,0
2022,St. Thomas (MN),Summit League,Payton Willman,4,So.,DS,5-7,21,0,37,0,0,6,0,5,10,5,51,92,8,0,0,0,0,10,0
2022,St. Thomas (MN),Summit League,Lander Friederichs,17,So.,MB,6-1,10,2,20,16,7,41,0.22,0,0,0,2,0,0,2,7,1,8,21.5,0
2022,St. Thomas (MN),Summit League,Claire Ricard,11,Jr.,RS,5-11,29,17,98,60,39,235,0.089,2,0,0,37,4,1,3,42,11,38,84,1
2022,St. Thomas (MN),Summit League,Eva Fitzgerald,2,So.,S,5-6,28,0,84,11,3,31,0.258,238,12,17,135,8,1,0,0,0,0,23,12
2022,St. Thomas (MN),Summit League,Hannah Pham,7,So.,S,5-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,St. Thomas (MN),Summit League,Rylie Rios,3,Jr.,DS,5-10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,St. Thomas (MN),Summit League,Liv Anderson,10,Fr.,OH,5-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,St. Thomas (MN),Summit League,Maria Chapman,18,Fr.,DS,5-6,13,0,13,0,0,0,0,0,0,4,4,12,0,0,0,0,0,0,0
2022,St. Thomas (MN),Summit League,Ava Wild,21,Fr.,OH,6-0,17,4,43,44,29,150,0.1,3,0,0,10,24,2,1,19,3,16.5,54.5,1
2022,St. Thomas (MN),Summit League,Megan Wetter,23,Fr.,MB,6-0,3,2,5,5,6,16,-0.063,0,0,0,2,0,0,1,2,0,2,7,0
2022,St. Thomas (MN),Summit League,Carrie Rutledge,5,Sr.,DS,5-9,25,0,87,3,0,10,0.3,54,16,23,338,462,30,0,0,0,0,19,7
2022,St. Thomas (MN),Summit League,Tezra Rudzitis,15,Fr.,OH,5-11,28,21,92,190,93,606,0.16,9,9,22,102,275,27,3,36,8,33,220,1
2022,St. Thomas (MN),Summit League,Allie Kopp,22,Fr.,S,5-7,30,28,98,8,7,36,0.028,456,22,28,192,5,1,0,1,0,0.5,30.5,7
2022,St. Thomas (MN),Summit League,Keya Luta Win Hunt,13,Fr.,S,5-11,22,2,53,7,4,27,0.111,221,4,5,62,0,0,0,5,3,5.5,13.5,4
2022,St. Thomas (MN),Summit League,Emma Goerger,16,Fr.,MB,6-4,30,29,104,195,95,515,0.194,4,23,28,29,14,2,18,83,8,76,277.5,1
2022,St. Thomas (MN),Summit League,Isabella Halcomb,19,So.,DS,5-6,16,2,28,1,1,10,0,8,2,6,43,104,13,0,0,0,0,3,0
2022,Bellarmine,ASUN,Emily Arnold,24,Sr.,S,5-8,23,19,68,33,6,97,0.278,628,12,13,131,7,0,0,3,0,1.5,46.5,1
2022,Bellarmine,ASUN,Ashley Nordmann,18,So.,MH,6-0,13,10,38,43,15,115,0.243,1,0,1,5,2,1,9,17,3,20.5,60.5,1
2022,Bellarmine,ASUN,Emily Ernst,25,Sr.,DS,5-6,28,0,93,1,0,3,0.333,24,25,26,190,410,19,0,0,0,0,26,1
2022,Bellarmine,ASUN,Hannah Brown,14,Sr.,MH,5-11,27,24,83,176,99,451,0.171,6,2,3,38,25,2,2,30,7,23,195,0
2022,Bellarmine,ASUN,Hallie Westmeyer,13,So.,MB,6-0,3,0,3,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
2022,Bellarmine,ASUN,Bailey Venard,11,Jr.,OH,5-10,20,1,63,177,117,528,0.114,1,0,0,26,28,2,1,10,1,7,183,0
2022,Bellarmine,ASUN,Jayme Scott,9,Sr.,OH,5-11,26,22,94,376,180,1044,0.188,16,18,18,167,406,20,0,18,2,12,403,2
2022,Bellarmine,ASUN,Anna Lococo,5,Jr.,DS,5-5,28,0,106,2,1,14,0.071,83,22,13,439,431,24,0,0,0,0,24,3
2022,Bellarmine,ASUN,Macie Garrison,4,So.,S,5-10,20,9,50,36,11,107,0.234,364,4,14,99,3,0,1,10,2,7.5,46,26
2022,Bellarmine,ASUN,Gabby Brissett,15,Fr.,RS,5-10,27,23,93,154,68,452,0.19,7,0,1,35,12,0,5,30,6,26.5,174,1
2022,Bellarmine,ASUN,Tessa Nauert,19,Fr.,L/DS,5-4,26,0,89,0,0,0,0,5,25,29,41,44,6,0,0,0,0,25,0
2022,Bellarmine,ASUN,Morgan Caba,17,Fr.,L/DS,5-6,20,1,54,1,3,5,-0.4,14,16,18,67,184,15,0,0,0,0,17,0
2022,Bellarmine,ASUN,Carissa Reyes,7,Jr.,L/DS,5-5,28,27,102,3,1,9,0.222,17,24,17,188,484,21,0,0,1,1,27,0
2022,Bellarmine,ASUN,Kylie VanHoy,12,Fr.,OPP,5-10,28,13,95,190,99,632,0.144,73,7,17,107,101,9,2,38,22,40.5,218,3
2022,Bellarmine,ASUN,Jayda Harris,8,So.,MB,6-3,23,19,87,140,44,302,0.318,5,5,12,27,13,1,17,44,4,42.5,184,0
2022,UC San Diego,Big West,Naya Dong,2,Sr.,L,5-5,30,0,117,1,0,5,0.2,99,19,12,452,380,19,0,0,0,0,20,0
2022,UC San Diego,Big West,Natalie Repetti,23,Jr.,L,5-10,29,16,114,6,2,25,0.16,44,18,14,300,454,25,0,0,0,0,24,1
